ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,target
97,0.476,0.042,0.003,0.27,0.779,0.373,0.325,0.201,0.894,0.869,12.905
98,0.766,0.858,0.768,0.032,0.778,0.958,0.496,0.08,0.766,0.038,14.47
99,0.559,0.113,0.261,0.224,0.009,0.803,0.608,0.749,0.784,0.02,5.179
100,0.679,0.091,0.51,0.177,0.568,0.409,0.12,0.617,0.019,0.725,7.667
101,0.255,0.263,0.504,0.206,0.582,0.11,0.803,0.642,0.01,0.326,7.382
102,0.252,0.52,0.751,0.694,0.603,0.381,0.619,0.032,0.176,0.561,16.52
103,0.977,0.374,0.773,0.931,0.347,0.502,0.75,0.68,0.373,0.198,22.529
104,0.1,0.407,0.714,0.943,0.986,0.816,0.186,0.885,0.037,0.43,16.627
105,0.488,0.164,0.728,0.756,0.5,0.222,0.846,0.602,0.789,0.971,12.725
106,0.688,0.453,0.591,0.433,0.986,0.728,0.087,0.546,0.127,0.248,15.091
107,0.32,0.535,0.091,0.993,0.979,0.067,0.114,0.574,0.553,0.21,23.562
108,0.081,0.683,0.388,0.004,0.051,0.974,0.669,0.189,0.718,0.762,1.561
109,0.366,0.982,0.994,0.8,0.868,0.472,0.757,0.557,0.718,0.118,24.691
110,0.333,0.121,0.829,0.937,0.062,0.811,0.299,0.396,0.555,0.307,13.34
111,0.028,0.664,0.814,0.944,0.113,0.319,0.19,0.919,0.744,0.603,10.779
112,0.663,0.308,0.879,0.045,0.557,0.747,0.312,0.476,0.503,0.057,12.905
113,0.086,0.316,0.367,0.227,0.868,0.729,0.77,0.525,0.596,0.652,8.641
114,0.742,0.297,0.816,0.376,0.303,0.802,0.414,0.408,0.93,0.723,14.437
115,0.95,0.129,0.392,0.136,0.736,0.032,0.294,0.21,0.505,0.449,7.093
116,0.958,0.265,0.937,0.033,0.106,0.056,0.217,0.517,0.282,0.009,12.625
117,0.418,0.077,0.859,0.941,0.378,0.758,0.537,0.454,0.487,0.751,14.115
118,0.279,0.911,0.927,0.254,0.822,0.005,0.926,0.582,0.569,0.585,17.17
119,0.718,0.816,0.966,0.492,0.24,0.886,0.234,0.356,0.627,0.654,18.83
120,0.339,0.146,0.72,0.695,0.626,0.994,0.675,0.214,0.306,0.619,10.729
121,0.928,0.454,0.086,0.611,0.13,0.232,0.617,0.236,0.607,0.153,20.649
122,0.225,0.514,0.855,0.683,0.445,0.662,0.719,0.708,0.707,0.781,15.93
123,0.239,0.315,0.911,0.819,0.599,0.178,0.572,0.322,0.858,0.125,14.542
124,0.861,0.132,0.802,0.589,0.901,0.525,0.09,0.689,0.275,0.302,15.147
125,0.159,0.306,0.483,0.153,0.799,0.423,0.268,0.771,0.155,0.735,5.095
126,0.019,0.588,0.048,0.467,0.418,0.867,0.678,0.098,0.926,0.255,11.011
127,0.632,0.096,0.016,0.133,0.435,0.541,0.757,0.579,0.918,0.588,8.714
128,0.68,0.003,0.664,0.964,0.983,0.418,0.747,0.246,0.441,0.175,14.918
129,0.954,0.938,0.298,0.931,0.821,0.425,0.455,0.615,0.851,0.392,18.648
130,0.027,0.969,0.256,0.688,0.993,0.994,0.354,0.874,0.251,0.659,11.53
131,0.653,0.865,0.518,0.564,0.006,0.936,0.168,0.258,0.259,0.793,13.833
132,0.847,0.697,0.835,0.206,0.05,0.956,0.964,0.458,0.477,0.065,14.481
133,0.415,0.505,0.992,0.298,0.86,0.381,0.077,0.975,0.866,0.694,17.524
134,0.126,0.313,0.299,0.255,0.495,0.845,0.532,0.077,0.678,0.25,6.903
135,0.163,0.35,0.765,0.199,0.357,0.793,0.467,0.108,0.981,0.421,6.759
136,0.312,0.344,0.755,0.938,0.102,0.481,0.388,0.072,0.733,0.101,13.071
137,0.907,0.332,0.881,0.123,0.956,0.425,0.594,0.929,0.57,0.141,17.712
138,0.956,0.827,0.227,0.093,0.204,0.917,0.058,0.916,0.372,0.468,9.787
139,0.844,0.48,0.025,0.979,0.603,0.489,0.772,0.051,0.753,0.051,28.531
140,0.153,0.514,0.474,0.824,0.023,0.285,0.232,0.726,0.708,0.961,11.604
141,0.977,0.82,0.998,0.538,0.161,0.738,0.945,0.598,0.917,0.679,16.013
142,0.902,0.814,0.243,0.065,0.714,0.895,0.907,0.855,0.171,0.103,13.654
143,0.635,0.779,0.42,0.748,0.146,0.422,0.214,0.013,0.153,0.117,18.117
144,0.531,0.673,0.28,0.42,0.048,0.054,0.578,0.881,0.052,0.699,12.9
145,0.996,0.583,0.338,0.965,0.857,0.434,0.931,0.495,0.736,0.059,23.625
146,0.057,0.327,0.975,0.705,0.287,0.221,0.943,0.985,0.995,0.268,12.376
147,0.28,0.979,0.597,0.413,0.477,0.549,0.5,0.953,0.157,0.239,14.089
148,0.275,0.49,0.28,0.541,0.06,0.835,0.102,0.244,0.696,0.627,10.943
149,0.705,0.543,0.579,0.797,0.95,0.797,0.791,0.936,0.743,0.135,21.246
150,0.391,0.167,0.554,0.076,0.087,0.636,0.368,0.24,0.279,0.726,0.938
151,0.65,0.52,0.018,0.089,0.321,0.563,0.445,0.535,0.949,0.284,15.086
152,0.915,0.968,0.677,0.565,0.149,0.431,0.115,0.943,0.436,0.817,10.231
153,0.125,0.735,0.502,0.167,0.103,0.393,0.209,0.81,0.861,0.367,6.775
154,0.087,0.208,0.831,0.871,0.384,0.721,0.553,0.879,0.963,0.419,13.422
155,0.785,0.233,0.875,0.07,0.122,0.864,0.357,0.797,0.868,0.403,9.92
156,0.602,0.265,0.502,0.924,0.599,0.454,0.467,0.196,0.655,0.803,15.613
157,0.963,0.178,0.93,0.665,0.655,0.306,0.303,0.125,0.956,0.472,19.719
158,0.264,0.312,0.795,0.905,0.496,0.847,0.512,0.017,0.533,0.021,17.557
159,0.037,0.251,0.801,0.962,0.443,0.768,0.524,0.5,0.404,0.709,12.89
160,0.165,0.623,0.376,0.546,0.742,0.457,0.551,0.836,0.439,0.651,12.746
161,0.917,0.29,0.623,0.888,0.491,0.006,0.792,0.674,0.141,0.7,20.229
162,0.732,0.999,0.445,0.453,0.62,0.801,0.966,0.257,0.352,0.125,16.089
163,0.15,0.364,0.562,0.338,0.056,0.555,0.899,0.334,0.928,0.327,7.121
164,0.712,0.976,0.331,0.054,0.623,0.358,0.288,0.932,0.584,0.275,11.713
165,0.759,0.563,0.363,0.348,0.235,0.8,0.599,0.525,0.907,0.199,14.242
166,0.897,0.956,0.592,0.679,0.56,0.254,0.264,0.727,0.11,0.988,13.601
167,0.441,0.237,0.042,0.409,0.78,0.874,0.864,0.553,0.725,0.791,14.821
168,0.735,0.71,0.639,0.447,0.212,0.004,0.604,0.285,0.167,0.263,15.635
169,0.441,0.419,0.068,0.444,0.402,0.54,0.033,0.571,0.349,0.02,15.771
170,0.983,0.704,0.863,0.49,0.531,0.408,0.819,0.15,0.239,0.558,18.583
171,0.107,0.441,0.781,0.476,0.456,0.197,0.133,0.65,0.62,0.571,9.22
172,0.241,0.324,0.595,0.019,0.648,0.617,0.388,0.114,0.955,0.575,7.575
173,0.029,0.467,0.36,0.916,0.522,0.679,0.375,0.394,0.294,0.116,13.221
174,0.003,0.23,0.024,0.085,0.376,0.328,0.344,0.893,0.82,0.612,6.47
175,0.324,0.913,0.366,0.042,0.467,0.989,0.802,0.522,0.051,0.756,10.614
176,0.259,0.295,0.556,0.202,0.718,0.857,0.759,0.827,0.192,0.087,8.775
177,0.246,0.153,0.089,0.673,0.283,0.116,0.478,0.756,0.999,0.408,13.226
178,0.167,0.594,0.347,0.265,0.448,0.944,0.011,0.326,0.47,0.675,10.696
179,0.233,0.278,0.144,0.084,0.764,0.323,0.836,0.345,0.446,0.18,7.905
180,0.202,0.701,0.33,0.834,0.794,0.927,0.556,0.914,0.863,0.024,16.52
181,0.756,0.187,0.182,0.076,0.704,0.536,0.119,0.93,0.44,0.911,10.032
182,0.8,0.14,0.964,0.017,0.045,0.153,0.166,0.233,0.734,0.704,7.469
183,0.978,0.483,0.912,0.314,0.415,0.695,0.739,0.023,0.745,0.041,18.095
184,0.779,0.771,0.503,0.357,0.312,0.364,0.626,0.074,0.568,0.634,14.773
185,0.765,0.859,0.899,0.86,0.276,0.43,0.211,0.017,0.44,0.177,20.882
186,0.651,1.0,0.784,0.445,0.556,0.682,0.499,0.473,0.732,0.893,18.851
187,0.14,0.668,0.279,0.476,0.386,0.632,0.178,0.47,0.296,0.106,8.918
188,0.329,0.705,0.381,0.606,0.654,0.413,0.009,0.548,0.598,0.7,16.277
189,0.775,0.484,0.979,0.75,0.589,0.305,0.509,0.988,0.957,0.16,24.276
190,0.381,0.423,0.183,0.336,0.659,0.156,0.99,0.004,0.417,0.535,12.4
191,0.069,0.319,0.88,0.269,0.23,0.143,0.742,0.783,0.019,0.073,6.866
192,0.085,0.889,0.604,0.918,0.758,0.282,0.46,0.321,0.522,0.499,15.958
193,0.216,0.428,0.588,0.641,0.625,0.552,0.377,0.012,0.613,0.919,13.688
194,0.162,0.955,0.143,0.693,0.445,0.836,0.553,0.157,0.021,0.837,15.683
195,0.578,0.076,0.364,0.837,0.524,0.07,0.937,0.474,0.033,0.452,12.127
196,0.189,0.436,0.61,0.149,0.305,0.271,0.745,0.616,0.267,0.123,6.974
197,0.82,0.127,0.819,0.068,0.899,0.869,0.005,0.823,0.505,0.875,10.619
198,0.631,0.749,0.394,0.308,0.824,0.386,0.189,0.815,0.24,0.134,17.587
199,0.487,0.429,0.707,0.8,0.261,0.837,0.154,0.57,0.71,0.084,15.322
200,0.941,0.536,0.049,0.25,0.251,0.406,0.791,0.734,0.035,0.974,18.917
201,0.883,0.127,0.487,0.632,0.749,0.226,0.496,0.609,0.793,0.305,13.578
202,0.11,0.686,0.389,0.519,0.123,0.153,0.037,0.022,0.783,0.962,7.776
203,0.117,0.259,0.545,0.424,0.181,0.698,0.606,0.617,0.683,0.884,7.098
204,0.15,0.764,0.52,0.777,0.913,0.706,0.274,0.677,0.79,0.543,14.562
205,0.508,0.435,0.679,0.219,0.165,0.809,0.228,0.295,0.137,0.956,8.613
206,0.681,0.024,0.05,0.034,0.737,0.55,0.349,0.902,0.434,0.3,9.515
207,0.273,0.762,0.286,0.171,0.824,0.432,0.342,0.194,0.045,0.629,13.011
208,0.303,0.778,0.715,0.724,0.53,0.035,0.857,0.662,0.892,0.968,18.256
209,0.778,0.16,0.604,0.96,0.847,0.008,0.519,0.806,0.153,0.546,17.819
210,0.54,0.157,0.715,0.157,0.898,0.138,0.575,0.086,0.587,0.213,10.604
211,0.272,0.663,0.1,0.267,0.881,0.282,0.029,0.268,0.784,0.952,16.208
212,0.388,0.674,0.124,0.681,0.518,0.313,0.728,0.33,0.984,0.705,18.499
213,0.945,0.097,0.743,0.893,0.77,0.877,0.792,0.718,0.365,0.733,18.078
214,0.214,0.203,0.345,0.549,0.462,0.51,0.717,0.197,0.111,0.967,9.961
215,0.551,0.318,0.671,0.805,0.566,0.745,0.608,0.007,0.669,0.338,17.43
216,0.687,0.815,0.366,0.447,0.444,0.075,0.351,0.719,0.98,0.087,16.152
217,0.293,0.135,0.413,0.853,0.378,0.426,0.357,0.064,0.272,0.879,12.178
218,0.958,0.071,0.162,0.211,0.239,0.174,0.022,0.626,0.304,0.488,9.604
219,0.552,0.477,0.688,0.264,0.161,0.428,0.76,0.663,0.1,0.185,11.288
220,0.01,0.53,0.474,0.771,0.135,0.787,0.685,0.515,0.37,0.773,6.86
221,0.499,0.487,0.288,0.81,0.711,0.149,0.363,0.62,0.337,0.971,19.431
222,0.543,0.683,0.653,0.046,0.968,0.264,0.734,0.043,0.495,0.326,14.581
223,0.841,0.37,0.072,0.693,0.641,0.964,0.412,0.768,0.551,0.823,22.702
224,0.418,0.716,0.348,0.898,0.148,0.92,0.228,0.169,0.554,0.922,19.435
225,0.019,0.411,0.678,0.52,0.643,0.294,0.585,0.335,0.486,0.837,8.258
226,0.86,0.775,0.269,0.719,0.37,0.85,0.594,0.569,0.356,0.265,19.104
227,0.285,0.091,0.944,0.839,0.448,0.29,0.468,0.95,0.608,0.557,16.149
228,0.913,0.519,0.674,0.878,0.86,0.649,0.251,0.639,0.701,0.807,24.397
229,0.98,0.531,0.269,0.687,0.783,0.437,0.234,0.139,0.887,0.004,21.496
230,0.948,0.465,0.119,0.655,0.772,0.905,0.052,0.848,0.562,0.175,23.067
231,0.808,0.699,0.38,0.184,0.523,0.382,0.813,0.633,0.806,0.497,15.188
232,0.588,0.133,0.219,0.386,0.728,0.261,0.206,0.131,0.335,0.409,12.663
233,0.98,0.822,0.718,0.946,0.853,0.535,0.467,0.266,0.738,0.147,20.552
234,0.481,0.093,0.785,0.899,0.033,0.149,0.578,0.349,0.202,0.847,12.138
235,0.404,0.182,0.109,0.138,0.835,0.935,0.855,0.576,0.237,0.762,11.058
236,0.675,0.178,0.352,0.081,0.59,0.699,0.381,0.155,0.316,0.069,8.073
237,0.155,0.339,0.34,0.515,0.995,0.155,0.739,0.263,0.359,0.09,12.307
238,0.489,0.396,0.824,0.779,0.525,0.937,0.849,0.413,0.505,0.503,16.776
239,0.949,0.752,0.216,0.198,0.348,0.833,0.359,0.022,0.617,0.28,13.206
240,0.492,0.705,0.735,0.625,0.607,0.366,0.526,0.214,0.1,0.413,16.899
241,0.169,0.286,0.09,0.762,0.622,0.873,0.279,0.793,0.095,0.747,15.691
242,0.329,0.325,0.144,0.7,0.169,0.213,0.884,0.458,0.379,0.338,14.012
243,0.497,0.597,0.537,0.293,0.536,0.276,0.266,0.639,0.168,0.149,14.506
244,0.85,0.001,0.189,0.432,0.163,0.048,0.414,0.873,0.117,0.26,8.637
245,0.368,0.253,0.839,0.254,0.952,0.3,0.85,0.995,0.628,0.04,13.004
246,0.446,0.847,0.693,0.874,0.922,0.785,0.188,0.303,0.121,0.053,24.037
247,0.144,0.234,0.769,0.617,0.022,0.204,0.288,0.03,0.553,0.346,9.629
248,0.918,0.293,0.621,0.965,0.858,0.677,0.29,0.867,0.978,0.959,22.138
249,0.927,0.126,0.026,0.812,0.055,0.806,0.428,0.718,0.448,0.259,15.714
250,0.752,0.789,0.524,0.516,0.537,0.206,0.006,0.204,0.411,0.844,19.932
251,0.462,0.107,0.194,0.505,0.5,0.498,0.224,0.984,0.818,0.09,9.504
252,0.956,0.036,0.471,0.105,0.972,0.385,0.342,0.042,0.127,0.571,5.855
253,0.415,0.32,0.226,0.461,0.801,0.272,0.941,0.262,0.247,0.801,15.497
254,0.693,0.403,0.442,0.934,0.24,0.022,0.347,0.079,0.69,0.707,19.153
255,0.958,0.322,0.624,0.844,0.89,0.736,0.29,0.989,0.817,0.703,21.462
256,0.03,0.775,0.737,0.115,0.257,0.066,0.539,0.333,0.154,0.149,4.68
257,0.916,0.715,0.523,0.036,0.113,0.391,0.807,0.621,0.635,0.734,11.165
258,0.991,0.247,0.313,0.469,0.568,0.344,0.005,0.426,0.994,0.611,14.774
259,0.947,0.877,0.202,0.869,0.812,0.095,0.121,0.015,0.558,0.259,19.99
260,0.829,0.361,0.47,0.752,0.086,0.07,0.352,0.333,0.846,0.416,18.612
261,0.176,0.62,0.925,0.146,0.56,0.972,0.863,0.002,0.016,0.709,13.974
262,0.183,0.846,0.025,0.988,0.871,0.5,0.507,0.349,0.527,0.019,22.96
263,0.26,0.157,0.238,0.325,0.174,0.364,0.5,0.839,0.248,0.284,7.247
264,0.274,0.364,0.443,0.448,0.47,0.394,0.033,0.285,0.242,0.321,10.517
265,0.865,0.355,0.039,0.637,0.833,0.769,0.715,0.205,0.143,0.262,24.226
266,0.436,0.879,0.45,0.223,0.438,0.325,0.265,0.007,0.541,0.997,12.767
267,0.226,0.589,0.538,0.437,0.48,0.935,0.802,0.567,0.13,0.177,12.033
268,0.359,0.846,0.501,0.437,0.035,0.88,0.172,0.267,0.738,0.441,13.613
269,0.104,0.618,0.503,0.902,0.695,0.113,0.169,0.273,0.813,0.792,15.278
270,0.264,0.313,0.743,0.242,0.152,0.391,0.588,0.959,0.482,0.485,7.826
271,0.191,0.1,0.594,0.198,0.61,0.839,0.556,0.922,0.397,0.891,6.184
272,0.329,0.391,0.747,0.646,0.75,0.881,0.596,0.115,0.068,0.122,14.093
273,0.337,0.277,0.043,0.912,0.686,0.313,0.223,0.549,0.418,0.575,20.078
274,0.746,0.62,0.616,0.724,0.972,0.789,0.083,0.343,0.507,0.274,20.292
275,0.747,0.635,0.168,0.712,0.585,0.053,0.419,0.52,0.59,0.62,23.205
276,0.167,0.325,0.703,0.506,0.768,0.943,0.629,0.269,0.05,0.442,11.593
277,0.783,0.037,0.693,0.407,0.625,0.083,0.423,0.463,0.82,0.999,8.673
278,0.75,0.6,0.075,0.05,0.701,0.68,0.017,0.043,0.462,0.207,18.653
279,0.614,0.553,0.713,0.795,0.741,0.73,0.942,0.457,0.99,0.654,20.808
280,0.591,0.739,0.044,0.69,0.702,0.524,0.956,0.272,0.643,0.974,24.23
281,0.02,0.951,0.37,0.047,0.651,0.015,0.753,0.413,0.235,0.15,3.97
282,0.31,0.292,0.717,0.411,0.893,0.574,0.606,0.393,0.938,0.465,12.383
283,0.797,0.826,0.381,0.849,0.254,0.043,0.321,0.048,0.12,0.046,19.684
284,0.653,0.268,0.859,0.233,0.677,0.712,0.02,0.917,0.263,0.22,13.438
285,0.807,0.156,0.826,0.297,0.952,0.039,0.954,0.588,0.796,0.991,13.148
286,0.747,0.411,0.588,0.433,0.75,0.719,0.382,0.094,0.394,0.612,15.77
287,0.571,0.389,0.079,0.02,0.026,0.809,0.84,0.646,0.53,0.841,10.419
288,0.209,0.923,0.461,0.481,0.808,0.332,0.286,0.568,0.755,0.428,15.778
289,0.59,0.483,0.622,0.944,0.725,0.729,0.893,0.084,0.852,0.048,21.629
290,0.697,0.017,0.728,0.133,0.564,0.417,0.823,0.841,0.29,0.316,5.729
291,0.889,0.998,0.662,0.264,0.268,0.186,0.612,0.967,0.381,0.488,6.856
292,0.122,0.3,0.471,0.96,0.604,0.913,0.249,0.566,0.963,0.134,14.879
293,0.09,0.355,0.012,0.338,0.272,0.987,0.103,0.982,0.905,0.461,10.447
294,0.622,0.524,0.488,0.221,0.386,0.637,0.989,0.66,0.898,0.927,11.645
295,0.49,0.834,0.351,0.945,0.796,0.152,0.078,0.288,0.282,0.205,24.757
296,0.161,0.141,0.707,0.888,0.975,0.655,0.123,0.898,0.177,0.203,13.68
297,0.071,0.883,0.152,0.343,0.204,0.128,0.224,0.645,0.32,0.036,8.693
298,0.71,0.04,0.534,0.772,0.847,0.43,0.558,0.679,0.059,0.476,12.549
299,0.831,0.491,0.877,0.643,0.391,0.635,0.456,0.119,0.581,0.943,19.327
300,0.102,0.73,0.641,0.91,0.267,0.747,0.919,0.118,0.255,0.444,13.687
301,0.562,0.841,0.914,0.07,0.096,0.204,0.401,0.122,0.859,0.261,14.964
