ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,target
108,39,blue-collar,married,secondary,no,518,yes,no,unknown,4,jun,608,2,-1,0,unknown,0.0
109,24,technician,single,secondary,no,-46,yes,no,unknown,19,may,23,1,-1,0,unknown,0.0
110,60,admin.,single,secondary,no,3916,no,no,unknown,18,jun,18,5,-1,0,unknown,0.0
111,34,blue-collar,single,secondary,no,0,yes,no,cellular,9,jul,130,1,-1,0,unknown,0.0
112,55,unemployed,single,primary,no,10183,no,no,unknown,19,jun,106,1,-1,0,unknown,0.0
113,50,management,single,tertiary,no,1098,yes,yes,cellular,5,aug,286,1,-1,0,unknown,0.0
114,51,entrepreneur,married,tertiary,no,5254,yes,no,unknown,23,oct,134,1,-1,0,unknown,1.0
115,36,technician,married,secondary,no,24,yes,no,cellular,18,nov,59,1,-1,0,unknown,0.0
116,26,management,single,tertiary,no,828,yes,no,cellular,30,jan,141,1,-1,0,unknown,0.0
117,42,management,married,tertiary,no,744,no,no,unknown,6,may,157,1,-1,0,unknown,0.0
118,32,blue-collar,married,primary,no,103,no,no,cellular,23,jul,312,1,-1,0,unknown,0.0
119,46,management,married,tertiary,no,0,no,no,cellular,3,mar,305,13,-1,0,unknown,1.0
120,59,blue-collar,married,primary,no,595,no,no,telephone,31,jul,208,7,-1,0,unknown,0.0
121,46,management,single,tertiary,no,653,no,yes,cellular,21,nov,104,1,-1,0,unknown,0.0
122,66,retired,married,primary,no,206,no,no,cellular,9,feb,479,1,-1,0,unknown,1.0
123,48,blue-collar,married,primary,no,649,no,no,unknown,19,jun,136,2,-1,0,unknown,0.0
124,45,blue-collar,married,unknown,no,2056,no,yes,unknown,11,jun,191,1,-1,0,unknown,0.0
125,34,services,married,secondary,no,1553,yes,no,cellular,20,apr,6,6,328,8,failure,0.0
126,57,management,divorced,tertiary,no,236,no,no,cellular,18,nov,120,2,-1,0,unknown,0.0
127,53,blue-collar,married,primary,no,-864,yes,no,unknown,9,may,322,5,-1,0,unknown,0.0
128,35,management,married,tertiary,no,2801,yes,no,cellular,19,nov,70,2,111,2,failure,0.0
129,46,management,married,tertiary,no,3115,no,no,cellular,18,aug,134,2,-1,0,unknown,0.0
130,45,technician,married,secondary,no,0,yes,no,telephone,21,nov,68,1,-1,0,unknown,0.0
131,48,services,married,secondary,no,515,yes,no,telephone,20,apr,7,5,-1,0,unknown,0.0
132,45,housemaid,married,tertiary,no,460,no,no,cellular,21,nov,312,3,157,1,failure,0.0
133,49,management,divorced,tertiary,no,2370,yes,yes,unknown,17,nov,56,1,103,2,other,0.0
134,20,student,single,secondary,no,215,no,no,cellular,21,aug,228,4,183,1,other,1.0
135,43,blue-collar,married,primary,no,8,no,no,telephone,7,jul,245,5,-1,0,unknown,0.0
136,35,management,married,unknown,no,1128,yes,no,unknown,4,jun,457,1,-1,0,unknown,0.0
137,47,blue-collar,married,primary,yes,0,no,no,unknown,5,jun,148,2,-1,0,unknown,0.0
138,31,management,married,tertiary,yes,0,no,no,cellular,14,jul,118,4,-1,0,unknown,0.0
139,55,services,divorced,secondary,no,379,no,no,cellular,27,may,275,3,219,2,other,0.0
140,38,entrepreneur,married,secondary,no,8,no,no,unknown,12,jun,339,3,-1,0,unknown,0.0
141,35,admin.,married,secondary,no,3854,yes,no,cellular,5,may,131,1,-1,0,unknown,0.0
142,36,blue-collar,married,primary,no,453,yes,no,cellular,16,apr,176,1,330,2,failure,0.0
143,33,technician,married,secondary,no,3107,no,yes,cellular,7,aug,181,2,-1,0,unknown,0.0
144,33,management,single,tertiary,no,307,no,no,cellular,23,jul,113,6,179,4,failure,0.0
145,54,admin.,married,secondary,no,276,yes,yes,cellular,27,apr,66,1,-1,0,unknown,0.0
146,48,blue-collar,married,secondary,no,558,yes,no,telephone,5,feb,708,8,-1,0,unknown,0.0
147,30,technician,married,tertiary,no,101,yes,yes,cellular,7,jul,187,3,-1,0,unknown,0.0
148,48,blue-collar,married,secondary,no,684,yes,yes,unknown,12,may,139,1,-1,0,unknown,0.0
149,54,blue-collar,married,primary,no,1311,no,no,telephone,15,oct,485,3,184,3,failure,1.0
150,51,technician,single,tertiary,no,318,no,no,cellular,4,may,8,3,-1,0,unknown,0.0
151,28,self-employed,single,tertiary,no,4579,no,no,cellular,12,jan,409,2,-1,0,unknown,1.0
152,27,blue-collar,single,secondary,no,0,yes,no,unknown,7,may,191,4,-1,0,unknown,0.0
153,46,entrepreneur,divorced,secondary,no,2514,yes,no,cellular,20,nov,68,2,-1,0,unknown,0.0
154,30,blue-collar,single,secondary,no,1012,yes,no,cellular,17,apr,22,3,329,1,failure,0.0
155,38,blue-collar,single,primary,no,1583,yes,no,cellular,15,may,386,1,-1,0,unknown,0.0
156,31,self-employed,single,tertiary,no,91,no,no,unknown,23,may,206,1,-1,0,unknown,0.0
157,56,admin.,married,unknown,no,1933,no,no,telephone,19,nov,44,2,-1,0,unknown,0.0
158,30,admin.,married,secondary,no,-366,yes,yes,unknown,3,jun,102,1,-1,0,unknown,0.0
159,37,technician,married,tertiary,no,7,yes,yes,cellular,31,jul,18,10,-1,0,unknown,0.0
160,53,blue-collar,married,unknown,no,0,no,no,cellular,21,aug,150,2,-1,0,unknown,0.0
161,47,blue-collar,married,primary,no,570,no,no,cellular,12,aug,864,3,-1,0,unknown,0.0
162,35,self-employed,single,tertiary,no,4693,yes,no,cellular,21,nov,227,5,-1,0,unknown,0.0
163,41,blue-collar,divorced,secondary,no,927,yes,no,cellular,20,nov,343,2,-1,0,unknown,0.0
164,38,admin.,married,secondary,no,0,yes,no,unknown,23,may,353,2,-1,0,unknown,0.0
165,56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,1,-1,0,unknown,1.0
166,30,blue-collar,married,secondary,no,-202,no,no,unknown,27,may,166,2,-1,0,unknown,0.0
167,31,blue-collar,married,unknown,yes,-13,yes,no,unknown,30,may,176,4,-1,0,unknown,0.0
168,48,technician,divorced,secondary,no,177,yes,no,unknown,8,may,471,1,-1,0,unknown,0.0
169,32,technician,single,unknown,no,317,yes,no,cellular,29,jan,452,2,253,2,failure,0.0
170,28,management,single,tertiary,no,80,no,no,cellular,20,oct,676,2,146,2,failure,1.0
171,47,management,divorced,tertiary,no,-478,yes,no,unknown,3,jun,27,6,-1,0,unknown,0.0
172,33,management,married,tertiary,no,296,no,no,cellular,13,aug,142,4,-1,0,unknown,0.0
173,29,management,single,tertiary,no,872,yes,no,cellular,21,jul,173,2,-1,0,unknown,0.0
174,34,blue-collar,single,primary,no,2146,yes,no,unknown,13,may,138,1,-1,0,unknown,0.0
175,44,management,married,tertiary,no,1752,no,no,cellular,26,aug,312,2,-1,0,unknown,0.0
176,32,blue-collar,married,secondary,no,0,yes,yes,cellular,28,jan,117,2,-1,0,unknown,0.0
177,27,technician,married,secondary,no,-392,yes,no,cellular,23,jul,228,2,-1,0,unknown,1.0
178,43,management,married,tertiary,no,-391,yes,no,cellular,28,jul,193,8,-1,0,unknown,0.0
179,27,admin.,single,tertiary,no,662,no,no,cellular,30,apr,47,1,-1,0,unknown,0.0
180,56,retired,married,tertiary,no,3708,no,no,unknown,16,jun,210,2,-1,0,unknown,0.0
181,50,services,single,secondary,no,72,no,no,unknown,8,may,141,2,-1,0,unknown,0.0
182,43,blue-collar,married,primary,no,0,no,no,cellular,22,jun,570,3,-1,0,unknown,0.0
183,29,blue-collar,married,primary,no,0,yes,no,telephone,7,jul,256,15,-1,0,unknown,0.0
184,42,admin.,single,tertiary,no,168,yes,no,cellular,17,jul,295,1,-1,0,unknown,0.0
185,34,blue-collar,married,secondary,no,457,yes,no,unknown,9,may,266,1,-1,0,unknown,0.0
186,39,admin.,married,secondary,no,150,no,no,cellular,3,jun,296,4,-1,0,unknown,1.0
187,39,services,single,secondary,no,609,no,no,unknown,5,jun,372,1,-1,0,unknown,0.0
188,43,technician,married,tertiary,no,1796,no,no,cellular,28,jan,352,2,-1,0,unknown,0.0
189,52,admin.,married,primary,no,576,yes,no,cellular,5,may,139,1,286,1,failure,0.0
190,43,services,single,secondary,no,518,yes,no,cellular,11,may,295,1,370,1,failure,0.0
191,44,blue-collar,single,primary,no,116,yes,no,unknown,15,may,160,1,-1,0,unknown,0.0
192,55,technician,married,tertiary,no,199,no,no,cellular,11,aug,151,1,-1,0,unknown,0.0
193,55,retired,married,secondary,no,466,no,no,unknown,17,jun,287,4,-1,0,unknown,0.0
194,47,management,divorced,tertiary,no,107,no,no,unknown,15,may,246,1,-1,0,unknown,0.0
195,40,management,single,secondary,no,9916,no,no,cellular,18,nov,411,3,8,1,failure,0.0
196,38,admin.,divorced,secondary,no,478,no,no,cellular,29,jan,73,1,-1,0,unknown,0.0
197,32,management,married,tertiary,no,2431,no,no,cellular,28,aug,19,19,-1,0,unknown,0.0
198,58,retired,married,secondary,no,3648,no,no,cellular,31,jul,60,4,-1,0,unknown,0.0
199,51,admin.,married,secondary,no,-267,no,yes,cellular,6,aug,91,4,-1,0,unknown,0.0
200,47,housemaid,married,secondary,no,1152,no,no,telephone,7,jul,260,13,-1,0,unknown,0.0
201,26,blue-collar,single,secondary,no,-128,no,yes,cellular,8,jul,392,2,-1,0,unknown,0.0
202,47,admin.,married,secondary,no,219,yes,no,unknown,5,may,577,1,-1,0,unknown,0.0
203,36,admin.,single,secondary,no,449,yes,no,unknown,20,jun,136,3,-1,0,unknown,0.0
204,30,management,single,tertiary,no,0,yes,no,cellular,5,may,495,1,-1,0,unknown,0.0
205,44,housemaid,married,primary,no,398,no,no,cellular,7,jul,187,3,-1,0,unknown,0.0
206,52,entrepreneur,married,secondary,no,10,no,yes,cellular,17,jul,72,3,-1,0,unknown,0.0
207,40,blue-collar,married,secondary,no,125,yes,no,cellular,13,may,119,2,370,1,failure,0.0
208,23,admin.,married,secondary,no,299,yes,no,unknown,19,jun,104,1,-1,0,unknown,0.0
209,32,management,single,tertiary,no,191,no,no,cellular,8,jul,141,4,-1,0,unknown,0.0
210,38,admin.,married,secondary,no,1933,yes,no,cellular,16,apr,622,1,-1,0,unknown,0.0
211,37,technician,single,tertiary,no,3315,yes,no,cellular,9,apr,820,2,-1,0,unknown,0.0
212,60,entrepreneur,married,primary,no,987,no,no,unknown,19,jun,102,13,-1,0,unknown,0.0
213,29,entrepreneur,single,tertiary,no,430,no,yes,cellular,29,jan,624,2,-1,0,unknown,0.0
214,48,unemployed,married,primary,no,9622,no,no,cellular,12,aug,787,6,-1,0,unknown,0.0
215,34,admin.,single,secondary,no,126,yes,no,unknown,20,may,61,2,-1,0,unknown,0.0
216,35,admin.,married,tertiary,no,1145,yes,no,cellular,2,feb,82,2,-1,0,unknown,0.0
217,44,services,married,secondary,no,5781,yes,yes,cellular,15,may,195,1,-1,0,unknown,0.0
218,35,management,single,tertiary,no,824,yes,no,cellular,16,apr,693,2,-1,0,unknown,0.0
219,58,unemployed,married,tertiary,no,1798,yes,no,cellular,5,feb,19,8,-1,0,unknown,0.0
220,51,services,married,secondary,no,135,no,no,cellular,25,aug,105,4,-1,0,unknown,0.0
221,36,blue-collar,married,secondary,no,63,yes,no,unknown,2,jun,56,8,-1,0,unknown,0.0
222,60,management,married,tertiary,no,3876,no,yes,cellular,5,aug,445,3,-1,0,unknown,0.0
223,54,retired,married,tertiary,no,1778,no,no,cellular,14,aug,319,1,268,2,failure,0.0
224,31,admin.,married,secondary,no,8781,yes,no,cellular,14,may,680,1,177,1,success,1.0
225,54,blue-collar,married,secondary,no,2047,no,no,telephone,9,feb,150,7,194,6,failure,0.0
226,43,admin.,single,secondary,no,445,yes,no,unknown,19,may,546,2,-1,0,unknown,0.0
227,62,housemaid,married,unknown,no,2021,no,no,telephone,26,feb,361,1,-1,0,unknown,1.0
228,38,services,married,secondary,no,5293,yes,no,cellular,21,nov,1199,3,155,3,other,0.0
229,46,management,divorced,tertiary,no,302,no,no,cellular,18,aug,80,13,-1,0,unknown,0.0
230,50,blue-collar,divorced,primary,no,134,no,no,unknown,8,may,263,2,-1,0,unknown,0.0
231,43,blue-collar,married,primary,no,479,yes,no,cellular,14,may,293,2,370,2,failure,0.0
232,39,blue-collar,married,secondary,no,750,yes,yes,cellular,9,jul,175,1,-1,0,unknown,0.0
233,37,management,married,tertiary,no,887,no,no,cellular,13,aug,257,5,-1,0,unknown,0.0
234,51,technician,married,tertiary,no,-3,no,no,cellular,25,aug,91,9,-1,0,unknown,0.0
235,39,unemployed,married,secondary,no,270,yes,no,unknown,3,jun,116,1,-1,0,unknown,0.0
236,36,management,single,tertiary,no,2745,yes,no,cellular,8,aug,306,3,-1,0,unknown,0.0
237,34,blue-collar,married,secondary,no,855,no,yes,cellular,14,jul,616,3,-1,0,unknown,0.0
238,30,entrepreneur,married,secondary,no,2551,yes,no,unknown,5,jun,142,2,-1,0,unknown,0.0
239,32,blue-collar,single,primary,no,1918,yes,no,cellular,17,nov,321,1,-1,0,unknown,0.0
240,38,blue-collar,single,secondary,no,530,no,no,unknown,20,jun,17,6,-1,0,unknown,0.0
241,53,management,married,tertiary,no,1624,no,no,cellular,30,apr,284,3,84,3,success,1.0
242,25,technician,married,tertiary,no,914,yes,no,cellular,12,may,185,2,-1,0,unknown,0.0
243,59,retired,married,secondary,no,4457,no,no,cellular,28,jan,127,2,-1,0,unknown,0.0
244,38,blue-collar,married,secondary,no,814,yes,no,cellular,4,feb,306,1,-1,0,unknown,0.0
245,35,blue-collar,married,primary,no,424,yes,no,unknown,27,may,177,2,-1,0,unknown,0.0
246,20,student,single,unknown,no,479,no,no,cellular,11,sep,158,2,-1,0,unknown,0.0
247,30,management,married,tertiary,no,1251,no,no,cellular,5,feb,11,5,-1,0,unknown,0.0
248,54,management,married,tertiary,no,534,no,no,cellular,1,jun,177,2,-1,0,unknown,1.0
249,33,technician,married,secondary,no,218,yes,yes,cellular,10,aug,162,1,161,4,failure,0.0
250,34,management,single,tertiary,no,1730,yes,no,cellular,8,oct,97,2,-1,0,unknown,0.0
251,57,unknown,married,primary,no,8,no,no,telephone,19,oct,270,2,-1,0,unknown,0.0
252,32,blue-collar,married,secondary,no,328,yes,no,unknown,20,may,132,1,-1,0,unknown,0.0
253,53,admin.,married,primary,no,234,yes,no,telephone,13,may,53,7,-1,0,unknown,0.0
254,58,technician,married,secondary,no,-942,yes,no,cellular,17,nov,131,1,-1,0,unknown,0.0
255,43,management,married,secondary,no,10273,no,no,cellular,7,aug,359,2,-1,0,unknown,0.0
256,60,management,married,unknown,no,0,no,no,cellular,4,feb,273,1,-1,0,unknown,0.0
257,50,blue-collar,married,primary,no,4108,yes,no,cellular,7,aug,526,2,-1,0,unknown,1.0
258,34,management,single,secondary,no,0,no,no,cellular,22,aug,132,4,-1,0,unknown,0.0
259,42,technician,married,secondary,no,315,yes,no,unknown,6,may,259,2,-1,0,unknown,0.0
260,52,technician,divorced,secondary,no,137,yes,no,unknown,30,may,84,3,-1,0,unknown,0.0
261,41,technician,married,secondary,no,593,no,no,cellular,29,aug,95,6,-1,0,unknown,0.0
262,30,services,married,secondary,no,10667,no,no,cellular,20,nov,140,1,-1,0,unknown,0.0
263,41,admin.,married,primary,no,1316,yes,no,cellular,30,apr,127,3,-1,0,unknown,0.0
264,38,blue-collar,married,secondary,no,361,yes,no,unknown,11,jun,601,1,-1,0,unknown,0.0
265,44,technician,married,secondary,no,533,no,no,unknown,5,jun,74,1,-1,0,unknown,0.0
266,56,technician,married,primary,no,675,yes,no,unknown,29,may,137,1,-1,0,unknown,0.0
267,29,admin.,single,secondary,no,305,yes,no,cellular,6,may,138,2,-1,0,unknown,0.0
268,38,self-employed,married,unknown,no,10855,no,no,unknown,5,jun,57,2,-1,0,unknown,0.0
269,59,blue-collar,divorced,unknown,no,454,yes,no,cellular,10,jul,293,1,-1,0,unknown,0.0
270,56,management,married,secondary,no,0,no,no,telephone,18,nov,189,1,-1,0,unknown,0.0
271,54,retired,married,secondary,no,3538,no,no,cellular,27,may,820,1,-1,0,unknown,1.0
272,38,blue-collar,married,primary,no,3242,yes,no,cellular,17,apr,198,5,331,1,failure,0.0
273,46,management,married,tertiary,no,326,no,no,cellular,26,aug,182,7,-1,0,unknown,0.0
274,24,blue-collar,married,secondary,no,1222,yes,no,cellular,20,apr,369,1,-1,0,unknown,0.0
275,53,admin.,married,primary,no,6280,no,no,cellular,4,aug,441,2,-1,0,unknown,0.0
276,30,entrepreneur,single,tertiary,no,303,yes,no,cellular,14,may,176,2,365,4,failure,0.0
277,40,technician,married,secondary,no,1819,no,no,cellular,5,jun,398,2,-1,0,unknown,0.0
278,39,blue-collar,single,secondary,no,4143,yes,yes,unknown,2,jun,21,1,-1,0,unknown,0.0
279,39,management,married,secondary,no,11835,yes,no,cellular,11,aug,744,2,-1,0,unknown,1.0
280,54,management,married,tertiary,no,69,no,no,unknown,11,jun,113,1,-1,0,unknown,0.0
281,35,management,married,tertiary,no,0,no,no,cellular,11,jul,89,1,-1,0,unknown,0.0
282,38,blue-collar,single,secondary,no,238,yes,no,cellular,8,may,86,1,366,2,failure,0.0
283,57,technician,divorced,secondary,no,2352,yes,no,cellular,21,nov,757,2,-1,0,unknown,0.0
284,51,services,married,secondary,no,260,no,no,telephone,9,jul,183,2,-1,0,unknown,0.0
