Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability,Oil density,Oil recovery factor,Condensate recovery factor,Gas recovery factor
ALPINE,ALPINE,USA,NORTH AMERICA,NORTH SLOPE,COMPRESSION,70.3266,-150.892,CONOCOPHILLIPS,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,1980.0,JURASSIC,SANDSTONE,15.0,14.7,20.0,15.0,825.072886297376,0.43,,
ALTAMONT-BLUEBELL,GREEN RIVER AND COLTON/WASATCH,USA,NORTH AMERICA,UINTA,COMPRESSION,40.3,-110.21,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,4575.0,PALEOGENE,SANDSTONE,2400.0,172.5,5.0,0.1,825.072886297376,0.12,,
ALWYN NORTH,BRENT (BRENT EAST),UK,EUROPE,NORTH SEA NORTHERN,INVERSION,60.7833,1.7333,TOTAL,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,2937.0,JURASSIC,SANDSTONE,265.8,103.2,17.0,500.0,829.9120234604105,0.64,,
ALWYN NORTH,STATFJORD,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION,60.7833,1.7333,TOTAL,OFFSHORE,GAS-CONDENSATE,MATURE PRODUCTION,RIFT,3163.5,TRIASSIC-JURASSIC,SANDSTONE,260.7,153.6,13.5,330.0,792.7170868347339,,,0.54
ANASAZI,PARADOX (DESERT CREEK),USA,NORTH AMERICA,PARADOX,COMPRESSION,37.0789,-109.2333,RIM ENERGY,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,1672.5,CARBONIFEROUS,DOLOMITE,24.0,13.8,14.0,15.0,820.2898550724638,0.38,,
ANDREW,LISTA (ANDREW SANDSTONE),UK,EUROPE,NORTH SEA CENTRAL,INVERSION,58.0479,1.4208,BP,OFFSHORE,OIL,DECLINING PRODUCTION,SALT,2278.5,PALEOGENE,SANDSTONE,162.3,110.1,20.0,200.0,822.6744186046511,0.49,,0.81
ANETH,PARADOX (DESERT CREEK),USA,NORTH AMERICA,PARADOX,COMPRESSION,37.3038,-109.2469,CHEVRON /EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,1641.0,CARBONIFEROUS,DOLOMITE,30.0,15.0,10.0,15.0,820.2898550724638,0.39,,
ANGUS,ANGUS SAND,UK,EUROPE,NORTH SEA CENTRAL,EXTENSION,56.1648,3.0593,AMERADA HESS,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,3039.0,JURASSIC,SANDSTONE,30.0,18.0,18.0,3000.0,825.072886297376,,,
ANKLESHWAR,ANKLESHWAR (HAZAD-ARDOL),INDIA,FAR EAST,CAMBAY,STRIKE-SLIP,21.6,72.9167,ONGC,ONSHORE,OIL,MATURE PRODUCTION,WRENCH,885.0,PALEOGENE,SANDSTONE,201.0,0.0,21.0,250.0,815.5619596541786,0.53,,
ANSCHUTZ RANCH EAST,NUGGET,USA,NORTH AMERICA,WESTERN OVERTHRUST,COMPRESSION,41.0799,-111.0518,BP,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SUB-THRUST,3711.0,JURASSIC,SANDSTONE,306.0,244.8,10.0,3.0,771.1171662125341,,0.6,
ANTRIM SHALE,ANTRIM SHALE (NORWOOD-LACHINE),USA,NORTH AMERICA,MICHIGAN,STRIKE-SLIP,44.95399999999999,-84.6603,NUMEROUS,ONSHORE,GAS,PLATEAU PRODUCTION,INTRACRATONIC,150.0,DEVONIAN,SHALE,30.0,24.0,4.0,10.0,,,,
ARDJUNA-B,CIBULAKAN,INDONESIA,FAR EAST,JAVA NORTHWEST,INVERSION,-5.895,107.6981,BP,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC,693.0,NEOGENE,LOW-RESISTIVITY SANDSTONE,359.1,78.9,26.0,300.0,839.7626112759643,,,
ARLAN,KASHIRA-PODOL,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,,55.8569,54.3689,BASHNEFT,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,828.0,CARBONIFEROUS,DOLOMITIC LIMESTONE,42.3,7.8,,24.0,865.4434250764525,0.19,,
ARUN,ARUN LIMESTONE (PEUTU),INDONESIA,FAR EAST,SUMATRA NORTH,STRIKE-SLIP,5.0542,97.2583,EXXONMOBIL,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,BACKARC,2838.0,NEOGENE,LIMESTONE,231.0,150.0,16.0,13.5,754.6666666666666,,,0.88
ASAB,THAMAMA ZONE B-C,UAE,MIDDLE EAST,RUB AL KHALI,COMPRESSION,23.298,54.2216,ADCO,ONSHORE,OIL,DECLINING PRODUCTION,SALT,2355.0,CRETACEOUS,LIMESTONE,82.2,75.0,30.0,20.0,820.2898550724638,0.45,,
ASHTART,EL GARIA,TUNISIA,AFRICA,PELAGIAN,EXTENSION,34.29,11.3989,SEREPT,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,2640.0,PALEOGENE,LIMESTONE,88.5,73.8,17.2,42.0,878.3364369956549,0.46,,
AUGER,S SAND,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,,27.5458,-92.443,SHELL,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA,4752.0,NEOGENE,THINLY-BEDDED SANDSTONE,60.0,51.0,,150.0,844.776119402985,0.55,,
AUK,ROTLIEGEND (AUK),UK,EUROPE,NORTH SEA CENTRAL,EXTENSION,56.4125,2.0286,SHELL,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,2113.2,PERMIAN,SANDSTONE,294.0,252.0,19.0,5.0,834.8082595870206,,,
AUK,ZECHSTEIN (HALIBUT),UK,EUROPE,NORTH SEA CENTRAL,EXTENSION,56.4125,2.0286,SHELL,OFFSHORE,OIL,DEPLETED,RIFT,2113.2,PERMIAN,DOLOMITE,9.0,9.0,13.0,53.0,834.8082595870206,,,
AWALI,KHUFF,BAHRAIN,MIDDLE EAST,THE GULF,COMPRESSION,26.0333,50.5333,BAHRAIN NATIONAL OIL CO,ONSHORE,GAS,UNKNOWN,SALT,2682.9,PERMIAN,DOLOMITE,630.0,133.5,11.0,25.0,,,,0.72
AWALI,MAUDDUD,BAHRAIN,MIDDLE EAST,THE GULF,,26.0333,50.5333,BAHRAIN NATIONAL OIL CO,ONSHORE,OIL,DECLINING PRODUCTION,SALT,669.9,CRETACEOUS,LIMESTONE,33.0,33.0,,63.0,854.9848942598187,0.25,,
BAB,THAMAMA ZONE B,UAE,MIDDLE EAST,RUB AL KHALI,,23.875,53.5375,ADCO,ONSHORE,OIL,SECOND PLATEAU PRODUTION,SALT,2538.0,CRETACEOUS,LIMESTONE,43.2,38.1,,30.0,822.1963974433469,0.44,,
BADR EL DIN-1,BAHARIYA,EGYPT,AFRICA,ABU GHARADIG,EXTENSION,29.8589,28.5229,BAPETCO,ONSHORE,OIL,MATURE PRODUCTION,RIFT,3352.5,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,34.5,13.8,12.0,15.0,827.485380116959,0.24,,
BADR EL DIN-2,ABU ROASH G,EGYPT,AFRICA,ABU GHARADIG,EXTENSION,29.8698,27.7164,BAPETCO,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,2126.1,CRETACEOUS,SANDSTONE,142.8,28.5,21.5,55.0,766.9376693766937,,,0.67
BADR EL DIN-2,BAHARIYA,EGYPT,AFRICA,ABU GHARADIG,EXTENSION,29.8698,27.7164,BAPETCO,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,2263.8,CRETACEOUS,SANDSTONE,108.3,44.4,20.0,225.0,766.9376693766937,,,0.79
BADR EL DIN-3,KHARITA,EGYPT,AFRICA,ABU GHARADIG,EXTENSION,29.841,27.915,BAPETCO,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,3360.0,CRETACEOUS,SANDSTONE,413.4,133.8,14.0,340.0,850.8719182200841,0.25,,0.71
BADRI,BELAYIM,EGYPT,AFRICA,GULF OF SUEZ,EXTENSION,28.2349,33.4649,GUPCO,OFFSHORE,OIL,PLATEAU PRODUCTION,SUB-SALT,1507.5,NEOGENE,SANDSTONE,85.5,35.1,24.0,300.0,892.7444794952681,0.35,,
BADRI,KAREEM,EGYPT,AFRICA,GULF OF SUEZ,,28.2349,33.4649,GUPCO,OFFSHORE,OIL,THIRD PLATEAU PRODUCTION,SUB-SALT,1701.3,NEOGENE,SANDSTONE,300.0,87.0,,50.0,887.1473354231974,0.31,,0.8
BAHAR,PRODUCTIVE SERIES (PERERIVA-BALAKHANY),AZERBAIJAN,FORMER SOVIET UNION,CASPIAN SOUTH,,40.0822,50.0975,SOCAR,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION,4395.0,NEOGENE,SANDSTONE,300.0,147.0,,40.0,854.9848942598187,0.27,,
BAI HASSAN,MAIN LIMESTONE,IRAQ,MIDDLE EAST,ZAGROS,COMPRESSION,35.6378,44.0272,INOC,ONSHORE,OIL,REJUVENATING,FORELAND,735.0,PALEOGENE-NEOGENE,LIMESTONE,270.0,85.5,20.0,50.0,857.5757575757575,0.15,,
BAIKOUQUAN,BAIKOUQUAN,CHINA,FAR EAST,JUNGGAR (ZHUNGEER),COMPRESSION,45.9306,85.0333,PETROCHINA,ONSHORE,OIL,REJUVENATING,SUB-THRUST,2091.0,TRIASSIC,CONGLOMERATE,157.5,30.0,12.2,71.2,837.7738306690349,0.28,,
BAIRAM-ALI,SHATLYK,TURKMENISTAN,FORMER SOVIET UNION,AMU DARYA,,38.0,61.88,TURKMENGAS,ONSHORE,GAS,ABANDONED,FORELAND,2727.0,CRETACEOUS,SANDSTONE,69.0,59.1,,123.0,,,,
BALAM SOUTH,TELISA 600,INDONESIA,FAR EAST,SUMATRA CENTRAL,INVERSION,1.6669999999999998,100.733,CALTEX PACIFIC,ONSHORE,OIL,REJUVENATING,INVERSION,318.0,NEOGENE,LOW-RESISTIVITY SANDSTONE,36.0,21.0,32.0,68.0,876.1609907120743,0.12,,
BALDPATE,BIG SAND,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,GRAVITY,27.69,-91.73,AMERADA HESS,OFFSHORE,GAS,PLATEAU PRODUCTION,SALT,4155.0,NEOGENE,SANDSTONE,35.4,30.0,27.0,836.0,832.3529411764705,0.55,,0.69
BALOL,KALOL,INDIA,FAR EAST,CAMBAY,INVERSION,23.498,72.188,ONGC,ONSHORE,OIL,REJUVENATING,RIFT,940.8,PALEOGENE,SANDSTONE,44.4,3.9,28.0,5000.0,962.5850340136055,,,
BARONIA,RR2/RS2,MALAYSIA,FAR EAST,SABAH,GRAVITY,4.705,113.694,PETRONAS,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA,1984.5,NEOGENE,SANDSTONE,112.5,52.5,20.0,185.0,825.072886297376,0.31,,
BARQUE,LEMAN SANDSTONE,UK,EUROPE,NORTH SEA SOUTHERN,INVERSION,53.6204,1.5183,SHELL,OFFSHORE,GAS,DECLINING PRODUCTION,SUB-SALT,2070.0,PERMIAN,SANDSTONE,225.0,171.0,11.0,0.5,,,,0.45
BARRACOUTA,LATROBE (M1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,INVERSION,-38.2786,147.7094,EXXONMOBIL /BHP BILLITON,OFFSHORE,OIL,TEMPORARILY SHUT-IN,INVERSION,1308.0,PALEOGENE,SANDSTONE,29.4,14.7,27.0,5000.0,727.5064267352185,0.33,,
BARRACOUTA,LATROBE (N1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,INVERSION,-38.2786,147.7094,EXXONMOBIL /BHP BILLITON,OFFSHORE,GAS,DECLINING PRODUCTION,INVERSION,955.2,PALEOGENE,SANDSTONE,113.1,88.5,25.0,1000.0,,,,0.7
BEAVER LODGE,MISSION CANYON (MADISON),USA,NORTH AMERICA,WILLISTON,COMPRESSION,48.2713,-102.9547,AMERADA HESS,ONSHORE,OIL,REJUVENATING,INTRACRATONIC,2505.0,CARBONIFEROUS,LIMESTONE,36.0,6.0,6.0,1.0,810.888252148997,,,
BELAYIM MARINE,RUDEIS-KAREEM,EGYPT,AFRICA,GULF OF SUEZ,EXTENSION,28.603,33.1278,PETROBEL,OFFSHORE,OIL,DECLINING PRODUCTION,SUB-SALT,2127.0,NEOGENE,SANDSTONE,390.0,150.0,18.0,400.0,889.937106918239,0.46,,
BELL CREEK,MUDDY,USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,45.1039,-105.0967,SAMUEL GARY,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1290.0,CRETACEOUS,SANDSTONE,13.5,6.9,28.5,2250.0,862.8048780487804,0.55,,
BERRI,HANIFA,SAUDI ARABIA,MIDDLE EAST,THE GULF,COMPRESSION,26.9833,49.6167,SAUDI ARAMCO,OFFSHORE,OIL,DECLINING PRODUCTION,FORELAND,2250.0,JURASSIC,LIMESTONE,81.0,57.0,17.0,50.0,829.9120234604105,,,
BERYL,BERYL,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION,59.5498,1.5318,EXXONMOBIL,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,2760.0,JURASSIC,SANDSTONE,150.0,127.5,17.0,350.0,839.7626112759643,0.47,,
BERYL,LINNHE,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION,59.5498,1.5318,EXXONMOBIL,OFFSHORE,OIL,UNKNOWN,RIFT,2880.0,JURASSIC,SANDSTONE,90.0,36.0,14.0,100.0,834.8082595870206,,,
BERYL,NANSEN,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION,59.5498,1.5318,EXXONMOBIL,OFFSHORE,OIL,UNKNOWN,RIFT,2987.7,JURASSIC,SANDSTONE,54.0,43.2,18.0,200.0,839.7626112759643,,,
BIBI HAKIMEH,ASMARI,IRAN,MIDDLE EAST,ZAGROS,COMPRESSION,30.0572,50.6384,NIOC,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,945.0,PALEOGENE-NEOGENE,DOLOMITIC LIMESTONE,480.0,201.6,9.0,1.0,876.7038413878562,0.3,,0.8
BIG SANDY,OHIO SHALE,USA,NORTH AMERICA,APPALACHIAN,,37.7682,-82.4974,NUMEROUS,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,660.0,DEVONIAN,SHALE,180.0,30.0,,0.0,,,,
BILLINGS NOSE,MISSION CANYON (BIG STICK FIELD),USA,NORTH AMERICA,WILLISTON,EXTENSION,47.1,-103.32,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,2835.0,CARBONIFEROUS,DOLOMITE,30.0,5.4,17.0,20.0,825.072886297376,0.175,,
BINDLEY,WARSAW,USA,NORTH AMERICA,ANADARKO,COMPRESSION,38.1838,-99.9569,CONOCOPHILLIPS AND OTHERS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1374.0,CARBONIFEROUS,DOLOMITE,15.0,3.6,15.0,35.0,834.8082595870206,,,
BLACK LAKE,SLIGO (PETTET),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,31.9486,-92.932,PLACID OIL,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,PASSIVE MARGIN,2337.0,CRETACEOUS,LIMESTONE,45.0,21.8,15.0,133.0,797.1830985915493,,,
BOB WEST,WILCOX (LOPENO SANDS),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,26.57,-99.15,SANCHEZ - O BRIEN /COASTAL,ONSHORE,GAS,DECLINING PRODUCTION,DELTA,2962.5,PALEOGENE,SANDSTONE,900.0,195.0,16.0,0.6,,,,
BONGKOT,MALAY II,THAILAND,FAR EAST,MALAY,STRIKE-SLIP,8.0876,102.2849,PTTEP,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,WRENCH,906.0,NEOGENE,SANDSTONE,1020.0,36.0,22.0,160.0,779.6143250688706,,,
BOONSVILLE,BEND CONGLOMERATE,USA,NORTH AMERICA,FORT WORTH,INVERSION,33.1875,-97.9167,NUMEROUS,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,1350.0,CARBONIFEROUS,CONGLOMERATE,330.0,21.9,10.0,3.0,,,,
BRADFORD,CLEVELAND,USA,NORTH AMERICA,ANADARKO,COMPRESSION,36.27244,-100.33188,NUMEROUS,ONSHORE,GAS,REJUVENATING,FORELAND,2197.5,CARBONIFEROUS,SHALY SANDSTONE,105.0,10.2,12.0,0.1,797.1830985915493,,,
BRAGE,FENSFJORD,NORWAY,EUROPE,NORTH SEA NORTHERN,EXTENSION,60.5868,3.0943,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,1904.4,JURASSIC,SANDSTONE,36.9,24.6,27.0,80.0,839.7626112759643,0.32,,
BRAGE,STATFJORD,NORWAY,EUROPE,NORTH SEA NORTHERN,EXTENSION,60.5868,3.0943,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,2128.8,TRIASSIC-JURASSIC,SANDSTONE,93.6,24.6,24.0,1500.0,839.7626112759643,0.64,,
BRANTON,COTTON VALLEY LIME,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,31.3593,-96.2189,MARATHON,ONSHORE,GAS,NEARLY DEPLETED,SALT,4443.0,JURASSIC,CHALKY LIMESTONE,112.5,60.0,25.0,5.0,,,,
BRAVO DOME,TUBB,USA,NORTH AMERICA,SIERRA GRANDE UPLIFT,COMPRESSION,36.0049,-103.8177,BP,ONSHORE,CARBON DIOXIDE,PLATEAU PRODUCTION,FORELAND,588.0,PERMIAN,SANDSTONE,75.0,36.0,20.0,42.0,,,,0.8
BREAM,LATROBE (N1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,,-38.5221,147.7981,EXXONMOBIL /BHP BILLITON,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION,1728.0,PALEOGENE,SANDSTONE,29.4,15.6,,2900.0,801.6997167138811,,,0.77
BRIDGER LAKE,DAKOTA SANDSTONE (LOWER MEMBER),USA,NORTH AMERICA,GREATER GREEN RIVER,COMPRESSION,40.9639,-110.3091,BTA OIL PRODUCERS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4638.0,CRETACEOUS,SANDSTONE,81.0,10.5,12.8,79.0,823.6321303841676,0.21,,
BRITANNIA,BRITANNIA SANDSTONE,UK,EUROPE,NORTH SEA CENTRAL,EXTENSION,58.0824,0.8413,BRITTANIA OPERATOR LIMITED,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,3405.0,CRETACEOUS,SANDSTONE,82.5,36.0,15.0,40.0,792.7170868347339,,,0.65
BU ATTIFEL,SARIR,LIBYA,AFRICA,SIRT,,28.8453,22.1197,ENI,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,3975.0,CRETACEOUS,SANDSTONE,240.0,147.0,,90.0,820.2898550724638,0.5,,
BU HASA,SHUAIBA,UAE,MIDDLE EAST,RUB AL KHALI,COMPRESSION,23.531,53.2953,ADCO,ONSHORE,OIL,SECOND PLATEAU PRODUTION,SALT,2295.0,CRETACEOUS,LIMESTONE,126.0,87.0,23.0,20.0,829.9120234604105,0.46,,
BUL HANINE,ARAB D,QATAR,MIDDLE EAST,RUB AL KHALI,GRAVITY,25.4333,52.7,QATAR PETROLEUM,OFFSHORE,OIL,DECLINING PRODUCTION,SALT,2181.0,JURASSIC,LIMESTONE,72.0,42.0,23.0,200.0,849.8498498498498,0.59,,
BUL HANINE,UWAINAT,QATAR,MIDDLE EAST,RUB AL KHALI,GRAVITY,25.4333,52.7,QATAR PETROLEUM,OFFSHORE,OIL,UNKNOWN,SALT,2530.5,JURASSIC,LIMESTONE,54.0,42.0,14.0,25.0,839.7626112759643,0.15,,
BUNYU,TARAKAN-SANTUL-TABUL-BUNYU,INDONESIA,FAR EAST,TARAKAN,INVERSION,3.4708,117.8625,PERTAMINA,ONSHORE,GAS,NEARLY DEPLETED,INVERSION,334.5,NEOGENE,THINLY-BEDDED SANDSTONE,2460.0,117.0,25.0,1000.0,865.4434250764525,0.29,,0.75
CABIN CREEK,INTERLAKE,USA,NORTH AMERICA,WILLISTON,,46.5782,-104.4303,SHELL,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,2520.0,SILURIAN,DOLOMITE,120.0,21.0,,5.0,865.4434250764525,,,
CABIN CREEK,RED RIVER,USA,NORTH AMERICA,WILLISTON,COMPRESSION,46.5782,-104.4303,SHELL,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,2625.0,ORDOVICIAN,DOLOMITE,150.0,12.0,13.0,8.0,860.1823708206687,0.49,,
CAHOJ,LANSING-KANSAS CITY,USA,NORTH AMERICA,ANADARKO,COMPRESSION,39.9739,-101.1508,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,1209.0,CARBONIFEROUS,LIMESTONE,79.5,4.2,15.0,10.0,854.9848942598187,,,
CANDEIAS,GOMO (CANDEIAS),BRAZIL,LATIN AMERICA,RECONCAVO,EXTENSION,-12.6634,-38.5668,PETROBRAS,ONSHORE,OIL,MATURE PRODUCTION,RIFT,634.8,CRETACEOUS,CONGLOMERATE,442.8,54.0,15.0,30.0,876.1609907120743,0.27,,
CANO LIMON,LOWER CARBONERA,COLOMBIA,LATIN AMERICA,LLANOS,STRIKE-SLIP,6.943,-71.1397,OCCIDENTAL,ONSHORE,OIL,REJUVENATING,WRENCH,2085.0,PALEOGENE,SANDSTONE,70.5,37.8,24.0,1450.0,878.8819875776397,0.59,,
CARMOPOLIS,CARMOPOLIS (MURIBECA),BRAZIL,LATIN AMERICA,SERGIPE-ALAGOAS,EXTENSION,-10.6588,-36.9488,PETROBRAS,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,536.4,CRETACEOUS,CONGLOMERATE,114.0,105.0,15.0,60.0,921.8241042345277,0.24,,
CAROLINE,CARDIUM (E POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.9278,-114.5405,NUMEROUS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2392.5,CRETACEOUS,SANDSTONE,90.0,2.1,11.0,20.0,815.5619596541786,0.24,,
CAROLINE,SWAN HILLS (BEAVERHILL LAKE A),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.9278,-114.5405,NUMEROUS,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,FORELAND,3450.0,DEVONIAN,DOLOMITE,90.0,18.0,10.0,100.0,,,0.7,0.77
CAROLINE,VIKING,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.9278,-114.5405,NUMEROUS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2280.0,CRETACEOUS,SANDSTONE,47.4,4.5,9.5,10.0,829.9120234604105,0.12,,0.78
CARPINTERIA,PICO,USA,NORTH AMERICA,VENTURA,COMPRESSION,34.3408,-119.5309,PXP AND OTHERS,OFFSHORE,OIL,DECLINING PRODUCTION,THRUST,550.5,NEOGENE,SANDSTONE,600.0,105.0,28.0,550.0,904.1533546325878,0.25,,
CARROT CREEK,CARDIUM (CARROT CREEK),CANADA,NORTH AMERICA,WESTERN CANADA,,53.4814,-115.7487,BP AND OTHERS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,1560.0,CRETACEOUS,CONGLOMERATE,90.0,4.5,,15.0,854.9848942598187,0.185,,
CARTHAGE,COTTON VALLEY SANDSTONE,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,32.1988,-94.2574,NUMEROUS,ONSHORE,GAS,PLATEAU PRODUCTION,PASSIVE MARGIN,2460.0,JURASSIC,SANDSTONE,450.0,45.0,7.0,0.0,779.6143250688706,,,
CARTHAGE,LOWER PETTET (SLIGO),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,32.1988,-94.2574,NUMEROUS,ONSHORE,GAS,REJUVENATING,PASSIVE MARGIN,1755.6,CRETACEOUS,LIMESTONE,75.0,4.5,18.0,35.0,815.5619596541786,,,
