"","GoodStudent","Age","SocioEcon","RiskAversion","VehicleYear","ThisCarDam","RuggedAuto","Accident","MakeModel","DrivQuality","Mileage","Antilock","DrivingSkill","SeniorTrain","ThisCarCost","Theft","CarValue","HomeBase","AntiTheft","PropCost","OtherCarCost","OtherCar","MedCost","Cushioning","Airbag","ILiCost","DrivHist"
"22","False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"23","False","Adolescent","UpperMiddle","Normal","Current","Moderate","Football","Moderate","SportsCar","Poor","FiftyThou","True","SubStandard","False","HundredThou","False","FiftyThou","Secure","True","HundredThou","HundredThou","True","Thousand","Good","True","Thousand","One"
"24","False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Excellent","TwentyThou","False","Expert","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"25","False","Adult","UpperMiddle","Normal","Current","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","TwentyThou","Secure","False","TenThou","Thousand","True","Thousand","Good","True","Thousand","Zero"
"26","False","Adult","Middle","Cautious","Older","Severe","EggShell","Moderate","SportsCar","Poor","Domino","False","SubStandard","False","TenThou","False","FiveThou","Secure","True","TenThou","Thousand","True","Thousand","Good","True","Thousand","Zero"
"27","False","Adolescent","UpperMiddle","Adventurous","Current","None","EggShell","None","SportsCar","Poor","FiftyThou","True","SubStandard","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Many"
"28","False","Adolescent","Prole","Adventurous","Older","None","EggShell","None","Economy","Excellent","TwentyThou","False","Expert","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"29","False","Senior","UpperMiddle","Cautious","Older","None","Tank","None","Luxury","Normal","FiftyThou","True","Normal","True","Thousand","False","FiftyThou","Secure","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"30","False","Adult","Middle","Normal","Older","None","EggShell","None","SportsCar","Normal","FiftyThou","False","Normal","False","Thousand","False","TenThou","Secure","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"31","False","Senior","UpperMiddle","Normal","Current","None","Tank","None","Luxury","Excellent","FiftyThou","True","Expert","False","Thousand","False","FiftyThou","Suburb","True","Thousand","Thousand","False","Thousand","Excellent","True","Thousand","Zero"
"32","False","Senior","Prole","Cautious","Older","None","Football","None","Economy","Excellent","FiveThou","False","Expert","True","Thousand","False","TenThou","Suburb","True","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"33","False","Adolescent","UpperMiddle","Adventurous","Current","None","Football","None","Luxury","Poor","FiftyThou","True","SubStandard","False","Thousand","False","FiftyThou","City","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Many"
"34","False","Adult","Middle","Normal","Older","Mild","Football","Mild","FamilySedan","Poor","FiveThou","False","SubStandard","False","Thousand","False","FiveThou","Suburb","True","TenThou","Thousand","True","Thousand","Poor","False","Thousand","One"
"35","False","Senior","UpperMiddle","Cautious","Current","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","True","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","False","Thousand","Excellent","True","Thousand","Zero"
"36","False","Adult","Middle","Normal","Older","None","Tank","Mild","FamilySedan","Poor","TwentyThou","False","SubStandard","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","One"
"37","False","Adult","Middle","Normal","Current","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","TwentyThou","Suburb","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","One"
"38","False","Senior","UpperMiddle","Cautious","Older","None","EggShell","None","SportsCar","Normal","FiftyThou","True","Normal","True","Thousand","False","TenThou","Secure","True","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"39","False","Adolescent","Prole","Normal","Older","Severe","Football","Severe","FamilySedan","Poor","TwentyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","TenThou","TenThou","True","Thousand","Good","False","Thousand","Many"
"40","False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"41","False","Adult","Middle","Normal","Current","None","EggShell","None","SportsCar","Normal","FiftyThou","True","Normal","False","Thousand","False","TwentyThou","Secure","False","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"42","False","Adult","UpperMiddle","Normal","Current","Severe","Football","Severe","Economy","Poor","Domino","False","SubStandard","False","TenThou","False","TenThou","Secure","True","TenThou","TenThou","True","Thousand","Good","True","Thousand","Many"
"43","False","Senior","UpperMiddle","Cautious","Current","None","EggShell","None","Luxury","Normal","FiftyThou","True","Normal","True","Thousand","False","FiftyThou","Secure","True","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"44","False","Adult","Prole","Normal","Older","Severe","EggShell","Severe","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","HundredThou","HundredThou","True","Thousand","Fair","False","Thousand","Many"
"45","False","Senior","UpperMiddle","Cautious","Current","Mild","EggShell","Mild","SportsCar","Poor","Domino","False","SubStandard","True","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Many"
"46","False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"47","False","Adult","Prole","Adventurous","Older","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","Rural","False","TenThou","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"48","False","Adult","Middle","Adventurous","Older","None","Football","None","FamilySedan","Excellent","FiftyThou","False","Expert","False","Thousand","False","TenThou","Suburb","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"49","False","Adult","Middle","Cautious","Older","None","EggShell","None","SportsCar","Normal","FiveThou","False","Normal","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","False","Thousand","Poor","False","Thousand","One"
"50","False","Senior","Prole","Normal","Older","Moderate","EggShell","Mild","Economy","Poor","TwentyThou","False","SubStandard","False","TenThou","False","FiveThou","City","True","TenThou","Thousand","True","Thousand","Poor","True","Thousand","Many"
"51","False","Adult","Prole","Adventurous","Older","None","Football","None","SportsCar","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","One"
"52","False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","Secure","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"53","False","Adult","Middle","Normal","Older","Mild","EggShell","Mild","SportsCar","Poor","FiftyThou","False","SubStandard","False","Thousand","False","FiveThou","Secure","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Many"
"54","False","Adult","Middle","Normal","Older","None","EggShell","None","SportsCar","Normal","FiftyThou","True","Normal","False","Thousand","False","TwentyThou","Suburb","True","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"55","False","Adult","Prole","Normal","Older","Mild","Football","Mild","Economy","Poor","TwentyThou","False","SubStandard","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","True","Thousand","Good","False","Thousand","Many"
"56","False","Adult","Middle","Psychopath","Older","None","EggShell","None","Economy","Poor","FiveThou","False","Normal","False","Thousand","False","TenThou","Secure","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Many"
"57","True","Adolescent","Middle","Adventurous","Older","None","Tank","None","FamilySedan","Poor","FiveThou","False","SubStandard","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","True","Thousand","Excellent","False","Thousand","Many"
"58","False","Adult","Prole","Normal","Older","None","EggShell","None","SportsCar","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"59","False","Senior","Prole","Normal","Older","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","True","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"60","False","Senior","Prole","Cautious","Older","None","EggShell","None","Economy","Normal","FiveThou","False","Normal","True","Thousand","False","TenThou","Rural","True","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"61","False","Adolescent","Wealthy","Adventurous","Current","None","Football","None","SuperLuxury","Excellent","FiveThou","True","Normal","False","Thousand","False","Million","Rural","True","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"62","False","Senior","UpperMiddle","Adventurous","Current","Moderate","Tank","Severe","Luxury","Poor","Domino","True","SubStandard","False","HundredThou","False","FiftyThou","Secure","False","HundredThou","TenThou","True","Thousand","Excellent","True","Thousand","Many"
"63","False","Senior","Prole","Adventurous","Older","None","EggShell","None","Economy","Excellent","FiftyThou","False","Expert","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"64","False","Adult","Prole","Psychopath","Older","None","Tank","None","FamilySedan","Poor","TwentyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Excellent","True","Thousand","One"
"65","False","Adult","Prole","Cautious","Older","Severe","EggShell","Severe","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","City","True","TenThou","Thousand","True","TenThou","Poor","False","Thousand","Zero"
"66","True","Adolescent","Prole","Normal","Older","None","Tank","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","True","Thousand","Excellent","False","Thousand","Zero"
"67","False","Adolescent","Middle","Normal","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"68","False","Adolescent","Prole","Adventurous","Current","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"69","False","Adult","Prole","Normal","Current","Severe","EggShell","Moderate","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","TenThou","Suburb","True","TenThou","Thousand","True","Thousand","Poor","True","Thousand","Many"
"70","False","Adult","Middle","Normal","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Rural","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"71","False","Adolescent","Middle","Cautious","Current","None","Football","None","FamilySedan","Normal","TwentyThou","True","Normal","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","False","Thousand","Excellent","True","Thousand","Zero"
"72","False","Adult","UpperMiddle","Normal","Current","None","EggShell","None","SportsCar","Normal","FiveThou","True","Normal","False","Thousand","False","TwentyThou","Secure","True","TenThou","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"73","False","Adult","Prole","Cautious","Older","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","Rural","True","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"74","False","Adult","UpperMiddle","Normal","Older","None","Tank","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Rural","True","TenThou","Thousand","False","Thousand","Good","False","Thousand","Zero"
"75","False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"76","False","Senior","Middle","Cautious","Current","None","Tank","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Secure","True","TenThou","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"77","True","Adolescent","UpperMiddle","Normal","Current","None","EggShell","None","SportsCar","Excellent","TwentyThou","True","Expert","False","Thousand","False","FiftyThou","Suburb","True","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"78","False","Adult","UpperMiddle","Normal","Current","None","EggShell","None","SportsCar","Normal","Domino","True","Normal","False","Thousand","False","TwentyThou","Suburb","True","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"79","False","Adult","UpperMiddle","Normal","Current","None","EggShell","None","Economy","Poor","FiftyThou","False","SubStandard","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Many"
"80","False","Adolescent","Prole","Adventurous","Older","Mild","EggShell","Mild","Economy","Poor","TwentyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"81","False","Adolescent","Middle","Normal","Current","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Secure","False","TenThou","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"82","False","Senior","Middle","Normal","Older","None","EggShell","None","SportsCar","Poor","FiveThou","False","SubStandard","False","Thousand","False","TwentyThou","Suburb","False","TenThou","Thousand","True","Thousand","Fair","True","Thousand","Many"
"83","False","Adult","Prole","Cautious","Older","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"84","False","Adult","Middle","Normal","Current","None","Football","None","SportsCar","Normal","TwentyThou","True","Normal","False","Thousand","False","TenThou","Secure","False","Thousand","Thousand","False","Thousand","Excellent","True","Thousand","Zero"
"85","False","Adult","UpperMiddle","Adventurous","Current","None","Football","None","SportsCar","Excellent","FiftyThou","True","Normal","False","Thousand","False","TwentyThou","City","False","Thousand","Thousand","False","Thousand","Good","True","Thousand","One"
"86","False","Adult","Prole","Cautious","Older","None","EggShell","None","SportsCar","Excellent","TwentyThou","False","Expert","False","Thousand","False","TwentyThou","City","True","Thousand","Thousand","False","Thousand","Poor","True","Thousand","Zero"
"87","False","Adolescent","Middle","Adventurous","Older","None","Football","None","FamilySedan","Excellent","FiftyThou","False","Expert","False","Thousand","False","TenThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"88","False","Senior","UpperMiddle","Normal","Current","None","Football","None","Luxury","Normal","FiftyThou","True","Normal","True","Thousand","False","FiftyThou","Secure","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"89","False","Adult","Middle","Cautious","Current","None","Football","None","FamilySedan","Poor","FiftyThou","True","SubStandard","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"90","False","Adult","UpperMiddle","Normal","Older","Severe","EggShell","Severe","SportsCar","Poor","Domino","False","SubStandard","False","TenThou","False","FiveThou","Suburb","False","TenThou","TenThou","True","Thousand","Fair","False","Thousand","Many"
"91","False","Adult","Middle","Cautious","Older","None","Tank","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"92","False","Adult","UpperMiddle","Normal","Current","None","EggShell","None","Luxury","Excellent","TwentyThou","True","Expert","False","Thousand","False","FiftyThou","Suburb","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"93","False","Adult","UpperMiddle","Adventurous","Current","None","Tank","None","FamilySedan","Normal","Domino","True","Normal","False","Thousand","False","TwentyThou","Secure","False","TenThou","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"94","False","Adult","Middle","Cautious","Older","None","Tank","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","Secure","True","TenThou","Thousand","True","Thousand","Good","False","Thousand","Zero"
"95","True","Adolescent","Middle","Psychopath","Current","Mild","EggShell","Moderate","FamilySedan","Poor","FiftyThou","False","SubStandard","False","Thousand","False","TwentyThou","City","False","HundredThou","HundredThou","True","Thousand","Poor","True","Thousand","Many"
"96","False","Senior","Middle","Cautious","Older","None","EggShell","None","Economy","Excellent","FiftyThou","False","Expert","False","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"97","False","Adult","Prole","Cautious","Current","None","Football","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","City","True","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"98","False","Adult","UpperMiddle","Adventurous","Current","Moderate","Tank","Severe","FamilySedan","Normal","FiftyThou","False","Normal","False","HundredThou","False","TwentyThou","City","True","HundredThou","TenThou","True","Thousand","Excellent","True","Thousand","Zero"
"99","False","Adult","UpperMiddle","Normal","Current","None","Football","None","FamilySedan","Normal","Domino","True","Normal","False","Thousand","False","TwentyThou","Suburb","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"100","False","Adult","Prole","Normal","Current","Moderate","EggShell","Mild","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","TenThou","City","False","TenThou","Thousand","True","Thousand","Fair","True","Thousand","Many"
"101","False","Adult","UpperMiddle","Cautious","Current","None","Football","None","Luxury","Normal","FiveThou","True","Normal","False","Thousand","False","FiftyThou","Secure","True","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"102","False","Adult","Middle","Adventurous","Older","Moderate","Football","Moderate","FamilySedan","Poor","TwentyThou","False","SubStandard","False","HundredThou","False","TwentyThou","Suburb","False","HundredThou","Thousand","True","Thousand","Fair","False","Thousand","Many"
"103","False","Adult","Prole","Cautious","Older","Severe","Football","Severe","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","City","True","TenThou","TenThou","True","Thousand","Good","False","Thousand","Many"
"104","False","Adult","Middle","Adventurous","Older","None","EggShell","None","SportsCar","Normal","TwentyThou","False","Normal","False","Thousand","False","FiftyThou","Suburb","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"105","False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"106","False","Adolescent","UpperMiddle","Adventurous","Current","None","Football","None","Luxury","Poor","TwentyThou","True","Normal","False","Thousand","False","FiftyThou","City","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","One"
"107","False","Senior","Prole","Normal","Older","None","EggShell","None","Economy","Poor","Domino","False","SubStandard","False","Thousand","False","FiveThou","Rural","True","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"108","False","Adult","Middle","Normal","Current","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"109","False","Adult","Prole","Cautious","Older","None","EggShell","None","Economy","Excellent","FiftyThou","False","Expert","False","Thousand","False","FiveThou","Rural","True","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"110","False","Adolescent","Prole","Adventurous","Older","Severe","EggShell","Severe","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","HundredThou","HundredThou","True","TenThou","Poor","False","Thousand","Many"
"111","False","Adult","Middle","Psychopath","Current","Severe","Football","Severe","FamilySedan","Poor","TwentyThou","False","Normal","False","HundredThou","False","TwentyThou","Secure","False","HundredThou","TenThou","True","Thousand","Good","True","Thousand","Many"
"112","False","Adult","UpperMiddle","Normal","Current","None","Football","None","FamilySedan","Excellent","FiftyThou","False","Expert","False","Thousand","False","TwentyThou","Rural","True","Thousand","Thousand","False","Thousand","Good","True","Thousand","Zero"
"113","False","Adolescent","Middle","Cautious","Older","None","Football","None","FamilySedan","Excellent","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"114","False","Adult","Middle","Normal","Current","None","EggShell","None","FamilySedan","Normal","FiftyThou","True","Normal","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"115","False","Senior","Middle","Cautious","Current","None","Football","None","FamilySedan","Excellent","TwentyThou","False","Expert","True","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","False","Thousand","Excellent","True","Thousand","Zero"
"116","False","Adult","Prole","Adventurous","Older","None","EggShell","None","Economy","Excellent","TwentyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","One"
"117","False","Adult","Prole","Normal","Older","None","Tank","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Rural","False","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"118","False","Senior","Prole","Psychopath","Older","Severe","Tank","Severe","FamilySedan","Poor","FiftyThou","False","Normal","False","TenThou","False","FiveThou","City","False","HundredThou","HundredThou","True","Thousand","Good","False","TenThou","One"
"119","False","Adult","Prole","Adventurous","Older","None","EggShell","None","Economy","Poor","FiftyThou","False","SubStandard","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Many"
"120","False","Adult","Middle","Adventurous","Older","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","One"
"121","False","Adult","Middle","Normal","Current","Moderate","Tank","Severe","FamilySedan","Poor","FiveThou","True","SubStandard","False","HundredThou","False","TwentyThou","Suburb","True","HundredThou","TenThou","False","Thousand","Excellent","True","TenThou","Many"
"122","False","Adolescent","Prole","Adventurous","Older","None","EggShell","None","SportsCar","Normal","Domino","False","Normal","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"123","False","Senior","UpperMiddle","Cautious","Older","Mild","Football","Mild","Luxury","Normal","Domino","True","Normal","True","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"124","False","Adolescent","Prole","Cautious","Older","None","Football","None","FamilySedan","Excellent","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","True","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"125","False","Adolescent","Prole","Adventurous","Older","Severe","EggShell","Moderate","FamilySedan","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","HundredThou","HundredThou","True","Million","Poor","False","Thousand","Many"
"126","False","Adult","Prole","Adventurous","Current","None","Football","None","FamilySedan","Excellent","TwentyThou","True","Normal","False","Thousand","False","TenThou","City","False","Thousand","Thousand","False","Thousand","Good","True","Thousand","Zero"
