,LVFAILURE,HISTORY,LVEDVOLUME,CVP,PCWP,HYPOVOLEMIA,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HR,ERRCAUTER,HREKG,HRSAT,ANAPHYLAXIS,TPR,ARTCO2,EXPCO2,VENTLUNG,INTUBATION,MINVOL,FIO2,PVSAT,VENTALV,SAO2,SHUNT,PULMEMBOLUS,PAP,PRESS,KINKEDTUBE,VENTTUBE,MINVOLSET,VENTMACH,DISCONNECT,CATECHOL,INSUFFANESTH,CO,BP
19,1,1,0,0,0,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,1
20,1,1,0,0,0,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,0
21,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,1
22,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,1,1,1,0,1,0,0,1,1,3,1,0,0,1,1,1,1,2,2
23,1,1,0,0,1,1,1,1,2,2,1,2,2,1,2,1,1,0,0,0,1,0,2,0,0,1,1,2,1,1,1,2,1,1,1,2,2
24,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,0,1,1,0,3,1,2,3,2,0,1,1,1,1,3,1,2,1,1,1,2,2
25,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
26,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,0,3,1,0,3,1,1,3,1,0,1,1,3,1,1,1,2,1,1,1,2,2
27,1,1,1,1,0,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
28,1,1,0,0,0,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,0,2,2
29,1,1,2,2,1,1,1,0,1,2,1,2,2,1,1,2,1,0,0,0,1,0,0,2,0,1,1,0,0,0,2,0,1,1,1,2,1
30,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
31,1,1,0,0,0,1,1,1,0,1,1,0,0,1,2,0,1,1,0,3,1,2,3,2,0,1,1,1,1,3,2,3,1,0,0,0,1
32,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,3,1,0,1,2,0,1,1,1,0
33,1,1,1,1,0,1,1,1,2,2,0,1,1,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
34,1,1,1,1,1,1,2,1,2,2,1,2,2,1,0,1,2,2,0,1,1,2,2,0,0,1,1,3,1,1,1,2,1,1,1,2,0
35,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,1,1,1,2,1,1,1,2,1,1,1,2,1
36,1,1,1,1,1,0,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
37,1,1,2,2,2,0,0,1,2,2,1,2,2,1,1,0,1,1,0,3,1,2,3,2,0,1,1,1,1,3,2,3,1,1,1,0,0
38,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,1,1
39,1,1,2,2,2,0,1,1,2,2,1,2,2,1,1,2,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,2,2
40,1,1,2,2,2,0,1,1,0,1,1,0,0,1,2,0,1,1,0,3,1,2,3,2,0,1,1,3,1,1,1,2,1,0,1,1,2
41,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,0
42,0,0,0,0,0,1,0,1,0,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,0,1
43,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,0,0,0,0,0,1,2,3,2,0,1,1,3,1,1,1,2,1,0,1,1,2
44,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,0,3,1,1,1,2,1,1,1,2,1
45,1,1,1,1,1,1,1,0,2,1,1,0,0,1,2,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,0,1,0,1,1,1
46,1,1,2,1,2,0,0,1,0,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,0,1,0,1,0,1,0,0
47,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
48,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,1
49,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,0,1,1,1
50,1,1,1,1,1,1,0,1,2,2,1,2,2,1,1,2,3,3,2,3,1,0,1,0,1,1,1,3,1,3,2,3,1,1,1,0,0
51,1,1,0,2,0,1,1,1,0,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,0,1,2
52,1,1,1,0,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
53,1,1,2,2,2,1,0,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,0,0
54,1,1,0,0,0,1,1,1,1,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
55,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
56,1,1,2,2,2,0,0,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,2,0,1,1,0,1,1,1,2,1,1,0,0,0
57,1,1,1,1,1,1,1,0,1,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,0,1,0,1,1,1,2,0
58,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,2
59,1,1,1,1,1,1,1,0,1,2,1,2,2,1,2,2,1,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2,1,1,1,2,2
60,1,1,2,1,2,0,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,2,0,1,1,2,1,1,1,2,1,1,1,2,2
61,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,0
62,1,1,1,1,1,1,1,1,2,2,0,1,1,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
63,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,1
64,1,1,2,2,2,0,0,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,1,1
65,1,1,2,2,2,0,0,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,0
66,1,0,1,1,1,1,1,1,0,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,1,2,0,0,3,2,3,1,0,1,1,2
67,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,2,1,1,1,2,2
68,1,1,2,2,2,1,1,1,0,1,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,0,1,0,1,1,0,1,0
69,1,1,1,2,1,1,1,1,0,1,1,0,0,1,2,2,2,1,1,0,1,0,0,0,0,1,2,2,1,1,1,2,1,0,1,1,2
70,1,1,1,1,0,1,1,1,2,2,1,2,2,1,1,1,1,0,0,0,1,0,2,0,0,1,1,2,1,1,1,2,1,1,1,2,2
71,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,0
72,1,1,2,2,2,0,1,1,0,1,1,1,0,1,2,0,0,1,0,3,1,2,3,2,0,1,1,3,1,0,0,1,0,0,1,0,1
73,1,1,1,1,1,1,1,1,2,2,0,1,1,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
74,1,1,2,2,2,0,0,1,2,2,1,2,2,1,2,2,2,1,0,3,1,0,0,0,0,1,2,1,1,3,2,3,1,1,1,0,1
75,1,1,2,2,2,0,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
76,1,1,2,2,2,0,0,1,2,2,0,1,1,1,2,2,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,2,1,1,1,0,1
77,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,0,1,1,1,1,0
78,1,1,2,2,2,0,0,1,0,1,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,0,0
79,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,1,1,1,1
80,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,3,1,0,0,0,0,1,1,3,1,1,1,2,1,1,0,2,0
81,1,1,1,1,1,1,1,1,2,2,0,1,1,1,0,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,0
82,1,1,2,2,2,0,1,1,2,2,1,0,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,0
83,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,0,1,2,0,1,1,2,2
84,1,1,2,2,2,0,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,1,1,3,1,2,1,1,1,2,0
85,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
86,1,1,1,1,1,1,1,1,2,2,0,1,1,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,0
87,0,0,0,0,0,1,0,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,0,0
88,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,2,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,1,1
89,1,0,1,1,1,1,1,1,2,2,1,2,2,1,2,2,3,3,0,1,1,0,1,0,0,1,1,3,1,2,2,3,0,1,1,2,1
90,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,0,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,0
91,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,3,3,0,1,1,0,1,0,0,1,1,0,1,1,1,2,1,1,1,2,1
92,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
93,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,0
94,1,1,1,1,1,1,0,1,2,2,1,2,2,1,2,0,1,1,0,3,1,2,3,0,1,1,1,3,1,0,0,1,1,0,1,0,1
95,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,1,0,3,0,0,0,0,0,1,1,3,1,0,1,0,0,1,0,2,2
96,1,1,1,1,1,1,1,1,2,2,1,0,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,2
97,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,0,1,1,1,1,2,0
98,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,0,1,0,1
99,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,1
100,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,2,1,0,0,1,1,1,1,2,1,1,1,2,1,1,1,2,2
101,1,1,0,0,0,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,0
102,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,1,1
103,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
104,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,0
105,0,0,0,0,0,0,0,1,2,2,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,2,1,1,1,1,0
106,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,2
107,1,1,2,2,2,0,0,1,0,1,1,0,0,1,2,0,1,1,2,0,1,2,3,1,1,1,1,3,1,1,1,2,1,0,1,0,0
108,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,1,1
109,1,1,2,2,0,0,0,0,1,2,0,1,1,1,1,2,2,1,1,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,0,0,1
110,1,1,2,1,2,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,0
111,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,1,2,1,1,0,1,0,1,1,1,3,1,1,1,2,1,1,0,2,2
112,1,1,2,2,2,0,0,1,0,1,1,0,0,1,0,2,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,2,1,0,1,0,0
113,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,0,1,2,0,1,1,2,1
114,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,1,1,2,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,1
115,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,0
116,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,0,2,0
117,1,1,1,1,1,1,1,1,2,2,0,1,1,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,1,1
118,1,1,0,0,0,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,0
119,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
120,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,0
121,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,0,3,1,0,3,1,2,3,2,0,1,1,3,1,0,1,0,1,1,1,2,2
122,1,1,0,0,0,0,1,1,2,2,0,1,1,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
123,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,2,1,0,0,0,1,0,0,2,0,1,0,3,1,1,1,2,1,1,1,1,0
124,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,0,1,1,2
125,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,0,1,0,1,1,1,2,0
126,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,2
127,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,0,2,2
128,1,1,2,1,2,0,1,1,0,1,1,0,0,1,2,1,0,1,0,3,1,2,3,2,0,1,1,3,1,0,1,1,1,0,0,0,1
129,1,1,2,2,0,0,1,1,2,2,0,1,1,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
130,1,0,2,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,0,1,1,1
131,0,0,0,0,0,1,0,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,0
132,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,1
133,1,1,1,1,1,1,1,1,2,2,1,2,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,0
134,1,1,2,1,2,0,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,1,1,2,0
135,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
136,0,0,0,0,0,1,0,1,2,2,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,1,1,3,1,1,1,2,1,1,1,1,1
137,1,1,2,2,2,0,0,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,0,1,1,1,1,0,0
138,1,1,1,1,1,1,1,1,2,2,0,1,1,1,0,0,1,1,0,0,1,2,3,2,0,1,1,3,1,0,1,2,0,1,1,1,0
139,1,1,1,1,1,1,1,1,2,2,1,2,0,1,2,2,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,2,1,1,1,2,1
140,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,1,1,0,2,2,1,0,2,0,1,1,1,3,1,1,1,2,1,0,1,1,2
141,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,2,1,1,1,2,0
142,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,0,1,3,1,0,1,1,1,1,3,1,3,1,1,1,2,0
143,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1
144,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,0,1,1,1,1,2,0
145,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,0,0
146,1,1,1,1,0,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,2,1,1,1,1,2,1,1,1,2,1
147,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,3,3,0,1,1,0,1,0,0,1,2,3,1,2,1,0,1,1,1,2,2
148,1,1,2,1,2,0,0,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,1,1,1,3,1,1,1,2,1,1,1,0,0
149,1,1,2,2,2,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,0
150,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,0,1,1,0,3,1,2,3,2,0,1,1,1,1,3,2,3,1,1,1,2,2
151,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,1,0
152,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,0,1,0
153,1,1,1,1,1,1,0,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,0,0
154,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,1,1
155,1,1,2,1,2,0,0,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,2,2,1,1,1,2,1,1,1,0,2
156,1,1,2,1,2,0,1,1,2,2,1,2,2,1,1,0,1,1,0,3,1,2,3,2,0,1,2,3,1,0,0,1,1,1,1,2,2
157,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
158,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
159,1,1,2,2,2,0,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,2
160,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,3,0,1,1,0,1,0,0,1,1,3,1,2,0,1,1,1,1,2,2
161,0,0,0,0,0,1,0,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,0,1,1,0,1
162,1,1,1,0,1,1,1,1,2,2,1,2,2,1,1,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,0,0,1,1,1,2,2
163,1,1,2,2,2,0,0,1,2,2,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,1,1,1,0,0
164,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,2,2,1,0,1,2,3,2,0,1,1,3,1,3,1,2,1,1,1,2,0
165,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,2
166,1,1,2,2,1,0,1,0,1,2,1,2,2,1,0,1,1,0,2,2,1,0,2,0,1,1,1,1,1,0,1,2,0,1,1,2,0
167,1,1,1,1,1,1,0,1,2,2,1,2,2,1,0,2,3,3,0,1,1,0,1,0,0,1,1,3,1,1,1,2,1,1,0,0,0
168,1,1,2,2,2,0,0,0,1,2,1,2,2,1,1,2,2,1,2,1,1,0,1,0,1,1,1,3,1,1,1,2,1,1,1,0,0
169,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,0
170,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,0,2,2
171,0,0,0,0,0,1,0,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,1,1,0,0
172,1,1,1,1,1,1,2,1,2,2,1,2,2,1,2,2,0,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
173,1,1,1,2,1,1,1,1,2,2,0,1,1,1,1,1,1,0,2,2,1,0,2,0,1,1,0,3,1,1,1,2,1,1,1,2,2
174,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,1,1,2,2
175,1,1,2,2,2,0,0,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,0,0
176,1,1,2,2,0,0,1,1,2,2,1,2,2,1,2,0,3,1,0,3,1,2,3,0,1,1,1,1,1,1,1,2,1,1,1,2,2
