"","X","time","value"
"168",168,2005.41666666667,15.705248
"169",169,2005.5,15.82955
"170",170,2005.58333333333,17.554701
"171",171,2005.66666666667,18.100864
"172",172,2005.75,17.496668
"173",173,2005.83333333333,19.347265
"174",174,2005.91666666667,20.031291
"175",175,2006,23.486694
"176",176,2006.08333333333,12.536987
"177",177,2006.16666666667,15.467018
"178",178,2006.25,14.233539
"179",179,2006.33333333333,17.783058
"180",180,2006.41666666667,16.291602
"181",181,2006.5,16.980282
"182",182,2006.58333333333,18.612189
"183",183,2006.66666666667,16.623343
"184",184,2006.75,21.430241
"185",185,2006.83333333333,23.575517
"186",186,2006.91666666667,23.334206
"187",187,2007,28.038383
"188",188,2007.08333333333,16.763869
"189",189,2007.16666666667,19.792754
"190",190,2007.25,16.427305
"191",191,2007.33333333333,21.000742
"192",192,2007.41666666667,20.681002
"193",193,2007.5,21.83489
"194",194,2007.58333333333,23.93020353
"195",195,2007.66666666667,22.93035694
"196",196,2007.75,23.26333992
"197",197,2007.83333333333,25.25003022
"198",198,2007.91666666667,25.80609
"199",199,2008,29.665356
"200",200,2008.08333333333,21.654285
"201",201,2008.16666666667,18.264945
"202",202,2008.25,23.107677
"203",203,2008.33333333333,22.91251
"204",204,2008.41666666667,19.43174
