DATE,IPG2211A2N
5/1/1993,67.6762
6/1/1993,74.3297
7/1/1993,82.1048
8/1/1993,82.0605
9/1/1993,74.6031
10/1/1993,69.681
11/1/1993,74.4292
12/1/1993,84.2284
1/1/1994,94.1386
2/1/1994,87.1607
3/1/1994,79.2456
4/1/1994,70.9749
5/1/1994,69.3844
6/1/1994,77.9831
7/1/1994,83.277
8/1/1994,81.8872
9/1/1994,75.6826
10/1/1994,71.2661
11/1/1994,75.2458
12/1/1994,84.8147
1/1/1995,92.4532
2/1/1995,87.4033
3/1/1995,81.2661
4/1/1995,73.8167
5/1/1995,73.2682
6/1/1995,78.3026
7/1/1995,85.9841
8/1/1995,89.5467
9/1/1995,78.5035
10/1/1995,73.7066
11/1/1995,79.6543
12/1/1995,90.8251
1/1/1996,98.9732
2/1/1996,92.8883
3/1/1996,86.9356
4/1/1996,77.2214
5/1/1996,76.6826
6/1/1996,81.9306
7/1/1996,85.9606
8/1/1996,86.5562
9/1/1996,79.1919
10/1/1996,74.6891
11/1/1996,81.074
12/1/1996,90.4855
1/1/1997,98.4613
2/1/1997,89.7795
3/1/1997,83.0125
4/1/1997,76.1476
5/1/1997,73.8471
6/1/1997,79.7645
7/1/1997,88.4519
8/1/1997,87.7828
9/1/1997,81.9386
10/1/1997,77.5027
11/1/1997,82.0448
12/1/1997,92.101
1/1/1998,94.792
2/1/1998,87.82
3/1/1998,86.5549
4/1/1998,76.7521
5/1/1998,78.0303
6/1/1998,86.4579
7/1/1998,93.8379
8/1/1998,93.531
9/1/1998,87.5414
10/1/1998,80.0924
11/1/1998,81.4349
12/1/1998,91.6841
1/1/1999,102.1348
2/1/1999,91.1829
3/1/1999,90.7381
4/1/1999,80.5176
5/1/1999,79.3887
6/1/1999,87.8431
7/1/1999,97.4903
8/1/1999,96.4157
9/1/1999,87.2248
10/1/1999,80.6409
11/1/1999,82.2025
12/1/1999,94.5113
1/1/2000,102.2301
2/1/2000,94.2989
3/1/2000,88.0927
4/1/2000,81.4425
5/1/2000,84.4552
6/1/2000,91.0406
7/1/2000,95.9957
8/1/2000,99.3704
9/1/2000,90.9178
10/1/2000,83.1408
11/1/2000,88.041
12/1/2000,102.4558
1/1/2001,109.1081
2/1/2001,97.1717
3/1/2001,92.8283
4/1/2001,82.915
5/1/2001,82.5465
6/1/2001,90.3955
7/1/2001,96.074
8/1/2001,99.5534
9/1/2001,88.281
10/1/2001,82.686
11/1/2001,82.9319
12/1/2001,93.0381
1/1/2002,102.9955
2/1/2002,95.2075
3/1/2002,93.2556
4/1/2002,85.795
5/1/2002,85.2351
6/1/2002,93.1896
7/1/2002,102.393
8/1/2002,101.6293
9/1/2002,93.3089
10/1/2002,86.9002
11/1/2002,88.5749
12/1/2002,100.8003
1/1/2003,110.1807
2/1/2003,103.8413
3/1/2003,94.5532
4/1/2003,85.062
5/1/2003,85.4653
6/1/2003,91.0761
7/1/2003,102.22
8/1/2003,104.4682
9/1/2003,92.9135
10/1/2003,86.5047
11/1/2003,88.5735
12/1/2003,103.5428
1/1/2004,113.7226
2/1/2004,106.159
3/1/2004,95.4029
4/1/2004,86.7233
5/1/2004,89.0302
6/1/2004,95.5045
7/1/2004,101.7948
8/1/2004,100.2025
9/1/2004,94.024
10/1/2004,87.5262
11/1/2004,89.6144
12/1/2004,105.7263
1/1/2005,111.1614
2/1/2005,101.7795
3/1/2005,98.9565
4/1/2005,86.4776
5/1/2005,87.2234
6/1/2005,99.5076
7/1/2005,108.3501
8/1/2005,109.4862
9/1/2005,99.1155
10/1/2005,89.7567
11/1/2005,90.4587
12/1/2005,108.2257
1/1/2006,104.4724
2/1/2006,101.5196
3/1/2006,98.4017
4/1/2006,87.5093
5/1/2006,90.0222
6/1/2006,100.5244
7/1/2006,110.9503
8/1/2006,111.5192
9/1/2006,95.7632
10/1/2006,90.3738
11/1/2006,92.3566
12/1/2006,103.066
1/1/2007,112.0576
2/1/2007,111.8399
3/1/2007,99.1925
4/1/2007,90.8177
5/1/2007,92.0587
6/1/2007,100.9676
7/1/2007,107.5686
8/1/2007,114.1036
9/1/2007,101.5316
10/1/2007,93.0068
11/1/2007,93.9126
12/1/2007,106.7528
1/1/2008,114.8331
2/1/2008,108.2353
3/1/2008,100.4386
4/1/2008,90.9944
5/1/2008,91.2348
6/1/2008,103.9581
7/1/2008,110.7631
8/1/2008,107.5665
9/1/2008,97.7183
10/1/2008,90.9979
11/1/2008,93.8057
12/1/2008,109.4221
1/1/2009,116.8316
2/1/2009,104.4202
3/1/2009,97.8529
4/1/2009,88.1973
5/1/2009,87.5366
6/1/2009,97.2387
7/1/2009,103.9086
8/1/2009,105.7486
9/1/2009,94.8823
10/1/2009,89.2977
11/1/2009,89.3585
12/1/2009,110.6844
1/1/2010,119.0166
2/1/2010,110.533
3/1/2010,98.2672
4/1/2010,86.3
5/1/2010,90.8364
6/1/2010,104.3538
7/1/2010,112.8066
8/1/2010,112.9014
9/1/2010,100.1209
10/1/2010,88.9251
11/1/2010,92.775
12/1/2010,114.3266
1/1/2011,119.488
2/1/2011,107.3753
3/1/2011,99.1028
4/1/2011,89.3583
5/1/2011,90.0698
6/1/2011,102.8204
7/1/2011,114.7068
8/1/2011,113.5958
9/1/2011,99.4712
10/1/2011,90.3566
11/1/2011,93.8095
12/1/2011,107.3312
1/1/2012,111.9646
2/1/2012,103.3679
3/1/2012,93.5772
4/1/2012,87.5566
5/1/2012,92.7603
6/1/2012,101.14
7/1/2012,113.0357
8/1/2012,109.8601
9/1/2012,96.7431
10/1/2012,90.3805
11/1/2012,94.3417
12/1/2012,105.2722
1/1/2013,115.501
2/1/2013,106.734
3/1/2013,102.9948
4/1/2013,91.0092
5/1/2013,90.9634
6/1/2013,100.6957
7/1/2013,110.148
8/1/2013,108.1756
9/1/2013,99.2809
10/1/2013,91.7871
11/1/2013,97.2853
12/1/2013,113.4732
1/1/2014,124.2549
2/1/2014,112.8811
3/1/2014,104.7631
4/1/2014,90.2867
5/1/2014,92.134
6/1/2014,101.878
7/1/2014,108.5497
8/1/2014,108.194
9/1/2014,100.4172
10/1/2014,92.3837
11/1/2014,99.7033
12/1/2014,109.3477
1/1/2015,120.2696
2/1/2015,116.3788
3/1/2015,104.4706
4/1/2015,89.7461
5/1/2015,91.093
6/1/2015,102.6495
7/1/2015,111.6354
8/1/2015,110.5925
9/1/2015,101.9204
10/1/2015,91.5959
11/1/2015,93.0628
12/1/2015,103.2203
1/1/2016,117.0837
2/1/2016,106.6688
3/1/2016,95.3548
4/1/2016,89.3254
5/1/2016,90.7369
6/1/2016,104.0375
7/1/2016,114.5397
8/1/2016,115.5159
9/1/2016,102.7637
10/1/2016,91.4867
11/1/2016,92.89
12/1/2016,112.7694
1/1/2017,114.8505
2/1/2017,99.4901
3/1/2017,101.0396
4/1/2017,88.353
5/1/2017,92.0805
6/1/2017,102.1532
7/1/2017,112.1538
8/1/2017,108.9312
9/1/2017,98.6154
10/1/2017,93.6137
11/1/2017,97.3359
12/1/2017,114.7212
1/1/2018,129.4048
