,Erk,Akt,PKA,Mek,Jnk,PKC,Raf,P38,PIP3,PIP2,Plcg
61,1,0,1,1,1,1,1,0,2,0,0
62,1,0,2,0,0,0,0,2,1,0,0
63,2,1,1,1,1,1,1,0,1,1,2
64,1,0,1,1,1,2,1,0,1,0,0
65,2,1,1,1,0,1,0,0,2,0,1
66,1,0,1,0,1,2,0,0,0,0,0
67,0,1,0,0,1,1,2,0,0,0,0
68,1,1,1,0,0,1,0,0,0,0,0
69,1,0,1,0,0,0,2,0,1,0,0
70,1,0,1,1,1,1,0,0,1,2,2
71,2,2,0,2,1,0,2,2,1,0,0
72,1,0,1,0,1,0,0,0,2,0,0
73,1,0,1,1,1,1,1,0,2,1,1
74,0,0,1,0,0,1,0,1,1,0,0
75,0,0,0,0,2,0,2,2,0,0,1
76,2,2,0,2,0,0,2,2,1,0,0
77,1,0,1,0,1,1,0,0,0,0,0
78,1,0,1,0,1,1,0,0,0,0,0
79,1,0,1,0,1,0,1,0,0,0,0
80,2,2,0,2,2,0,2,2,0,0,2
81,0,0,0,1,1,1,2,0,0,0,0
82,2,1,1,1,1,1,1,1,1,0,0
83,1,1,1,0,1,2,0,0,2,0,1
84,1,0,2,0,0,0,0,0,0,0,0
85,1,1,2,0,0,0,1,2,2,0,0
86,1,0,1,0,0,1,0,0,0,0,0
87,2,2,0,2,2,0,2,0,1,0,0
88,0,0,2,0,0,0,0,0,2,0,0
89,2,1,1,0,0,1,0,0,2,0,0
90,2,1,1,0,1,1,0,0,1,0,0
91,1,0,1,1,0,1,1,0,1,2,2
92,1,1,1,1,0,1,1,0,1,0,0
93,1,0,1,1,0,0,1,0,1,2,2
94,1,0,1,0,1,1,0,0,2,0,0
95,1,0,1,0,1,2,0,1,1,0,0
96,2,2,0,2,1,0,2,2,1,0,0
97,1,0,1,1,0,1,0,0,0,0,0
98,1,0,2,0,0,0,1,0,1,1,2
99,1,0,1,1,1,2,1,0,1,0,0
100,1,0,2,0,0,0,0,0,2,0,0
101,1,0,1,0,0,0,0,0,2,0,0
102,1,0,1,0,1,0,2,0,1,0,0
103,1,0,1,1,1,1,1,1,1,0,0
104,1,0,1,0,0,1,0,0,2,1,0
105,1,1,0,0,0,0,2,0,0,0,0
106,2,1,2,0,0,0,0,1,0,2,2
107,2,1,1,1,1,2,0,0,1,0,0
108,1,0,1,0,1,0,2,0,1,0,0
109,1,1,1,1,1,1,0,0,1,0,0
110,1,0,1,1,0,1,1,0,2,0,0
111,1,1,1,0,1,1,0,0,1,0,0
112,2,1,1,0,0,0,0,0,0,0,2
113,0,0,0,0,1,1,1,1,0,0,0
114,1,0,1,0,0,2,0,0,1,0,0
115,1,1,1,0,1,1,0,1,0,0,0
116,2,2,0,2,2,0,2,1,0,0,0
117,2,0,1,0,1,2,0,0,2,0,0
118,1,0,1,1,0,1,1,0,0,0,0
119,1,0,2,0,0,0,1,0,1,0,0
120,1,0,1,0,1,1,1,0,0,0,0
121,2,1,2,0,0,0,0,0,2,0,0
122,1,0,1,1,0,0,0,1,2,0,0
123,0,1,1,0,1,0,0,0,1,0,0
124,1,0,1,0,1,2,0,0,1,0,0
125,2,0,1,1,0,1,2,0,2,0,0
126,2,1,0,2,1,0,2,0,0,0,0
127,2,2,0,2,1,0,2,2,2,0,0
128,1,0,1,1,0,1,0,0,2,1,1
129,1,0,1,0,1,1,0,1,0,0,0
130,1,0,1,0,1,2,0,0,0,0,0
131,0,0,2,0,0,0,0,0,1,0,0
132,1,0,1,1,0,0,1,0,0,0,0
133,1,0,1,0,1,1,0,0,0,0,0
134,0,0,1,0,1,2,0,0,2,0,0
135,0,0,2,0,0,0,0,0,1,0,0
136,1,1,1,0,0,1,0,0,0,0,0
137,1,0,1,1,0,0,1,0,1,0,0
138,0,0,0,0,0,1,0,0,0,0,0
139,2,1,1,1,0,1,1,0,2,1,1
140,2,2,0,2,0,0,2,0,2,0,0
141,1,0,1,1,1,1,1,0,1,0,0
142,1,0,1,0,0,0,0,1,0,0,0
143,1,1,0,0,2,0,2,2,2,1,1
144,1,0,1,0,0,1,0,1,2,1,1
145,1,1,1,1,0,1,1,0,1,0,0
146,2,2,0,2,0,0,2,2,1,0,0
147,1,0,1,0,0,1,0,0,1,0,0
148,1,0,1,0,1,1,0,1,1,0,0
149,2,2,0,2,0,0,2,2,2,1,0
150,1,0,1,1,0,1,0,0,2,0,1
151,2,2,0,2,2,0,2,0,1,2,2
152,0,1,0,0,0,1,0,1,0,0,0
153,1,0,1,0,0,1,0,0,1,0,0
154,2,1,0,2,0,0,2,2,2,0,0
155,1,0,2,0,0,0,1,0,2,0,0
156,1,0,1,1,0,1,1,0,0,0,0
157,1,0,1,0,1,2,0,0,1,0,0
158,1,0,1,0,0,1,0,0,2,0,1
159,1,0,1,1,0,1,1,0,1,0,0
160,1,1,1,1,0,1,2,0,1,0,1
161,1,0,1,0,0,1,1,0,2,0,0
162,2,1,2,0,0,0,0,0,1,0,0
163,1,0,2,0,0,0,0,0,1,0,0
164,2,1,1,1,1,0,0,0,1,0,0
165,2,1,2,0,0,0,0,0,0,0,0
166,1,0,1,1,0,1,1,0,0,0,0
167,2,1,1,1,0,1,1,0,2,0,0
168,1,0,1,0,0,1,0,1,1,2,2
169,2,1,1,0,1,1,0,0,1,2,2
170,1,0,1,0,1,2,0,1,1,0,0
171,1,0,1,0,0,2,0,0,2,0,0
172,1,0,1,1,1,2,0,0,1,0,0
173,2,1,2,0,0,0,0,0,1,0,0
174,1,0,1,0,1,1,0,1,2,1,0
175,2,1,1,0,0,0,2,0,2,0,0
176,1,0,1,1,1,1,1,0,0,0,0
177,2,1,1,1,1,1,0,0,2,0,0
178,1,1,1,1,0,1,1,0,2,0,0
179,2,2,0,2,0,0,2,0,1,0,0
180,2,1,1,1,0,1,1,0,2,0,0
181,1,0,1,0,0,0,0,0,0,0,0
182,1,0,1,0,1,1,0,0,1,0,0
183,1,0,1,1,0,1,0,1,2,0,1
184,1,1,1,1,1,2,0,1,1,2,2
185,2,1,1,1,0,2,1,1,1,0,2
186,1,1,1,0,0,1,0,0,1,0,0
187,1,0,2,0,0,0,0,1,1,0,0
188,2,1,1,1,1,1,0,0,0,0,0
189,1,0,2,0,0,0,0,0,0,1,2
190,1,0,1,1,1,1,0,0,1,1,2
191,0,0,0,0,1,1,2,0,1,0,0
192,1,0,1,0,0,1,0,0,1,0,0
193,2,0,1,1,1,0,0,1,0,0,0
194,2,1,1,1,0,1,0,0,1,0,0
195,2,1,2,0,0,0,0,0,2,0,0
196,2,1,1,0,1,0,0,0,1,0,0
197,1,0,1,1,0,0,1,0,2,0,0
198,1,0,1,1,1,1,1,0,1,0,0
199,2,2,0,2,1,0,2,2,1,0,0
200,1,0,1,1,1,1,1,0,2,0,1
201,0,0,2,0,0,0,0,2,1,1,2
202,1,0,1,1,0,0,0,0,1,0,0
203,2,1,1,1,1,0,0,0,2,0,0
204,1,0,2,0,0,0,0,0,1,0,0
205,2,1,1,0,0,1,0,0,0,0,0
206,1,1,2,0,0,0,0,0,2,0,0
207,1,1,1,0,1,2,0,0,2,0,0
208,1,0,2,0,0,0,0,0,1,0,0
209,2,2,0,2,1,0,2,2,0,0,0
210,1,0,1,0,1,2,0,0,2,1,0
211,1,0,1,1,0,1,0,0,1,0,0
212,2,1,1,1,1,1,1,0,0,0,0
213,1,0,1,0,0,1,1,0,2,0,0
214,1,0,2,0,0,0,0,0,1,0,0
215,1,0,1,0,0,1,0,0,2,1,0
216,0,1,1,1,0,1,1,0,1,0,0
217,1,0,1,0,0,0,2,0,1,0,0
218,1,1,1,0,1,1,0,0,1,0,0
219,1,0,1,0,0,1,0,0,2,0,0
220,1,0,1,0,1,1,1,1,2,1,1
221,1,0,0,2,0,1,2,0,1,1,2
222,1,0,1,1,0,1,0,0,2,1,0
223,2,1,1,1,1,2,1,0,0,0,0
224,1,0,1,1,1,2,1,0,0,0,0
225,1,1,1,0,1,0,2,0,1,2,2
226,1,0,1,0,1,1,0,0,1,1,2
227,2,1,1,0,0,0,0,0,2,0,0
228,1,1,1,0,1,0,0,0,2,0,0
229,1,0,1,0,0,1,2,0,1,0,0
230,0,1,0,0,2,0,2,1,2,0,1
231,1,0,1,0,0,0,0,0,0,0,0
232,2,1,1,0,0,1,0,0,1,0,0
233,2,2,0,0,1,0,2,2,0,0,0
234,1,0,1,0,1,2,0,0,2,0,0
235,0,0,0,0,0,0,2,1,1,0,0
236,2,1,1,1,1,1,0,0,1,0,0
237,0,1,1,0,1,2,0,0,1,0,0
238,1,1,1,0,1,0,0,0,0,0,0
239,2,1,1,1,0,0,1,1,2,0,0
240,2,1,1,1,1,1,1,0,1,0,0
241,2,1,0,2,2,0,2,0,2,0,0
242,1,0,1,1,1,1,0,0,0,0,0
243,0,0,0,0,1,0,2,2,1,0,0
244,2,2,0,1,0,1,1,1,1,0,0
245,2,0,1,1,0,1,0,0,1,1,2
246,1,0,1,0,0,1,2,1,2,1,0
247,2,2,0,2,0,0,2,2,1,0,0
248,1,0,2,0,0,0,0,0,0,0,0
249,1,0,1,1,1,0,1,0,2,0,0
250,1,0,2,0,0,1,1,0,2,0,0
251,1,0,1,0,0,0,1,0,1,0,0
252,1,0,1,1,0,1,1,1,1,0,0
253,2,1,1,1,1,1,1,0,2,0,0
254,1,0,1,0,0,1,1,0,1,0,0
255,1,0,1,1,0,0,1,0,1,0,0
256,0,0,0,1,1,1,1,1,1,0,0
257,2,1,1,0,0,1,0,0,0,0,0
258,2,2,0,2,0,0,1,2,0,0,0
259,1,1,0,2,0,0,2,0,2,2,2
260,1,0,1,0,1,2,0,0,1,0,0
261,1,0,1,0,1,1,0,0,1,0,0
262,2,1,1,1,0,1,1,1,1,0,0
263,1,0,2,0,0,0,0,0,1,0,0
264,1,0,1,0,1,2,0,0,1,0,0
265,0,0,1,0,1,1,0,0,0,0,0
266,0,0,2,0,0,0,0,0,1,0,0
267,1,1,1,1,0,1,1,1,2,0,0
268,1,0,1,1,1,1,0,0,0,0,0
269,2,1,1,0,0,0,2,0,2,0,0
270,1,0,1,0,0,1,0,0,1,0,0
271,1,0,1,1,1,2,1,1,0,0,0
272,2,1,1,1,1,1,2,0,0,0,0
273,1,0,1,1,1,1,2,1,2,0,0
274,1,0,1,0,1,2,0,0,1,0,0
275,2,0,1,1,0,1,1,0,2,0,1
276,2,2,0,2,2,0,2,0,1,1,2
277,1,0,1,0,1,1,0,0,2,0,0
278,0,1,1,0,0,0,0,0,1,0,0
279,2,1,1,0,1,1,0,0,1,0,0
280,1,0,1,0,0,1,0,0,2,0,0
281,0,1,0,1,0,1,1,0,1,0,0
282,2,0,1,0,1,1,0,1,1,0,0
283,2,1,1,0,0,1,0,0,1,0,0
284,1,0,2,0,0,0,0,0,2,0,0
285,1,0,1,1,0,0,1,0,0,0,0
286,1,0,1,1,0,1,0,0,1,0,0
287,2,2,0,2,2,0,1,0,2,0,0
288,2,1,1,1,0,1,2,0,2,0,0
289,1,0,1,0,1,2,0,0,1,0,0
290,1,0,2,0,0,1,0,2,2,0,0
291,1,0,2,0,0,0,1,0,1,0,0
292,1,0,0,2,0,0,2,2,1,0,0
293,2,1,2,0,0,0,0,0,2,0,0
294,1,1,1,1,0,0,1,0,1,0,0
295,0,1,0,0,1,1,0,1,2,0,0
296,1,1,1,1,0,1,0,0,2,0,0
297,1,0,1,1,1,1,1,1,1,0,1
298,1,0,1,1,0,1,0,0,2,0,0
299,1,0,1,0,1,0,1,0,1,0,0
300,1,0,1,1,1,1,0,0,1,0,0
301,1,0,1,0,0,1,0,0,1,2,2
302,1,0,1,0,1,1,0,0,1,0,0
303,1,0,1,0,0,0,1,0,2,0,1
304,0,0,2,0,0,0,0,0,2,0,0
305,1,0,1,0,0,1,0,0,0,0,0
306,0,1,1,0,0,1,0,0,1,0,0
307,2,1,1,0,0,0,2,0,1,0,0
308,0,0,1,0,1,2,0,0,1,0,0
309,2,1,1,1,0,0,1,0,2,0,0
310,1,0,1,0,1,1,0,0,1,0,0
311,1,1,0,0,0,1,0,1,1,0,0
312,0,0,1,1,0,1,1,0,2,1,1
313,1,0,1,0,0,1,0,0,1,0,0
314,1,0,1,0,1,2,0,0,1,0,0
315,1,0,1,1,1,1,2,0,1,0,0
316,1,0,2,0,0,0,0,0,1,0,0
317,2,1,1,0,2,2,0,0,2,0,0
318,1,0,1,0,0,1,0,0,2,0,0
319,2,0,1,0,0,1,0,0,0,0,0
320,2,2,0,2,0,0,1,2,0,0,1
321,1,0,1,0,1,1,0,1,0,0,0
322,2,2,0,2,2,0,2,0,1,0,0
323,1,0,1,1,0,1,1,0,0,0,0
324,1,0,1,0,1,0,1,0,0,1,2
325,2,1,1,1,0,0,1,0,2,0,0
326,1,1,1,0,0,1,0,0,2,0,0
327,2,2,0,2,0,0,2,2,2,0,0
328,2,2,0,2,2,0,1,2,1,0,0
329,1,0,1,1,0,1,1,1,0,1,2
330,1,0,1,0,0,0,0,0,1,2,2
331,2,2,0,2,2,0,2,2,0,0,0
332,2,1,1,0,0,1,0,0,2,0,0
333,2,2,0,2,2,0,2,2,1,0,0
334,0,1,0,0,1,0,2,2,0,0,2
335,1,0,2,0,0,0,0,1,2,0,1
336,1,0,1,1,1,0,2,0,1,0,0
337,0,0,0,0,1,0,2,2,2,0,0
338,1,0,1,0,0,1,0,0,1,0,0
339,0,1,0,0,0,0,2,0,1,0,0
340,1,0,1,0,1,1,0,0,0,0,0
341,0,1,1,0,1,1,0,1,2,0,0
342,2,0,1,0,1,1,0,1,1,1,2
343,2,1,1,0,1,1,0,0,2,0,1
344,2,1,1,1,1,1,1,1,0,1,2
345,2,1,1,0,0,0,2,0,1,0,0
346,2,1,1,1,0,1,0,0,1,1,2
347,1,0,1,0,1,0,2,0,1,0,0
348,1,0,1,1,1,0,1,0,0,1,2
349,1,0,2,0,0,0,1,0,1,0,0
350,2,1,2,0,0,0,0,0,2,0,0
351,1,1,0,1,1,0,1,2,1,0,0
352,1,1,1,0,0,1,0,0,0,0,2
353,0,0,2,0,0,0,0,0,0,0,0
354,1,0,1,0,0,1,1,0,1,0,0
355,1,0,1,1,0,1,1,0,1,0,0
356,1,0,1,0,1,1,0,0,1,0,0
357,1,0,1,1,0,1,1,0,1,0,0
358,2,2,0,2,2,0,2,0,1,0,0
359,0,0,1,1,0,1,1,1,1,0,0
360,1,0,2,0,0,0,0,2,1,0,0
361,0,0,1,0,0,1,1,1,2,0,0
362,1,0,2,0,0,0,0,0,0,2,2
363,1,1,1,0,0,0,2,0,1,0,0
364,2,1,1,0,1,0,0,0,2,0,0
365,2,1,2,0,0,0,0,0,1,0,0
366,1,0,1,1,0,1,1,0,1,0,0
367,2,2,0,2,0,0,2,2,1,0,1
368,0,1,1,0,1,0,0,0,1,0,0
369,1,0,1,1,1,0,1,0,2,1,0
370,2,2,0,2,2,0,2,1,2,2,0
371,1,0,1,0,0,0,0,0,0,0,0
372,1,0,0,0,0,1,0,0,2,0,0
373,1,0,1,0,0,1,0,0,0,0,0
374,1,0,1,0,1,1,0,0,2,0,0
375,1,0,2,0,0,0,1,0,0,0,0
376,1,0,1,0,0,1,1,0,2,0,0
377,2,1,1,0,0,1,0,0,0,0,0
378,0,1,0,0,1,1,0,1,2,2,2
379,1,0,1,0,0,1,0,0,0,0,0
380,1,0,2,0,0,0,0,0,1,0,0
381,1,0,1,1,1,1,1,1,2,1,0
382,1,0,1,0,0,1,1,0,0,0,0
383,1,1,0,0,2,0,2,0,1,0,0
384,1,0,1,1,1,2,0,0,2,0,0
385,1,0,1,0,0,1,1,0,0,0,0
386,1,0,2,0,0,1,0,2,0,0,0
387,1,0,1,0,0,1,0,1,2,0,0
388,2,1,2,0,0,1,2,0,0,0,0
389,1,0,1,0,1,0,2,0,1,1,2
390,1,1,1,1,0,0,1,0,0,0,0
391,1,0,1,1,0,1,1,0,1,0,0
392,2,1,1,0,1,1,0,0,1,0,0
393,2,2,0,2,2,0,2,2,2,0,0
394,0,0,1,0,1,1,0,1,0,0,0
395,0,0,1,0,1,1,0,0,2,0,0
396,2,1,1,0,0,1,0,0,0,0,0
397,1,0,1,1,1,1,0,0,2,1,0
398,1,0,1,0,1,2,0,1,1,1,0
399,1,0,1,1,0,0,1,0,2,0,1
400,1,0,1,0,0,1,0,0,2,0,0
401,2,1,1,0,0,1,0,1,2,0,0
402,1,0,1,0,0,1,0,0,1,0,0
403,2,1,1,1,0,1,1,0,2,2,2
404,2,2,0,2,2,0,2,2,1,0,1
405,2,1,1,1,1,1,1,1,2,0,0
406,1,0,1,0,1,2,0,0,1,0,0
407,1,0,1,1,1,2,1,0,0,0,0
408,2,1,0,2,1,0,2,2,1,0,0
409,0,0,1,0,1,1,0,0,2,0,0
410,1,0,1,0,1,1,1,0,1,0,0
411,1,0,1,0,0,0,0,0,2,1,0
412,1,0,1,0,1,0,0,0,2,0,0
413,0,0,1,0,0,1,0,0,0,0,0
414,1,0,1,0,0,2,0,0,1,0,0
415,1,0,1,1,1,0,1,0,2,0,0
416,1,0,1,0,0,0,0,0,1,0,0
417,1,0,1,0,0,1,0,0,2,0,0
418,1,0,1,1,0,1,1,0,1,0,0
419,1,1,0,0,1,2,0,0,1,0,0
420,0,1,0,0,0,1,0,0,0,1,2
421,1,0,1,0,1,1,1,0,2,0,0
422,1,0,1,0,0,0,0,0,0,0,0
423,2,1,1,1,1,0,1,0,2,1,0
424,2,2,0,2,1,0,1,2,0,0,0
425,2,2,0,2,2,0,2,2,1,0,0
426,1,1,1,1,1,0,1,0,0,0,0
427,1,0,1,1,0,1,1,0,1,0,0
428,1,0,1,1,0,1,1,0,1,0,0
429,1,0,1,0,1,1,0,0,2,0,0
430,2,2,0,2,2,0,2,2,1,0,0
431,0,0,0,0,0,0,0,2,0,0,0
432,1,0,1,1,1,2,0,1,2,2,2
433,2,1,2,0,0,0,0,0,1,0,0
434,1,0,1,0,1,1,0,0,2,0,0
435,1,1,0,2,2,0,2,0,2,0,0
436,1,0,1,0,0,1,0,0,1,0,0
437,1,0,1,0,1,2,0,0,0,1,2
438,2,2,0,2,1,0,2,0,0,0,0
439,2,1,1,1,0,1,0,0,1,0,0
440,2,1,1,0,0,1,1,1,0,0,0
441,2,0,1,1,1,1,1,1,1,0,1
442,1,0,2,0,0,0,0,0,0,0,0
443,2,2,0,2,0,0,2,2,1,0,0
444,0,1,1,0,1,1,1,0,0,0,0
445,0,1,1,1,0,1,0,0,0,0,1
446,1,0,1,1,1,0,1,0,0,0,0
447,1,0,1,1,1,1,1,0,2,0,0
448,2,0,2,0,0,0,0,1,0,1,2
449,1,0,1,1,0,1,1,0,2,0,0
450,0,1,0,0,2,0,2,2,0,0,0
451,1,1,1,0,1,0,0,0,0,0,0
452,0,1,0,0,2,0,2,2,1,0,0
453,1,0,1,1,0,0,0,0,1,0,1
454,2,2,0,2,0,0,2,2,1,2,2
455,2,1,1,0,0,1,0,0,2,0,0
456,1,0,1,0,1,1,0,0,0,0,0
457,1,0,1,1,0,1,0,0,1,0,0
458,2,1,1,0,0,1,0,0,2,1,0
459,1,1,1,1,1,1,1,0,2,0,0
460,1,0,1,1,1,1,1,0,0,0,0
461,1,1,1,2,0,1,2,0,0,1,2
462,0,1,1,0,1,0,0,1,2,0,0
463,1,0,1,0,0,1,1,0,0,1,2
464,1,0,1,2,0,1,1,0,1,0,0
465,1,0,1,0,0,1,0,0,2,0,0
466,1,0,2,0,0,0,0,0,2,0,0
467,1,0,1,1,1,1,1,0,0,0,0
468,1,0,1,0,1,1,1,0,2,1,1
469,1,0,2,0,1,2,0,0,1,0,0
470,1,0,1,0,1,0,1,0,1,0,0
471,2,1,1,1,1,0,1,0,0,0,0
472,1,1,1,0,1,1,0,0,2,2,2
473,1,1,1,1,1,0,0,0,2,0,0
474,0,0,0,0,1,0,2,2,1,0,0
475,2,0,1,0,1,2,0,0,2,0,0
476,1,0,1,1,1,1,0,0,0,1,2
477,1,0,2,0,0,0,0,0,2,1,1
478,1,0,2,0,1,1,0,2,2,0,0
479,1,0,1,0,1,0,1,0,2,0,0
480,0,0,1,0,1,1,0,0,0,1,2
481,2,1,0,2,1,0,2,2,1,0,0
482,1,0,1,0,1,2,0,0,2,0,0
483,2,1,1,1,1,2,1,0,2,0,0
484,1,0,1,1,0,2,0,0,1,0,0
485,0,0,2,0,0,0,2,0,1,0,0
486,1,0,2,0,0,0,0,0,0,0,0
487,1,0,1,0,0,0,0,0,2,1,0
488,1,0,1,0,1,0,1,0,0,0,0
489,0,0,0,0,0,1,2,0,1,0,0
490,1,0,1,0,1,2,0,1,0,1,2
491,2,0,1,1,0,0,1,0,2,0,0
492,1,0,1,0,0,1,0,0,1,0,0
493,2,1,1,0,0,1,0,0,1,0,0
494,1,1,0,1,0,0,0,2,2,0,0
495,1,0,2,0,0,1,0,2,0,2,2
496,2,2,0,2,0,0,2,2,0,0,0
497,2,1,2,0,0,0,0,0,2,0,1
498,1,0,1,0,0,0,0,0,0,1,2
499,1,1,1,1,0,1,0,0,1,0,0
500,1,0,1,0,0,0,2,0,2,0,0
501,1,0,1,1,0,1,0,0,0,0,0
502,0,0,0,0,1,0,2,2,2,1,1
503,1,0,1,0,0,0,1,0,1,0,0
504,1,0,1,0,1,2,0,1,1,0,1
505,0,0,1,1,0,0,1,0,1,0,0
506,1,0,1,1,0,1,1,0,2,0,0
507,1,0,1,0,0,1,1,1,2,0,0
508,1,0,1,0,1,2,0,0,2,0,0
509,2,1,1,1,1,2,0,0,0,0,0
510,2,1,1,1,0,0,2,0,2,0,0
511,1,0,1,0,0,1,0,0,1,0,0
512,2,0,1,1,0,1,1,0,1,0,1
513,2,1,1,0,0,1,0,0,1,0,0
514,1,0,1,0,0,1,0,1,1,0,0
515,0,0,0,0,0,1,1,0,2,0,0
516,2,1,1,1,1,1,1,1,1,0,0
517,2,2,0,2,0,0,2,0,0,1,2
518,1,0,1,0,1,2,0,2,2,0,0
519,1,0,1,0,0,1,0,0,2,0,0
520,1,1,1,1,1,2,0,0,1,0,0
521,0,0,1,0,1,0,2,0,0,0,0
522,1,0,1,0,1,0,0,0,1,0,0
523,1,0,1,1,0,1,1,1,1,0,0
524,1,1,1,1,0,1,1,0,1,0,0
525,1,0,1,0,1,2,0,0,2,0,0
526,1,1,1,1,1,1,1,0,0,0,0
527,2,1,1,0,1,0,0,0,2,1,1
528,1,1,1,0,1,1,0,0,0,0,2
529,2,2,0,2,2,0,2,2,1,0,0
530,1,0,2,0,0,0,0,2,1,0,0
531,1,0,1,0,0,0,0,0,2,0,0
532,1,0,2,0,0,0,0,0,0,0,0
533,0,0,0,0,0,0,1,2,2,0,0
534,2,2,0,2,2,0,2,2,2,0,0
535,2,2,0,2,1,0,2,0,1,0,0
536,2,2,0,2,1,0,2,2,0,0,0
537,1,0,1,0,0,0,0,0,2,1,0
538,1,0,1,1,1,0,2,0,1,2,2
539,1,0,1,2,0,1,1,0,0,0,0
540,0,1,1,0,0,1,0,0,2,0,0
541,1,0,1,1,0,1,1,0,0,1,2
542,1,0,1,1,1,1,1,1,1,0,0
543,0,0,0,0,0,1,0,1,0,0,1
544,2,2,0,2,2,0,2,2,1,0,0
545,2,1,1,0,1,0,2,0,2,0,0
546,1,0,1,1,0,1,2,1,2,0,1
547,1,0,2,0,0,0,0,0,2,0,0
548,1,0,1,0,0,0,1,0,1,0,0
549,1,0,1,1,0,1,1,1,0,1,2
550,1,0,1,0,0,1,0,1,0,0,0
551,0,1,1,0,0,1,0,0,2,1,0
552,2,1,1,0,1,1,0,0,2,0,0
553,2,1,1,1,0,1,0,0,1,0,0
554,2,0,1,0,1,2,0,0,2,1,1
555,2,1,0,2,1,0,2,2,2,0,0
556,0,0,1,0,0,1,0,0,0,0,0
557,0,0,1,0,0,0,2,0,1,0,0
558,1,0,1,0,0,1,0,1,2,2,2
559,0,0,1,0,0,1,0,0,2,1,0
560,0,1,0,1,0,1,0,0,0,0,0
561,2,1,1,1,0,1,0,1,0,0,0
562,1,0,1,0,0,1,1,0,2,0,0
563,1,1,0,2,2,0,2,2,2,1,0
564,2,2,0,2,0,0,1,1,2,0,0
565,2,1,1,0,1,1,1,0,1,0,0
566,1,0,1,1,0,1,1,0,1,0,0
567,1,1,1,1,1,1,0,0,2,0,0
568,1,0,2,0,0,0,0,1,0,0,0
569,2,1,2,0,0,0,1,2,0,2,2
570,1,0,1,1,1,1,1,1,0,2,2
571,1,0,2,0,0,0,0,0,0,0,0
572,0,0,1,0,0,1,0,0,2,0,0
573,1,0,1,1,0,1,0,1,1,1,2
574,1,1,0,0,2,0,2,0,1,0,0
575,1,0,1,0,1,1,0,0,1,0,0
576,1,0,1,1,0,1,1,0,1,0,0
577,2,1,1,0,1,2,0,1,1,0,0
578,2,1,2,0,0,0,0,0,1,0,0
