,Text_ID,Product_Description,Product_Type,Sentiment
6301,3830,Line for iPads at #SXSW. Doesn't look too bad! (I waited 6.5 hours for an iPhone 4).,6,3
5643,691,"First up: iPad Design Headaches (2 Tablets, Call in the Morning). #SXSW #tapworthy",6,2
5452,572,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ 

Something to keep watch",9,2
288,1065,google is saving users 2 years of time with gps navigation using alternate routes w traffic #sxsw,3,3
2867,1713,@mention #SXSW don't forget @mention to plan your schedule. Plus our free iphone app {link},7,3
3109,3295,&quot;Google maps: Route around traffic is saving our user 2 years every day.&quot; Marissa Mayer #sxsw,5,3
4351,545,Google is giving free Google Labs laptops to open source coders who r attending this meet-up. #sxsw I got a cupcake:-),3,3
3562,8383,it's too tempting walking by Apple store Austin that's selling iPad2 #sxsw,6,3
6010,5072,RT @mention ÛÏ@mention We interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google #circlesÛ sounds interesting,9,2
2883,3465,"@mention hello! Enjoy #Sxsw and ride anywhere in Austin for $10 . download the #GroundLink app, {link} booth 437",9,2
5891,4448,Left brain search = google. Right brain search = X. Best session today covering semantic web and recommendations #sxsw {link},3,3
2923,7117,#apple #popupstore #sxsw.  Get your #ipad here  0310apple {link},9,3
514,5018,I think someone will be making a lot of money this week in iPhone international roaming charges #SXSW,9,2
525,8017,Scored a signed print of the Jules Verne Google Doodle. Thanks @mention #sxsw #googledoodle {link},9,2
6095,3658,"AOLÛªs Mobile-First Group Steps To The Stage With Play, An Instagram For Music {link} #Android #AOL #iPhone #SolLipman #SXSW",9,2
6317,3342,Spotted: Google Maps Street View car! I wonder if I'll be able to find myself on the maps one day. #sxsw {link},5,3
683,1014,The Apple pop-up store line finally dwindled. Time to check out iPad2. #sxsw,6,3
2099,2868,Apple unveils iCarRadio at South by Southwest: {link} #apple #sxsw {link},9,2
3719,4536,Whoa - line for ipad2 is 3blks long!!! #apple #Austin #SXSW,9,3
2800,5258,RT @mention #sxsw @mention #devops: @mention &quot;The Internets is Mean/Our Systems Are Complex; go Google 'How complex systems fail by doctor&quot;,9,0
1272,5518,"RT @mention At #SXSW? Your #Chaos mission is to download @mention app, check-in &amp; start playing to redeem prizes @mention Austin hot spots! {link}",9,2
1575,4268,Google's Marissa Mayer - she is awesome! #SXSW #MarissaGoogle  {link},3,3
1208,6753,RT @mention The ironic tee has been usurped by the iPad 2 as the hipster/geek/start-up chic fashion item at this year's #SXSW,6,3
6294,467,"Before it even begins, Apple wins #SXSW {link}",2,3
6322,6901,RT @mention We're not launching any products at #SXSW but we're doing plenty else. {link} &lt;&lt; no circles or new apps ftrs?,9,2
5455,214,Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,8,3
5234,1568,"Cool! RT @mention Apple has opened a makeshift store for #sxsw, iPad2 will be available at 5pm today... #tempted",9,2
6174,3549,@mention I have a feeling there will be many shiny new iPad 2s at #sxsw!,6,3
5788,2976,#sxsw: @mention What if Google asks you &quot;why do you want to know that&quot;?,9,2
565,7102,Apple is opening up a temporary store in downtown Austin for #SXSW &amp; iPad 2 launch. {link}  Source: Statesman.com,9,2
5542,7255,Totally love the copia cocoon messenger iPad bag I picked up for attending the redbox/gilt group/graphic.ly sesh this morning! #sxsw,4,3
529,4331,"Hmmm RT @mention RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",9,2
4076,6835,"RT @mention Use question/answer, ask/receive kind of model in iPad app design. Give and take. Entice them to ask more. @mention #tapworthy #sxsw",9,2
333,5341,"RT @mention ÷¼ Happy Woman's Day! Make love, not fuss! ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter",9,2
3335,1115,So  #sxsw supposedly has a mobile apple store that will pop up and open at 3 ish?,9,2
5952,9090,"Google's Zeiger, a physician never reported potential AE. Yet FDA relies on physicians. &quot;We're operating w/out data.&quot; #sxsw #health2dev",9,2
2829,4298,yup. RT @mention @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;,2,3
1921,7458,Google supposedly announcing new Social Networking service called &quot;circles&quot; today at #sxsw {link},9,2
1582,7463,Updated NPR Music iPhone app has song info for All Songs 24/7 &amp; live video streaming just in time for #SXSW {link},7,3
3989,5631,RT @mention come over to the Tech Cocktail event tonight to check out our Mobile Smackdown event! #sxsw #iphone #android #windowsphone,9,2
3134,8271,Google Hot Pot - what the whattt pot....#SXSW,5,2
4981,2666,Looks like I was an hour late for getting an ipad. #SXSW #sadpanda,6,2
5929,5262,"RT @mention #sxsw @mention omitting Flash on Apple seems effective, even though they have h264 - maybe we do need to break old things #browserwars",2,3
4468,1176,Of course the seo Q&amp;A w/ google and bing panel is packed..yet they put it in a tiny room. #sxsw,9,2
4334,148,Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,9,2
85,1989,@mention and I did a &quot;south by&quot; drive-by for this baby!! What an adventure!! #sxsw #iPad #fb  {link},9,2
6077,4869,iPhone too old for #SXSW schedule app. Oh noes.  #rejection,8,1
6328,2140,"Hoping that it will be easier to get an iPad 2 today, since 50% of the target audience is busy at #sxsw #awesometiming",6,3
2378,3453,Here is the video I took with my iPhone of @mention in Super #SXSW  {link},9,2
1926,875,what omfg means please? {link} Webber iPad #sxsw Dionne Warwick,9,2
2087,965,Thats the one i want to get when it hits canada.RT @mention #sxsw ipad store sold out of everything except 64gig wifi only white,9,2
4643,7775,Niceness RT @mention Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi,6,3
4252,2707,#SXSW hire qualified and talented women consciously early on in #startups to achieve success - Google did!,3,3
26,6821,"RT @mention Tweet this to register for exclusive passes to events, parties + iPad 2 during #SXSW - &quot;Give mÛ_ (cont) {link}",9,2
1615,1479,"Very true. RT @mention @mention Dude there's earthquakes,  tsunamis, iPad 2 and #SXSW. Get with it.",9,2
5645,2517,"It's a model for one, not for all. RT @mention #sxsw &quot;apple comes up with cool tech no one's ever heard of cuz they don't go to conferences&quot;",2,3
3500,441,Why Barry Diller thinks iPad only content is nuts @mention #SXSW {link},9,0
3759,7306,Setting up my iPad2 - very swift and upbeat service this morning at the #SXSW Apple pop-up store.,6,3
5872,4370,Forget samplers. Download the unofficial #SXSW torrent: {link},9,2
6146,1412,"Sweet! RT: @mention RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",5,3
4240,8474,@mention this time next week Google party at #SXSW!,3,3
1277,6585,RT @mention RT @mention Marissa Mayer: #Google Will Connect Digital &amp; Physical Worlds Through #Mobile {link} #sxsw,9,2
5340,3582,@mention I'm in the #touchingstories #iPad and/or #tablet #SXSW  workshop. Would LOVE to chat afteward!,9,2
2222,5046,RT @mention ..only 9? #SXSW right-brain #mwrc11 left-brain?? :) RT @mention @mention at #SXSW 9 out of 10 attendees have Mac or iPad,6,3
2904,8600,iPad 2 Gets Temporary Apple Store for SXSW {link} #Apple #AppleStore #iPad2 #SXSW #Verizon,9,2
5150,5074,RT @mention ÛÏMore than 35 million miles a day are driven while being Google Maps Navigation assisted.&quot; --Marissa Mayer #sxsw  [The GPS biz is so toast.],9,2
4210,3427,Apple to have a pop-up store at South by South West: {link} #sxsw,9,2
5731,6460,RT @mention Quantter is launching an iPhone app soon. We're participating in the LaunchRock comp at #sxsw {link},9,2
5810,3230,"Surprising or not surprising that you can type #sxsw on your iPhone perfectly? No autocorrect, no nothin'.",9,2
2838,5123,RT @mention @mention from Google taking the mic  #health2dev  #SXSW,9,2
6181,2310,"Awkward JC Penneys question asked to Marissa Mayer, apparently JC Penney locations are being re-routed to Macys in Google maps? #SXSW",9,2
2073,2996,Gamechanger like Wave and Buzz no doubt RT @mention Google to Launch Major New Social Network Called Circles {link} #sxsw,5,1
547,7142,"Details for the iPad 2 giveaway coming tonight, RT this! #SXSW #sxswi",9,2
3351,7419,Pop-up Apple Store to sell ipad2 at #SxSW. The line is insane!  {link},9,2
4537,4084,Will Google Circles take on Facebook?  {link} #circles #sxsw,9,2
3024,5737,RT @mention forward to delicious T-Mobile 4G here in Austin while iPhone users struggle to do anything. #SXSW,8,1
5428,7600,"Google Circles' Looms, But Do Google's Nerds 'Get' Social? #SxSW | @mention {link} via @mention",9,2
2573,4493,Crowley and Cashmore think iPad 2 is a minor step up. Tell that to the people standing in line at #SXSW Apple pop-up store! #checkins,6,3
1422,6057,"RT @mention I just fell asleep for 2 hours with my eyes open, staring into the #SXSW stream on my iPad 2. {link}",6,3
3149,1483,no no no... my bad its lady XD {link} #sxsw iPad Rebecca Black Jurassic Park,9,2
2422,8502,ATTN @mention  RT @mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},9,2
5475,4976,"@mention Oh, oh, oh! Does the iPad come with my #sxsw badge? @mention",9,3
6312,3502,At the iPhone dev meetup #SXSW,9,2
932,1833,Just had a really great #mophie experience at #sxsw -a user for over 3 months I highly recommend their iPhone 4 battery #goodcustomerservice,8,3
380,4910,Speaking of #sxsw: how about that #apple store on 6th and congress? Wouldn't it be great if it were permanent....? ;),2,3
4180,6749,RT @mention The iPad 2 Takes Over SXSW [VIDEO] {link} #apple #iPad #SXSW,9,2
3802,5136,RT @mention @mention just saw you at lax I'm heading to #Sxsw  If you or your wife have an iPhone or iPad download my app #Freespeech @mention,7,3
4580,5039,RT @mention : Aron Pilhofer from The New York Times just endorsed HTML over iPad at the #NewsApps #sxsw and asked us not to tweet...,9,2
2749,7092,Apple is opening a temporary store in Austin for #SXSW. Because people obviously want to shell out $1500 for a MacBook.,2,1
482,3891,"Did you miss Google's VP of Search, Marissa Mayer last week? Listen to the interview here  {link} #SXSW",9,2
5930,4852,Heading to iPad Design Headaches in Hilton - Salon J #sxsw,9,1
4546,5356,RT @mention 40% of Google maps use is mobile #sxsw,9,3
4607,4512,Google handing out free pi for pi day! #SXSW #win,3,3
88,4385,"Restored my Apple made smart phone, because I'm about to unleash hell on it at #SXSW.",2,3
5466,7829,Apple'd :s &gt; #sxsw #ipad2 @mention @mention @mention and Austin from Austin's pop up Apple store :))) {link},9,2
4723,3471,"@mention Hey Eric, it was at a pop-up Apple store here at #SXSW -- nice long line of tech-savvy folks ready to spend hard-earned $",2,3
108,2789,#google real time location data as a layer on google earth gives breathtaking visual data #SxSW,5,3
2681,6431,RT @mention P.S. @mention and Google throw a b!tchin' party. Shout out to The Spazmatics #sxsw,3,3
2142,423,"Trying to decide what session to attend at #sxsw, but Marissa Meyer @mention later today is a given.",9,2
1021,8643,"Hey if you're at #sxsw, try out the early iPhone/android beta of Hitchery and let us know what you think! {link}",9,2
5188,1123,.@mention Team Android at #SXSW party details {link} &lt;---Note video of @mention showing how close Rainey St is to ACC,9,2
791,336,"#technews At SXSW, Apple schools the marketing experts {link} #Tech_News #Apple #Jobs_Co #SXSW #tech",2,3
3336,8653,Apple brought in 5 employees from each store in Texas to staff the popup store. #SXSW,9,2
3268,5843,RT @mention Google Launching Secret New Social Network Called &quot;Circles&quot; #SXSW,9,2
1041,2307,Optimistic #Ohio #SXSW. Google pay per click management.   {link},9,2
812,6543,"RT @mention RT @mention Google to Launch Major New Social Network Called Circles, {link} #sxsw #nptech",5,3
3556,1517,&quot;She's the iPad DJ working the Etsy party.&quot; #realtalk #sxsw,9,2
1029,6952,RT @mention Win free iPad 2 from webdoc.com #sxsw RT,9,2
3656,1590,@mention @mention Great to meet you @mention meetup! This is the post about our new #sxsw medical apps {link} #sxswh #hcsm,9,2
1459,6718,"RT @mention Thanks for the free #SXSW mix :) RT @mention ... 20+ artists you have to hear, free sampler {link}",9,2
5689,93,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,9,2
4386,5407,RT @mention App is called 'your hands' #sxsw RT @mention Need an app to turn my iPhone into a wifi mouse for my iPad. Exist?,9,2
1513,3391,Open graph did repair the damage google did to the title tag. #sxsw #microformats,3,1
94,6159,"RT @mention IPad, tablet, etc are aiding in greater adoption of mobile devices because screen size is larger #mobilefarm #SXSW",6,3
1531,8356,I just watched &quot;iPad Design Headaches&quot; at #SXSW. Buttons are a hack.  #tapworthy,6,1
3463,1804,I'd say 75% of booths at this tradeshow are waffling off an iPad 2. About the same portion have reps dressed up as crazy characters. #SxSW,9,2
338,5303,RT @mention #sxsw ipad store sold out of everything except 64gig wifi only white,6,1
1361,5814,RT @mention Google could = search engines. Google instead = useful information. #savebrands #sxsw,9,2
2145,2869,"Nadya Direkova, @mention riffs on sid meier - user engagement w/ game mechanics - you canÛªt over reward the user in first 10 minutes  #sxsw",9,2
4791,2490,"IPAD FOUND!!! My friend Jeff has it!!!! #SXSW thanks to everyone who helped, especially @mention",6,3
1230,7423,Mingly Apple TV a Day Giveaway! Register to win at #SXSW #Winning {link},9,2
4189,4374,Really tempted to get the iPad 2 #sxsw,6,3
3554,6983,"RT @mention Yes, there's a line in front of the all-but-confirmed pop-up Apple Store at #SXSW. {link}",9,2
2257,5961,RT @mention Has spontaniety in life been replaced by technology? When your iPhone battery dies you go home. Great ? At #busy #sxsw,9,0
3350,3576,@mention I'd say yes. Facebook and Google are implementing it which brightens the future. Good impact I'm search too. #sxsw,3,3
2182,2952,"#sxsw: @mention intrvw @mention &quot;Schmidt [Google CEO] told me: u'r good at telling stories; go talk to lots of ppl, tell us what u hear&quot;",9,2
1629,6327,RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; {link},9,3
1588,5423,RT @mention Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. {link},9,2
5288,1802,Google #h4ckers audience 95% male- devs are smart (&amp; easy when there's free alcohol) ;) #SXSW  @mention Speakeasy {link},9,2
3372,1911,@mention ahoy! let your readers know we'll keep em updated #sxsw parties w/ #eventseekr. Android: {link} iPhone app on way,9,2
3016,292,2wks only Apple Store in 6th Austin street is now opened. #sxsw,9,2
5162,2898,Wonder when Google's #impactdashboard (being demoed now) will become part of Google Analytics #bavcid #SXSW,9,2
2244,475,"Before It Even Begins, Apple Wins SXSW {link} &lt;&lt; who will win big at #SXSW ?",2,3
141,729,@mention  It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch bit.ly/g03MZB,9,2
5114,8548,The Memento iOS app is on sale for 99å¢ for #SXSW ÷Ý Wait Just One MomentoÛ_ Let Social Media Create Your Diary {link} #iPhone,9,2
5807,5701,"RT @mention Epicurious, flipboard, CNN, wired, and MOMA as examples of good iPad design #SXSW  {link}",7,3
789,8716,"A full house. Apparently more people care about their Google rankings than synthetic life. Tsk, tsk people. #qagb #sxsw",9,2
3182,1798,My #sxsw 2011 new iPhone app page. What's missing? See any breakouts? {link},9,2
2999,8384,"If you attended Mobile Accessibility panel at #sxsw Would be interested in what you learned, esp. about access for the blind, Android, etc.",9,2
2936,3995,Google take 3. Google Circles may be announced today at #SXSW. Their third try at #SocialNetworking. {link},9,2
746,1451,Of course! RT @mention #sxsw ipad store sold out of everything except 64gig wifi only white,9,2
6152,94,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,9,2
4349,7558,Fantasy Bracket Challenge &amp; iPad 2 GiveAway {link} via #constantcontact #SXSW #MarchMadness #SelectionSunday,9,2
4910,6667,RT @mention So #SXSW is cool. I strike up a conversation with a bloke who happens to work for The Guardian &amp; a few hours later... {link},9,2
4559,5810,RT @mention Google Circles launching today at #SXSW? New #Facebook killer???? {link},9,2
4784,2165,Congratulation! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,1,3
149,5460,RT @mention Apple selling iPad 2 at #sxsw. California is great at building cult followings. {link},9,2
3842,6890,RT @mention We're at Lustre Pearl for #teamandroidsxsw cause we love our Android geeks! #sxsw {link},0,3
1757,1487,[Just FYI...] BREAKING: Google to Launch Major New Social Network Called Circles...Today? {link} via @mention #sxsw #socialmedia,3,3
1058,368,Hope it's better than wave RT @mention Buzz is: Google's previewing a social networking platform at #SXSW: {link},9,0
760,8594,Crowd control at the Apple pop up #sxsw  {link},9,2
1083,2801,Another reason to go to Austin: #Apple to open a #SXSW popup store {link},2,3
3000,5628,RT @mention Come celebrate w/ Charity Water tonight! (Google is throwin the party). Jump start your #sxsw week off right! studentsforcleanwater.org/rsvp,3,3
1986,2750,Attn: dude using new iPad as a camera in the middle of an overcrowded #sxsw presentation. You rock. #fail,6,2
2188,4942,Yikes. Google is launching 'Circles' today at #sxsw? {link},9,0
2645,7191,"Helping you clean up and organize all of your news/content, @mention does a great job for you #iPad owners. #sxsw #SXSWi",7,3
1378,1088,ÛÏ@mention So @mention just spilled the beans: next platform for Flipboard is the iPhone. Team started working on it. #sxflip #SXSW #SXSWiÛ,9,2
5372,3699,I'm watching &quot;Designing iPad Interfaces - New Navigation Schemas&quot; at #SXSW. #UXDes,9,2
5993,971,#Apple to open pop up store at #SXSW in time for #ipad2 sales {link},9,2
3341,4915,The hive of innovation but yet every booth at the #SXSW trade show had the exact same promotional idea: iPad 2 Raffle!,9,0
421,7560,21 free tracks on iTunes from #SXSW featured artists: {link} (via @mention,9,2
4890,3322,so who's gonna be getting an ipad2 from the apple store today? - bet the que is getting bigger? #sxsw #ipad2 bet @mention will! :),6,3
753,3063,It's madness already downtown and it's only the 1st day of #sxsw. apple popup store seems to be doing brisk biz,2,3
2665,3029,This is very cool. Potential of non-text applications on iPhone. Awesome. #sxsw,7,3
2211,3782,RT: @mention Now online: First iPad 2 in the Wild at #SXSW {link},6,3
6141,5674,"RT @mention Did... what my mom might call The Big at #SXSW. Power plant, CNN, Google, and offchain set by Trombone Shorty at PBS.",9,2
2554,5844,"RT @mention Google looks to the future with mobile, location-based devices | {link}  #SXSW",9,2
1494,4012,Apple marketing is still impressive at #SXSW RT@mention {link},2,3
3660,133,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",9,2
3652,3813,Win free ipad 2 from webdoc.com #sxsw RT,6,3
1288,4458,Made it in time for the @mention podcast! Strange that my iPhone corrects @mention to &quot;nostalgic.&quot; #SXSW,9,2
616,3283,"&quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",3,3
880,4208,"Tim O'Reilly his Web 2.0 definition - companies that survived built value from consumer-generated data. eBay, Amazon, Google. #sxsw",9,2
1710,5669,"RT @mention Developers Learn About Mobile Accessibility at #sxsw, Android 3.0 to Include Browser Access #a11y2go {link}",9,2
1933,7236,Checking out iPad Design Headaches (author Josh Clark) #Tapworthy #SXSW,9,2
5192,840,Anyone in line at the temporary Apple Store in Austin has any idea till how late they'll be open tonight? #sxsw,9,2
2296,4462,Mike Tyson wants to be an iPhone knockout | #SXSW - CNET Blogs {link},8,3
4824,4094,Have Google launched their next social media flop yet? #sxsw,5,1
5153,6035,RT @mention Hot Pot from Google for mobile maps is a 'very' interesting new app. #sxsw #sxswi,1,3
6149,3696,Mad mad lines still at the #SXSW Apple pop up store here in Austin #ipad2,2,1
626,7060,"Apple's pop up shop on Lavaca and 6th #sxsw yes, the line wraps around the block (@mention Apple Store, SXSW) {link}",9,2
1211,386,&quot;You can Google Canadian Tuxedo and lose yourself for hours&quot; #sxsw,9,3
3522,7174,"Finally got a new iPhone 4 so I can tweet from my phone again! Just in time for #SXSW Gah, this has been torture. #addictedtotheinterwebs",8,3
4713,7385,It was a plane full of Gogglers! And it was Google marketer who told a friend he liked community reading newspapers brings!  #sxsw,3,3
5866,8117,@mention strikes a pose &amp; hopes to win an  iPad. #sxsw {link},9,2
3229,1937,I just realized that I havnt used my laptop since Thursday. Pure #iPhone with a sprinkle of the #iPad2 on top. #Apple #SXSW,8,3
6320,3661,#Google Will Connect the #Digital &amp; Physical Worlds Through #Mobile {link} via @mention  #sxsw,9,3
1049,7072,Apple to open iPad2 popup shop @mention core of SXSW action. Brilliant to bring hot shiny new toy to #SXSW peeps {link},6,3
3349,42,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,9,2
5097,2461,"free #iPad Lounge open daily for #SXSW serving art made on iPads, and local art, free coffee, @mention Austin Details {link} #photo",9,2
2252,9023,"Apparently, if you Google &quot;ad preferences&quot; and you'll see what Google thinks you'll like. #seenocreepy #sxsw",9,2
1689,5800,RT @mention Google &quot;ad preferences&quot; and you can view (and edit) what Google thinks you like. #seenocreepy #SXSW,9,2
4316,2718,Does apple stay in downtown Austin? I think yes. @mention Apple's popup #SXSW store - Detail belies 2wk lifespan {link},9,2
4700,340,The queue at the apple pop-up store #sxsw {link},9,2
327,3999,Sounds like Buzz rebranded w/an inner circle  RT @mention Google to Launch New Social Network: &quot;Circles&quot; {link} #sxsw,3,3
1998,1021,Hey #sxsw presenters &amp; attendees! Here are tips on how to show presentations on the #iPad and #iPhone {link},9,2
2951,1349,"Check out Your Mom Has an iPad: Designing for Boomers at SXSW.
{link} #SXSW",6,3
3526,1073,grabbed a seat in ballroom d to hear @mention from Google #SXSW,3,3
1797,227,Is Google about to have another go at social with &quot;Google Circles&quot;? #sxsw #google,9,2
