age	workclass	fnlwgt	education	education-num	marital-status	occupation	relationship	race	sex	capital-gain	capital-loss	hours-per-week	native-country	target
18.0	4	226956.0	11	9.0	4	8	3	4	0	0.0	0.0	30.0	0	1
47.0	4	51835.0	14	15.0	2	10	5	4	0	0.0	1902.0	60.0	16	0
50.0	1	251585.0	9	13.0	0	4	1	4	1	0.0	0.0	55.0	39	0
47.0	5	109832.0	11	9.0	0	4	1	4	1	0.0	0.0	60.0	39	1
43.0	4	237993.0	15	10.0	2	13	0	4	1	0.0	0.0	40.0	39	0
46.0	4	216666.0	4	3.0	2	7	0	4	1	0.0	0.0	40.0	26	1
35.0	4	56352.0	8	11.0	2	8	0	4	1	0.0	0.0	40.0	33	1
41.0	4	147372.0	11	9.0	2	1	0	4	1	0.0	0.0	48.0	39	1
30.0	4	188146.0	11	9.0	2	7	0	4	1	5013.0	0.0	40.0	39	1
30.0	4	59496.0	9	13.0	2	12	0	4	1	2407.0	0.0	40.0	39	1
32.0	0	293936.0	5	4.0	3	0	1	4	1	0.0	0.0	40.0	0	1
48.0	4	149640.0	11	9.0	2	14	0	4	1	0.0	0.0	40.0	39	1
42.0	4	116632.0	10	16.0	2	10	0	4	1	0.0	0.0	45.0	39	0
29.0	4	105598.0	15	10.0	0	13	1	4	1	0.0	0.0	58.0	39	1
36.0	4	155537.0	11	9.0	2	3	0	4	1	0.0	0.0	40.0	39	1
28.0	4	183175.0	15	10.0	0	1	1	4	0	0.0	0.0	40.0	39	1
53.0	4	169846.0	11	9.0	2	1	5	4	0	0.0	0.0	40.0	39	0
49.0	5	191681.0	15	10.0	2	4	0	4	1	0.0	0.0	50.0	39	0
25.0	0	200681.0	15	10.0	4	0	3	4	1	0.0	0.0	40.0	39	1
19.0	4	101509.0	15	10.0	4	10	3	4	1	0.0	0.0	32.0	39	1
31.0	4	309974.0	9	13.0	5	12	3	2	0	0.0	0.0	40.0	39	1
29.0	6	162298.0	9	13.0	2	12	0	4	1	0.0	0.0	70.0	39	0
23.0	4	211678.0	15	10.0	4	7	1	4	1	0.0	0.0	40.0	39	1
79.0	4	124744.0	15	10.0	2	10	2	4	1	0.0	0.0	20.0	39	1
27.0	4	213921.0	11	9.0	4	8	3	4	1	0.0	0.0	40.0	26	1
40.0	4	32214.0	7	12.0	2	1	0	4	1	0.0	0.0	40.0	39	1
67.0	0	212759.0	0	6.0	2	0	0	4	1	0.0	0.0	2.0	39	1
18.0	4	309634.0	1	7.0	4	8	3	4	0	0.0	0.0	22.0	39	1
31.0	2	125927.0	5	4.0	2	5	0	4	1	0.0	0.0	40.0	39	1
18.0	4	446839.0	11	9.0	4	12	1	4	1	0.0	0.0	30.0	39	1
52.0	4	276515.0	9	13.0	2	8	0	4	1	0.0	0.0	40.0	5	1
46.0	4	51618.0	11	9.0	2	8	5	4	0	0.0	0.0	40.0	39	1
59.0	4	159937.0	11	9.0	2	12	0	4	1	0.0	0.0	48.0	39	1
44.0	4	343591.0	11	9.0	0	3	1	4	0	14344.0	0.0	40.0	39	0
53.0	4	346253.0	11	9.0	0	12	3	4	0	0.0	0.0	35.0	39	1
49.0	2	268234.0	11	9.0	2	11	0	4	1	0.0	0.0	40.0	39	0
33.0	4	202051.0	12	14.0	2	10	0	4	1	0.0	0.0	50.0	39	1
30.0	4	54334.0	6	5.0	4	12	1	4	1	0.0	0.0	40.0	39	1
43.0	1	410867.0	10	16.0	4	10	1	4	0	0.0	0.0	50.0	39	0
57.0	4	249977.0	8	11.0	2	10	0	4	1	0.0	0.0	40.0	39	1
37.0	4	286730.0	15	10.0	0	3	4	4	0	0.0	0.0	40.0	39	1
28.0	4	212563.0	15	10.0	0	7	4	2	0	0.0	0.0	25.0	39	1
30.0	4	117747.0	11	9.0	2	12	5	1	0	0.0	1573.0	35.0	0	1
34.0	2	226296.0	9	13.0	2	11	0	4	1	0.0	0.0	40.0	39	0
29.0	2	115585.0	15	10.0	4	6	1	4	1	0.0	0.0	50.0	39	1
48.0	6	191277.0	10	16.0	2	10	0	4	1	0.0	1902.0	60.0	39	0
37.0	4	202683.0	15	10.0	2	12	0	4	1	0.0	0.0	48.0	39	0
48.0	4	171095.0	7	12.0	0	4	4	4	0	0.0	0.0	40.0	9	1
32.0	1	249409.0	11	9.0	4	8	3	2	1	0.0	0.0	40.0	39	1
76.0	4	124191.0	12	14.0	2	4	0	4	1	0.0	0.0	40.0	39	0
44.0	4	198282.0	9	13.0	2	4	0	4	1	15024.0	0.0	60.0	39	0
47.0	6	149116.0	12	14.0	4	10	1	4	0	0.0	0.0	50.0	39	1
20.0	4	188300.0	15	10.0	4	13	3	4	0	0.0	0.0	40.0	39	1
29.0	4	103432.0	11	9.0	4	3	1	4	1	0.0	0.0	40.0	39	1
32.0	5	317660.0	11	9.0	2	3	0	4	1	7688.0	0.0	40.0	39	0
17.0	0	304873.0	0	6.0	4	0	3	4	0	34095.0	0.0	32.0	39	1
30.0	4	194901.0	1	7.0	4	6	3	4	1	0.0	0.0	40.0	39	1
31.0	2	189265.0	11	9.0	4	1	1	4	0	0.0	0.0	40.0	39	1
42.0	4	124692.0	11	9.0	2	6	0	4	1	0.0	0.0	40.0	39	1
24.0	4	432376.0	9	13.0	4	12	2	4	1	0.0	0.0	40.0	39	1
38.0	4	65324.0	14	15.0	2	10	0	4	1	0.0	0.0	40.0	39	0
56.0	6	335605.0	11	9.0	2	8	0	4	1	0.0	1887.0	50.0	2	0
28.0	4	377869.0	15	10.0	2	12	5	4	0	4064.0	0.0	25.0	39	1
36.0	4	102864.0	11	9.0	4	7	3	4	0	0.0	0.0	40.0	39	1
53.0	4	95647.0	6	5.0	2	6	0	4	1	0.0	0.0	50.0	39	1
56.0	5	303090.0	15	10.0	2	12	0	4	1	0.0	0.0	50.0	39	1
49.0	2	197371.0	8	11.0	2	3	0	2	1	0.0	0.0	40.0	39	0
55.0	4	247552.0	15	10.0	2	12	0	4	1	0.0	0.0	56.0	39	1
22.0	4	102632.0	11	9.0	4	3	1	4	1	0.0	0.0	41.0	39	1
21.0	4	199915.0	15	10.0	4	8	3	4	0	0.0	0.0	40.0	39	1
40.0	4	118853.0	9	13.0	2	4	0	4	1	0.0	0.0	60.0	39	1
30.0	4	77143.0	9	13.0	4	4	3	2	1	0.0	0.0	40.0	11	1
29.0	7	267989.0	9	13.0	2	10	0	4	1	0.0	0.0	50.0	39	0
19.0	4	301606.0	15	10.0	4	8	3	2	1	0.0	0.0	35.0	39	1
47.0	4	287828.0	9	13.0	2	4	5	4	0	0.0	0.0	40.0	39	0
20.0	4	111697.0	15	10.0	4	1	3	4	0	0.0	1719.0	28.0	39	1
31.0	4	114937.0	7	12.0	2	1	0	4	1	0.0	0.0	40.0	39	0
35.0	0	129305.0	11	9.0	2	0	0	4	1	0.0	0.0	40.0	39	1
39.0	4	365739.0	15	10.0	0	3	1	4	1	0.0	0.0	40.0	39	1
28.0	4	69621.0	7	12.0	4	12	1	4	0	0.0	0.0	60.0	39	1
24.0	4	43323.0	11	9.0	4	8	1	4	0	0.0	1762.0	40.0	39	1
38.0	6	120985.0	11	9.0	2	3	0	4	1	4386.0	0.0	35.0	39	1
37.0	4	254202.0	9	13.0	2	12	0	4	1	0.0	0.0	50.0	39	1
46.0	4	146195.0	7	12.0	0	13	1	2	0	0.0	0.0	36.0	39	1
38.0	1	125933.0	12	14.0	2	10	0	4	1	0.0	0.0	40.0	20	0
43.0	6	56920.0	11	9.0	2	3	0	4	1	0.0	0.0	60.0	39	1
27.0	4	163127.0	8	11.0	2	1	5	4	0	0.0	0.0	35.0	39	1
20.0	4	34310.0	15	10.0	4	12	3	4	1	0.0	0.0	20.0	39	1
49.0	4	81973.0	15	10.0	2	3	0	1	1	0.0	0.0	40.0	39	0
61.0	5	66614.0	11	9.0	2	3	0	4	1	0.0	0.0	40.0	39	1
27.0	4	232782.0	15	10.0	4	12	3	4	0	0.0	0.0	40.0	39	1
19.0	4	316868.0	15	10.0	4	8	3	4	1	0.0	0.0	30.0	26	1
45.0	4	196584.0	8	11.0	4	10	1	4	0	0.0	1564.0	40.0	39	0
70.0	4	105376.0	15	10.0	4	13	2	4	1	0.0	0.0	40.0	39	1
31.0	4	185814.0	11	9.0	4	14	4	2	0	0.0	0.0	30.0	39	1
22.0	4	175374.0	15	10.0	2	8	0	4	1	0.0	0.0	24.0	39	1
36.0	4	108293.0	11	9.0	6	8	4	4	0	0.0	0.0	24.0	39	1
64.0	4	181232.0	1	7.0	2	3	0	4	1	0.0	2179.0	40.0	39	1
43.0	0	174662.0	15	10.0	0	0	1	4	0	0.0	0.0	40.0	39	1
47.0	2	186009.0	15	10.0	0	1	4	4	0	0.0	0.0	38.0	26	1
34.0	4	198183.0	11	9.0	4	1	1	4	0	0.0	0.0	40.0	39	1
33.0	4	163003.0	9	13.0	4	4	2	1	0	0.0	0.0	40.0	30	1
21.0	4	296158.0	11	9.0	4	3	3	4	1	0.0	0.0	35.0	39	1
52.0	0	252903.0	11	9.0	0	0	1	4	1	0.0	0.0	45.0	39	0
48.0	4	187715.0	11	9.0	2	3	0	4	1	0.0	0.0	46.0	39	1
23.0	4	214542.0	9	13.0	4	6	1	4	1	0.0	0.0	40.0	39	1
71.0	6	494223.0	15	10.0	5	12	4	2	1	0.0	1816.0	2.0	39	1
29.0	4	191535.0	11	9.0	0	3	1	4	1	0.0	0.0	60.0	39	1
42.0	4	228456.0	9	13.0	5	8	2	2	1	0.0	0.0	50.0	39	1
68.0	0	38317.0	3	2.0	0	0	1	4	0	0.0	0.0	20.0	39	1
25.0	4	252752.0	11	9.0	4	8	4	4	0	0.0	0.0	40.0	39	1
44.0	5	78374.0	12	14.0	0	4	4	1	0	0.0	0.0	40.0	39	1
28.0	4	88419.0	11	9.0	4	4	1	1	0	0.0	0.0	40.0	9	1
45.0	6	201080.0	12	14.0	2	12	0	4	1	0.0	0.0	40.0	39	0
36.0	4	207157.0	15	10.0	0	8	4	4	0	0.0	0.0	40.0	26	1
39.0	1	235485.0	7	12.0	4	4	1	4	1	0.0	0.0	42.0	39	1
46.0	7	102628.0	12	14.0	6	11	4	4	1	0.0	0.0	40.0	39	1
18.0	4	25828.0	1	7.0	4	6	3	4	1	0.0	0.0	16.0	39	1
66.0	2	54826.0	8	11.0	6	10	1	4	0	0.0	0.0	20.0	39	1
27.0	4	124953.0	11	9.0	4	8	1	4	1	0.0	1980.0	40.0	39	1
28.0	7	175325.0	11	9.0	2	11	0	4	1	0.0	0.0	40.0	39	1
51.0	4	96062.0	15	10.0	2	12	0	4	1	0.0	1977.0	40.0	39	0
27.0	4	428030.0	9	13.0	4	3	1	4	1	0.0	0.0	50.0	39	1
28.0	7	149624.0	9	13.0	2	10	0	4	1	0.0	0.0	40.0	39	0
27.0	4	253814.0	11	9.0	3	12	4	4	0	0.0	0.0	25.0	39	1
21.0	4	312956.0	11	9.0	4	3	3	2	1	0.0	0.0	40.0	39	1
34.0	4	483777.0	11	9.0	4	6	1	2	1	0.0	0.0	40.0	39	1
18.0	4	183930.0	11	9.0	4	8	3	4	1	0.0	0.0	12.0	39	1
33.0	4	37274.0	9	13.0	2	10	0	4	1	0.0	0.0	65.0	39	1
44.0	2	181344.0	15	10.0	2	4	0	2	1	0.0	0.0	38.0	39	0
43.0	4	114580.0	15	10.0	0	1	1	4	0	0.0	0.0	40.0	39	1
30.0	4	633742.0	15	10.0	4	3	1	2	1	0.0	0.0	45.0	39	1
40.0	4	286370.0	5	4.0	2	7	0	4	1	0.0	0.0	40.0	26	0
37.0	1	29054.0	15	10.0	2	1	0	4	1	0.0	0.0	42.0	39	0
34.0	4	304030.0	11	9.0	2	1	0	2	1	0.0	0.0	40.0	39	1
41.0	6	143129.0	9	13.0	0	4	1	4	0	0.0	0.0	40.0	39	1
53.0	0	135105.0	9	13.0	0	0	1	4	0	0.0	0.0	50.0	39	1
31.0	4	99928.0	12	14.0	2	10	5	4	0	0.0	0.0	50.0	39	1
58.0	7	109567.0	10	16.0	2	10	0	4	1	0.0	0.0	1.0	39	0
38.0	4	155222.0	15	10.0	0	7	1	2	0	0.0	0.0	28.0	39	1
24.0	4	159567.0	15	10.0	2	7	0	4	1	0.0	0.0	40.0	39	1
41.0	2	523910.0	9	13.0	2	3	0	2	1	0.0	0.0	40.0	39	1
47.0	4	120939.0	15	10.0	2	13	0	4	1	0.0	0.0	45.0	39	1
41.0	1	130760.0	9	13.0	2	13	0	4	1	0.0	0.0	24.0	39	1
23.0	4	197387.0	4	3.0	2	14	2	4	1	0.0	0.0	40.0	26	1
36.0	4	99374.0	15	10.0	0	3	1	4	1	0.0	0.0	40.0	39	1
40.0	1	56795.0	12	14.0	4	4	1	4	0	14084.0	0.0	55.0	39	0
35.0	4	138992.0	12	14.0	2	10	2	4	1	7298.0	0.0	40.0	39	0
24.0	6	32921.0	11	9.0	4	12	1	4	1	0.0	0.0	40.0	39	1
26.0	4	397317.0	12	14.0	4	10	1	4	0	0.0	1876.0	40.0	39	1
19.0	0	170653.0	11	9.0	4	0	3	4	1	0.0	0.0	40.0	22	1
51.0	4	259323.0	9	13.0	2	4	0	4	1	0.0	0.0	50.0	39	0
42.0	2	254817.0	15	10.0	4	10	1	4	0	0.0	1340.0	40.0	39	1
37.0	7	48211.0	11	9.0	0	1	4	4	0	0.0	0.0	35.0	39	1
18.0	4	140164.0	1	7.0	4	12	3	4	0	0.0	0.0	40.0	39	1
36.0	4	128757.0	9	13.0	2	8	0	2	1	7298.0	0.0	36.0	39	0
35.0	4	36270.0	11	9.0	0	3	1	4	1	0.0	0.0	60.0	39	1
58.0	5	210563.0	11	9.0	2	12	5	4	0	15024.0	0.0	35.0	39	0
17.0	4	65368.0	1	7.0	4	12	3	4	0	0.0	0.0	12.0	39	1
44.0	2	160943.0	11	9.0	2	14	0	2	1	0.0	0.0	40.0	39	1
37.0	4	208358.0	11	9.0	2	3	0	4	1	0.0	0.0	40.0	39	0
35.0	4	153790.0	15	10.0	4	12	1	0	0	0.0	0.0	40.0	39	1
60.0	4	85815.0	11	9.0	2	3	0	1	1	0.0	0.0	40.0	39	1
54.0	5	125417.0	5	4.0	2	7	0	4	1	0.0	0.0	40.0	39	0
37.0	4	635913.0	9	13.0	4	4	1	2	1	0.0	0.0	60.0	39	0
50.0	4	313321.0	7	12.0	0	12	1	4	0	0.0	0.0	40.0	39	1
38.0	4	182609.0	9	13.0	2	12	0	4	1	0.0	0.0	50.0	31	1
45.0	4	109434.0	9	13.0	2	10	0	4	1	0.0	0.0	55.0	39	1
25.0	4	255004.0	0	6.0	4	3	1	4	1	0.0	0.0	40.0	39	1
31.0	4	197860.0	15	10.0	2	6	0	4	1	0.0	0.0	40.0	39	1
64.0	0	187656.0	3	2.0	0	0	1	4	1	0.0	0.0	40.0	39	1
90.0	4	51744.0	11	9.0	4	8	1	2	1	0.0	2206.0	40.0	39	1
54.0	4	176681.0	11	9.0	2	1	0	2	1	0.0	0.0	20.0	39	1
53.0	2	140359.0	13	1.0	4	7	1	4	0	0.0	0.0	35.0	39	1
18.0	4	243313.0	11	9.0	4	12	3	4	0	0.0	0.0	40.0	39	1
60.0	0	24215.0	0	6.0	0	0	1	0	0	0.0	0.0	10.0	39	1
66.0	6	167687.0	11	9.0	2	5	0	4	1	1409.0	0.0	50.0	39	1
75.0	4	314209.0	8	11.0	6	1	1	4	0	0.0	0.0	20.0	4	1
65.0	4	176796.0	11	9.0	0	1	1	4	0	0.0	0.0	40.0	39	1
35.0	4	538583.0	1	7.0	5	14	1	2	1	3674.0	0.0	40.0	39	1
41.0	4	130408.0	11	9.0	0	12	4	2	0	0.0	0.0	38.0	39	1
25.0	4	159732.0	15	10.0	4	1	1	4	1	0.0	0.0	42.0	39	1
33.0	4	110978.0	15	10.0	0	3	2	3	0	0.0	0.0	40.0	39	1
28.0	4	76714.0	14	15.0	4	10	1	4	1	0.0	0.0	55.0	39	0
59.0	7	268700.0	11	9.0	2	8	0	4	1	0.0	0.0	40.0	39	1
40.0	7	170525.0	15	10.0	4	1	1	4	0	0.0	0.0	38.0	39	1
41.0	4	180138.0	9	13.0	2	4	0	4	1	0.0	0.0	50.0	20	0
38.0	2	115076.0	12	14.0	2	4	0	4	1	0.0	0.0	70.0	39	0
23.0	4	115458.0	11	9.0	4	14	3	4	1	0.0	0.0	40.0	39	1
40.0	4	347890.0	9	13.0	2	10	0	4	1	0.0	0.0	40.0	39	0
41.0	6	196001.0	11	9.0	2	8	5	4	0	0.0	0.0	20.0	39	1
24.0	7	273905.0	7	12.0	2	11	0	4	1	0.0	0.0	50.0	39	1
20.0	0	119156.0	15	10.0	4	0	3	4	1	0.0	0.0	20.0	39	1
38.0	4	179488.0	15	10.0	0	3	1	4	1	0.0	1741.0	40.0	39	1
56.0	4	203580.0	11	9.0	2	1	0	4	1	0.0	0.0	35.0	0	1
58.0	4	236596.0	11	9.0	2	1	0	4	1	0.0	0.0	45.0	39	0
32.0	4	183916.0	11	9.0	4	8	1	4	0	0.0	0.0	34.0	39	1
40.0	4	207578.0	7	12.0	2	13	0	4	1	0.0	1977.0	60.0	39	0
45.0	4	153141.0	11	9.0	2	1	0	4	1	0.0	0.0	40.0	0	1
41.0	4	112763.0	14	15.0	2	10	5	4	0	0.0	0.0	40.0	39	0
42.0	4	390781.0	9	13.0	2	1	5	2	0	0.0	0.0	40.0	39	1
59.0	2	171328.0	0	6.0	6	8	4	2	0	0.0	0.0	30.0	39	1
19.0	2	27382.0	15	10.0	4	1	3	4	1	0.0	0.0	40.0	39	1
58.0	4	259014.0	15	10.0	4	14	1	4	1	0.0	0.0	20.0	39	1
42.0	6	303044.0	11	9.0	2	5	0	1	1	0.0	0.0	40.0	1	0
20.0	4	117789.0	11	9.0	4	8	3	4	0	0.0	0.0	40.0	39	1
32.0	4	172579.0	11	9.0	5	8	1	4	0	0.0	0.0	30.0	39	1
45.0	4	187666.0	8	11.0	6	4	1	4	0	0.0	0.0	45.0	39	1
50.0	4	204518.0	5	4.0	0	3	1	4	1	0.0	0.0	40.0	39	1
36.0	4	150042.0	9	13.0	0	10	3	4	0	0.0	0.0	40.0	39	1
45.0	4	98092.0	11	9.0	2	12	0	4	1	0.0	0.0	60.0	39	1
17.0	4	245918.0	1	7.0	4	8	3	4	1	0.0	0.0	12.0	39	1
59.0	4	146013.0	15	10.0	2	12	0	4	1	4064.0	0.0	40.0	39	1
26.0	4	378322.0	1	7.0	2	3	0	4	1	0.0	0.0	40.0	39	1
37.0	5	257295.0	15	10.0	2	4	0	1	1	0.0	0.0	75.0	37	0
19.0	0	218956.0	15	10.0	4	0	3	4	1	0.0	0.0	24.0	2	1
64.0	4	21174.0	11	9.0	2	4	0	4	1	0.0	0.0	40.0	39	0
33.0	4	185480.0	9	13.0	4	10	1	4	0	0.0	0.0	45.0	39	1
33.0	4	222205.0	11	9.0	2	3	5	4	0	0.0	0.0	40.0	39	0
61.0	4	69867.0	11	9.0	2	4	0	4	1	0.0	0.0	40.0	39	0
17.0	4	191260.0	6	5.0	4	8	3	4	1	1055.0	0.0	24.0	39	1
50.0	6	30653.0	12	14.0	2	5	0	4	1	2407.0	0.0	98.0	39	1
27.0	2	209109.0	12	14.0	4	10	3	4	1	0.0	0.0	35.0	39	1
30.0	4	70377.0	11	9.0	0	10	3	4	0	0.0	0.0	40.0	39	1
43.0	4	477983.0	11	9.0	2	6	0	2	1	0.0	0.0	40.0	39	1
44.0	4	170924.0	15	10.0	2	3	0	4	1	7298.0	0.0	40.0	39	0
35.0	4	190174.0	15	10.0	4	4	1	4	0	0.0	0.0	40.0	39	1
25.0	4	193787.0	15	10.0	4	13	3	4	0	0.0	0.0	40.0	39	1
24.0	4	279472.0	15	10.0	2	7	5	4	0	7298.0	0.0	48.0	39	0
22.0	4	34918.0	9	13.0	4	10	1	4	0	0.0	0.0	15.0	11	1
42.0	2	97688.0	15	10.0	2	3	0	4	1	5178.0	0.0	40.0	39	0
34.0	4	175413.0	7	12.0	0	12	4	2	0	0.0	0.0	45.0	39	1
60.0	4	173960.0	9	13.0	0	10	1	4	0	0.0	0.0	42.0	39	1
21.0	4	205759.0	11	9.0	4	6	3	4	1	0.0	0.0	40.0	39	1
57.0	1	425161.0	12	14.0	2	12	0	4	1	15024.0	0.0	40.0	39	0
41.0	4	220531.0	14	15.0	2	10	0	4	1	0.0	0.0	60.0	39	0
50.0	4	176609.0	15	10.0	0	8	1	4	1	0.0	0.0	45.0	39	1
25.0	4	371987.0	9	13.0	4	4	1	4	0	0.0	0.0	40.0	39	1
50.0	4	193884.0	5	4.0	2	3	0	4	1	0.0	0.0	40.0	7	1
36.0	4	200352.0	9	13.0	2	10	0	4	1	0.0	0.0	45.0	39	1
31.0	4	127595.0	11	9.0	0	10	1	4	0	0.0	0.0	40.0	39	1
29.0	2	220419.0	9	13.0	4	11	1	4	1	0.0	0.0	56.0	39	1
21.0	4	231931.0	15	10.0	4	12	3	4	1	0.0	0.0	45.0	39	1
27.0	4	248402.0	9	13.0	4	13	4	2	0	0.0	0.0	40.0	39	1
65.0	4	111095.0	11	9.0	2	14	0	4	1	0.0	0.0	16.0	39	1
37.0	5	57424.0	9	13.0	0	12	1	4	0	0.0	0.0	60.0	39	1
39.0	0	157443.0	12	14.0	2	0	5	1	0	3464.0	0.0	40.0	0	1
24.0	4	278130.0	11	9.0	4	3	3	4	1	0.0	0.0	40.0	39	1
38.0	4	169469.0	11	9.0	0	12	1	4	1	0.0	0.0	80.0	39	1
48.0	4	146268.0	9	13.0	2	1	0	4	1	7688.0	0.0	40.0	39	0
21.0	4	153718.0	15	10.0	4	8	1	1	0	0.0	0.0	25.0	39	1
31.0	4	217460.0	11	9.0	2	14	0	4	1	0.0	0.0	45.0	39	0
55.0	4	238638.0	11	9.0	2	12	0	4	1	4386.0	0.0	40.0	39	0
24.0	4	303296.0	15	10.0	2	1	5	1	0	0.0	0.0	40.0	25	1
43.0	4	173321.0	11	9.0	0	1	1	4	0	0.0	0.0	40.0	39	1
26.0	4	193945.0	7	12.0	4	13	1	4	1	0.0	0.0	45.0	39	1
46.0	4	83082.0	7	12.0	4	10	1	4	0	0.0	0.0	33.0	39	1
35.0	4	193815.0	7	12.0	2	1	0	4	1	0.0	0.0	40.0	39	0
41.0	5	34987.0	15	10.0	2	5	0	4	1	0.0	0.0	54.0	39	0
26.0	4	59306.0	9	13.0	4	12	1	4	1	0.0	0.0	40.0	39	1
34.0	4	142897.0	12	14.0	2	4	0	1	1	7298.0	0.0	35.0	36	0
19.0	0	860348.0	15	10.0	4	0	3	2	0	0.0	0.0	25.0	39	1
36.0	6	205607.0	9	13.0	0	10	1	2	0	0.0	0.0	40.0	39	0
22.0	4	199698.0	15	10.0	4	12	3	4	1	0.0	0.0	15.0	39	1
24.0	4	191954.0	15	10.0	4	7	1	4	1	0.0	0.0	40.0	39	1
77.0	6	138714.0	15	10.0	2	12	0	4	1	0.0	0.0	40.0	39	1
22.0	4	399087.0	4	3.0	2	7	2	4	0	0.0	0.0	40.0	26	1
29.0	4	423158.0	15	10.0	4	13	1	4	0	0.0	0.0	40.0	39	1
62.0	4	159841.0	11	9.0	6	8	1	4	0	0.0	0.0	24.0	39	1
39.0	6	174308.0	11	9.0	2	4	0	4	1	0.0	0.0	40.0	39	1
