,country,points,price,province,variety
180,US,86,18.0,California,Pinot Noir
181,US,86,24.0,California,Chardonnay
182,US,86,12.0,California,Pinot Noir
183,US,86,32.0,California,Red Blend
184,US,89,49.0,California,Pinot Noir
185,France,89,19.0,Southwest France,Red Blend
186,Germany,89,26.0,Mosel,Riesling
187,US,89,35.0,Oregon,Chardonnay
188,Italy,89,55.0,Tuscany,Cabernet Sauvignon
189,US,89,46.0,Oregon,Pinot Noir
190,US,89,50.0,Oregon,Pinot Noir
191,US,89,43.0,California,Red Blend
192,Italy,89,30.0,Tuscany,Red Blend
193,Italy,89,45.0,Tuscany,Cabernet Sauvignon
194,Spain,89,23.0,Catalonia,Red Blend
195,Chile,89,19.0,Colchagua Valley,Red Blend
196,US,89,44.0,Oregon,Pinot Noir
197,Italy,89,30.0,Tuscany,Red Blend
198,US,92,30.0,California,Chardonnay
199,US,92,98.0,California,Cabernet Sauvignon
200,US,92,40.0,California,Red Blend
201,Canada,92,17.0,Ontario,Riesling
202,US,92,60.0,California,Chardonnay
203,US,92,68.0,California,Chardonnay
204,US,92,32.0,Washington,Chardonnay
205,US,92,66.0,Washington,Chardonnay
206,France,92,29.0,Alsace,Riesling
207,France,92,63.0,Alsace,Riesling
208,US,92,32.0,California,Chardonnay
209,US,92,55.0,California,Chardonnay
210,US,92,32.0,California,Chardonnay
211,US,92,44.0,California,Chardonnay
212,Germany,90,22.0,Mosel,Riesling
213,France,90,50.0,Burgundy,Pinot Noir
214,France,90,45.0,Burgundy,Pinot Noir
215,US,90,23.0,California,Pinot Noir
216,US,90,49.0,California,Pinot Noir
217,Germany,90,17.0,Mosel,Riesling
218,France,90,59.0,Burgundy,Chardonnay
219,US,90,48.0,Oregon,Pinot Noir
220,US,90,30.0,California,Chardonnay
221,US,90,40.0,California,Cabernet Sauvignon
222,Germany,90,31.0,Mosel,Riesling
223,US,90,15.0,California,Cabernet Sauvignon
224,US,90,15.0,California,Cabernet Sauvignon
225,US,94,62.0,California,Pinot Noir
226,US,94,49.0,Oregon,Pinot Noir
227,France,94,25.0,Southwest France,Red Blend
228,US,94,95.0,California,Cabernet Sauvignon
229,US,94,55.0,California,Chardonnay
230,US,94,48.0,California,Chardonnay
231,US,94,68.0,California,Pinot Noir
232,US,94,90.0,Oregon,Pinot Noir
233,US,93,60.0,California,Pinot Noir
234,US,93,85.0,California,Cabernet Sauvignon
235,US,93,60.0,California,Pinot Noir
236,US,93,58.0,California,Chardonnay
237,US,93,48.0,Oregon,Pinot Noir
238,US,93,60.0,California,Chardonnay
239,US,93,120.0,California,Cabernet Sauvignon
240,US,93,100.0,California,Cabernet Sauvignon
241,Spain,93,91.0,Northern Spain,Red Blend
242,US,91,20.0,Oregon,Chardonnay
243,US,91,55.0,California,Cabernet Sauvignon
244,US,91,45.0,California,Pinot Noir
245,Germany,91,36.0,Rheingau,Riesling
246,Germany,91,23.0,Mosel,Riesling
247,Germany,91,25.0,Rheingau,Riesling
248,Germany,91,28.0,Mosel,Riesling
249,US,91,28.0,California,Chardonnay
250,US,91,38.0,California,Chardonnay
251,US,91,44.0,California,Red Blend
252,US,91,45.0,California,Pinot Noir
253,Germany,91,25.0,Mosel,Riesling
254,Germany,91,38.0,Mosel,Riesling
255,Germany,91,22.0,Mosel,Riesling
256,Germany,91,26.0,Mosel,Riesling
257,Germany,91,23.0,Mosel,Riesling
258,Germany,91,23.0,Mosel,Riesling
259,France,91,60.0,Burgundy,Chardonnay
260,US,90,38.0,California,Cabernet Sauvignon
261,Australia,90,20.0,South Australia,Pinot Noir
262,US,90,40.0,California,Pinot Noir
263,France,90,13.0,Southwest France,Red Blend
264,France,90,45.0,Burgundy,Chardonnay
265,Germany,90,30.0,Mosel,Riesling
266,US,90,111.0,California,Cabernet Sauvignon
267,US,90,57.0,Oregon,Pinot Noir
268,US,90,24.0,Oregon,Chardonnay
269,Australia,88,42.0,Victoria,Pinot Noir
270,US,88,39.0,California,Chardonnay
271,US,88,55.0,California,Pinot Noir
272,US,88,25.0,California,Pinot Noir
273,US,88,48.0,Oregon,Pinot Noir
274,US,88,18.0,California,Chardonnay
275,US,88,65.0,Oregon,Pinot Noir
276,US,88,25.0,California,Chardonnay
277,US,88,48.0,California,Pinot Noir
278,France,88,20.0,Loire Valley,Pinot Noir
279,US,90,55.0,California,Cabernet Sauvignon
280,US,90,46.0,California,Chardonnay
281,US,90,55.0,California,Pinot Noir
282,US,90,30.0,California,Pinot Noir
283,US,90,27.0,New York,Pinot Noir
284,US,90,48.0,California,Chardonnay
285,US,90,48.0,California,Red Blend
286,US,90,60.0,California,Chardonnay
287,Canada,90,24.0,British Columbia,Riesling
288,US,90,85.0,California,Cabernet Sauvignon
289,Italy,90,25.0,Tuscany,Red Blend
290,US,86,18.0,California,Red Blend
291,US,85,15.0,California,Red Blend
292,France,85,16.0,Southwest France,Red Blend
293,US,85,15.0,California,Cabernet Sauvignon
294,US,85,12.0,California,Cabernet Sauvignon
295,South Africa,85,20.0,Overberg,Chardonnay
296,Spain,85,50.0,Northern Spain,Red Blend
297,US,85,65.0,California,Cabernet Sauvignon
298,Bulgaria,85,9.0,Thracian Valley,Chardonnay
299,Israel,85,30.0,Galilee,Chardonnay
300,Spain,89,26.0,Catalonia,Red Blend
301,US,89,20.0,California,Chardonnay
302,US,89,25.0,California,Riesling
303,US,89,36.0,California,Chardonnay
304,Italy,89,23.0,Tuscany,Red Blend
305,Italy,89,28.0,Tuscany,Red Blend
306,Chile,89,20.0,Maipo Valley,Cabernet Sauvignon
307,US,89,45.0,Oregon,Pinot Noir
308,Chile,89,20.0,Casablanca Valley,Pinot Noir
309,Italy,89,45.0,Tuscany,Red Blend
310,US,89,28.0,Oregon,Pinot Noir
311,Chile,89,25.0,Colchagua Valley,Cabernet Sauvignon
312,US,89,14.0,Oregon,Riesling
313,US,89,39.0,California,Red Blend
314,Italy,89,90.0,Tuscany,Red Blend
315,US,87,28.0,Washington,Cabernet Sauvignon
316,Italy,87,20.0,Tuscany,Red Blend
317,US,87,32.0,California,Red Blend
318,US,87,11.0,California,Cabernet Sauvignon
319,US,87,22.0,Idaho,Red Blend
320,US,87,25.0,California,Red Blend
321,US,87,16.0,New York,Chardonnay
322,US,87,25.0,California,Cabernet Sauvignon
323,US,90,48.0,Oregon,Pinot Noir
324,US,90,30.0,California,Chardonnay
325,France,90,59.0,Burgundy,Chardonnay
326,US,90,70.0,California,Cabernet Sauvignon
327,US,90,25.0,California,Riesling
328,US,90,50.0,California,Cabernet Sauvignon
329,US,90,80.0,California,Red Blend
330,Chile,90,24.0,Peumo,Red Blend
331,Germany,90,30.0,Mosel,Riesling
332,US,90,55.0,California,Cabernet Sauvignon
333,US,90,60.0,California,Cabernet Sauvignon
334,US,90,27.0,New York,Pinot Noir
335,France,90,45.0,Burgundy,Chardonnay
336,US,90,48.0,California,Pinot Noir
337,France,90,80.0,Burgundy,Pinot Noir
338,US,90,45.0,California,Pinot Noir
339,Italy,90,25.0,Tuscany,Red Blend
340,Italy,90,20.0,Tuscany,Red Blend
341,Italy,90,30.0,Tuscany,Red Blend
342,Italy,90,18.0,Tuscany,Red Blend
343,Italy,90,28.0,Tuscany,Red Blend
344,US,90,40.0,California,Cabernet Sauvignon
345,US,92,44.0,California,Chardonnay
346,US,92,32.0,California,Chardonnay
347,France,92,30.0,Alsace,Riesling
348,US,92,27.0,California,Chardonnay
349,France,92,24.0,Alsace,Riesling
350,US,92,15.0,Washington,Riesling
351,US,92,33.0,California,Cabernet Sauvignon
352,US,92,75.0,Washington,Cabernet Sauvignon
353,Chile,92,100.0,Colchagua Valley,Red Blend
354,US,92,21.0,Washington,Riesling
355,US,92,80.0,California,Red Blend
356,US,92,28.0,Washington,Cabernet Sauvignon
357,US,92,40.0,California,Chardonnay
358,Italy,92,500.0,Piedmont,Red Blend
359,US,93,65.0,California,Chardonnay
360,US,93,51.0,California,Chardonnay
361,US,93,30.0,California,Cabernet Sauvignon
362,US,93,32.0,California,Red Blend
363,US,93,125.0,Oregon,Chardonnay
364,US,93,150.0,California,Cabernet Sauvignon
365,US,93,70.0,Oregon,Pinot Noir
366,US,93,60.0,Oregon,Pinot Noir
367,US,93,60.0,California,Pinot Noir
368,US,93,45.0,California,Chardonnay
369,US,93,60.0,Oregon,Pinot Noir
370,US,93,80.0,California,Pinot Noir
371,US,93,85.0,California,Pinot Noir
372,Italy,89,90.0,Tuscany,Red Blend
373,US,89,39.0,California,Red Blend
374,US,89,25.0,California,Chardonnay
375,Chile,89,26.0,Limarí Valley,Red Blend
376,Italy,89,27.0,Lombardy,Red Blend
377,Italy,89,22.0,Tuscany,Red Blend
378,Chile,89,20.0,Colchagua Valley,Cabernet Sauvignon
379,Italy,89,65.0,Tuscany,Cabernet Sauvignon
380,Italy,89,52.0,Tuscany,Red Blend
381,US,89,65.0,California,Cabernet Sauvignon
382,Italy,89,240.0,Tuscany,Red Blend
383,Italy,89,35.0,Tuscany,Red Blend
384,US,89,40.0,Oregon,Pinot Noir
385,US,89,26.0,California,Pinot Noir
386,US,90,40.0,California,Red Blend
387,Israel,90,20.0,Galilee,Cabernet Sauvignon
388,US,90,72.0,California,Pinot Noir
389,Germany,90,60.0,Mosel,Riesling
390,US,90,44.0,California,Pinot Noir
391,Israel,90,15.0,Galilee,Cabernet Sauvignon
392,US,90,36.0,California,Chardonnay
393,Israel,90,40.0,Galilee,Red Blend
394,US,90,70.0,California,Chardonnay
395,US,90,48.0,Oregon,Pinot Noir
396,Israel,90,55.0,Judean Hills,Cabernet Sauvignon
397,US,90,125.0,California,Cabernet Sauvignon
398,Australia,90,65.0,Tasmania,Pinot Noir
399,US,90,37.0,Oregon,Pinot Noir
400,US,85,13.0,California,Chardonnay
401,Israel,85,30.0,Galilee,Chardonnay
402,US,85,20.0,California,Chardonnay
403,South Africa,85,22.0,Stellenbosch,Chardonnay
404,US,85,100.0,California,Cabernet Sauvignon
405,France,85,15.0,Southwest France,Chardonnay
406,US,85,30.0,California,Chardonnay
407,Germany,91,17.0,Rheinhessen,Riesling
408,US,91,65.0,Oregon,Pinot Noir
409,US,91,32.0,Oregon,Pinot Noir
410,US,91,36.0,California,Pinot Noir
411,Germany,91,20.0,Mosel,Riesling
412,Chile,91,100.0,Colchagua Valley,Red Blend
413,Chile,91,30.0,Colchagua Valley,Red Blend
414,US,91,65.0,Oregon,Pinot Noir
415,Italy,91,30.0,Tuscany,Red Blend
416,US,91,48.0,California,Pinot Noir
417,US,91,42.0,California,Pinot Noir
418,US,88,19.0,Oregon,Pinot Noir
419,US,88,20.0,Oregon,Pinot Noir
420,Bulgaria,88,10.0,Thracian Valley,Pinot Noir
421,Australia,88,25.0,South Australia,Chardonnay
422,Romania,88,9.0,Dealurile Munteniei,Pinot Noir
423,US,88,22.0,California,Chardonnay
424,US,88,40.0,California,Pinot Noir
425,US,88,70.0,California,Pinot Noir
426,US,87,38.0,California,Cabernet Sauvignon
427,US,87,14.0,New York,Chardonnay
428,US,87,40.0,New York,Cabernet Sauvignon
429,US,87,25.0,New York,Cabernet Sauvignon
430,US,87,24.0,California,Riesling
431,US,87,16.0,California,Chardonnay
432,US,87,20.0,New York,Riesling
433,US,87,50.0,Washington,Red Blend
434,US,87,25.0,California,Cabernet Sauvignon
435,US,87,18.0,California,Cabernet Sauvignon
436,US,90,20.0,California,Cabernet Sauvignon
437,France,90,56.0,Burgundy,Pinot Noir
438,Germany,90,30.0,Rheingau,Riesling
439,US,90,28.0,California,Chardonnay
440,US,90,32.0,Oregon,Pinot Noir
441,France,90,35.0,Alsace,Pinot Noir
442,France,90,70.0,Burgundy,Pinot Noir
443,US,90,90.0,California,Cabernet Sauvignon
444,US,90,45.0,California,Chardonnay
445,US,90,22.0,Oregon,Pinot Noir
446,US,90,40.0,California,Chardonnay
447,US,90,85.0,California,Pinot Noir
448,US,90,24.0,California,Chardonnay
449,US,90,26.0,California,Chardonnay
450,France,90,35.0,Loire Valley,Pinot Noir
451,US,90,20.0,New York,Riesling
452,US,90,15.0,Washington,Cabernet Sauvignon
453,US,90,20.0,California,Red Blend
454,US,90,75.0,California,Cabernet Sauvignon
455,US,90,55.0,California,Chardonnay
456,Italy,90,20.0,Tuscany,Red Blend
457,Italy,90,30.0,Tuscany,Red Blend
458,Italy,90,18.0,Tuscany,Red Blend
459,US,90,48.0,California,Cabernet Sauvignon
460,France,90,43.0,Burgundy,Chardonnay
461,New Zealand,93,46.0,Kumeu,Chardonnay
462,US,93,55.0,California,Pinot Noir
463,US,93,94.0,California,Chardonnay
464,US,93,37.0,Oregon,Pinot Noir
465,US,93,44.0,California,Pinot Noir
466,US,93,50.0,California,Cabernet Sauvignon
467,Austria,93,27.0,Niederösterreich,Pinot Noir
468,New Zealand,93,40.0,Central Otago,Riesling
469,US,93,35.0,Oregon,Chardonnay
470,US,93,60.0,California,Pinot Noir
471,Spain,93,136.0,Northern Spain,Red Blend
472,US,93,48.0,California,Chardonnay
473,Austria,93,19.0,Thermenregion,Pinot Noir
474,US,93,65.0,California,Pinot Noir
475,US,90,50.0,Oregon,Pinot Noir
476,Germany,90,23.0,Mosel,Riesling
477,Israel,90,40.0,Galilee,Cabernet Sauvignon
478,US,90,50.0,California,Pinot Noir
479,Germany,90,22.0,Mosel,Riesling
480,France,90,141.0,Burgundy,Chardonnay
481,France,90,74.0,Burgundy,Chardonnay
482,US,90,100.0,California,Cabernet Sauvignon
483,US,90,50.0,California,Cabernet Sauvignon
484,US,90,44.0,California,Red Blend
485,US,90,60.0,Oregon,Pinot Noir
486,US,90,20.0,Oregon,Pinot Noir
487,France,92,34.0,Alsace,Riesling
488,US,92,55.0,California,Chardonnay
489,US,92,75.0,California,Cabernet Sauvignon
490,US,92,34.0,California,Chardonnay
491,France,92,25.0,Alsace,Riesling
492,France,92,30.0,Alsace,Riesling
493,France,92,47.0,Alsace,Riesling
494,France,92,49.0,Alsace,Riesling
495,France,92,26.0,Alsace,Riesling
496,US,92,100.0,California,Cabernet Sauvignon
497,US,92,43.0,California,Chardonnay
498,US,92,100.0,California,Cabernet Sauvignon
499,US,92,70.0,California,Chardonnay
500,US,92,80.0,California,Cabernet Sauvignon
501,South Africa,85,10.0,Robertson,Chardonnay
502,US,85,18.0,California,Chardonnay
503,US,85,27.0,Washington,Cabernet Sauvignon
504,US,85,15.0,New York,Chardonnay
505,US,85,25.0,New York,Red Blend
506,US,85,20.0,California,Chardonnay
507,US,87,25.0,New York,Cabernet Sauvignon
508,US,87,24.0,California,Riesling
509,US,87,16.0,California,Chardonnay
510,Italy,87,42.0,Tuscany,Red Blend
511,US,87,74.0,Washington,Cabernet Sauvignon
512,US,87,35.0,Washington,Cabernet Sauvignon
513,Argentina,87,18.0,Mendoza Province,Pinot Noir
514,Italy,87,75.0,Tuscany,Red Blend
515,US,87,18.0,Idaho,Riesling
516,Italy,87,40.0,Tuscany,Red Blend
517,Italy,89,32.0,Tuscany,Red Blend
518,US,89,33.0,Oregon,Chardonnay
519,France,89,22.0,Southwest France,Red Blend
520,US,89,22.0,Oregon,Pinot Noir
521,France,89,13.0,Southwest France,Red Blend
522,Germany,89,45.0,Mosel,Riesling
523,Spain,88,25.0,Catalonia,Red Blend
524,Spain,88,22.0,Catalonia,Red Blend
525,US,88,28.0,California,Red Blend
526,US,88,19.0,California,Pinot Noir
527,Italy,88,17.0,Tuscany,Red Blend
528,Italy,88,35.0,Lombardy,Red Blend
529,US,88,34.0,Oregon,Pinot Noir
530,US,88,28.0,Oregon,Riesling
531,Germany,91,18.0,Mosel,Riesling
532,France,91,78.0,Burgundy,Chardonnay
533,France,91,65.0,Burgundy,Pinot Noir
534,US,91,44.0,California,Chardonnay
535,US,91,50.0,California,Pinot Noir
536,US,91,56.0,California,Pinot Noir
537,France,91,60.0,Burgundy,Chardonnay
538,US,91,19.0,Oregon,Riesling
539,US,91,64.0,California,Chardonnay
540,France,91,74.0,Burgundy,Pinot Noir
541,US,88,63.0,California,Pinot Noir
542,Argentina,88,21.0,Mendoza Province,Cabernet Sauvignon
543,US,88,18.0,California,Cabernet Sauvignon
544,US,88,18.0,California,Pinot Noir
545,US,88,48.0,Oregon,Pinot Noir
546,US,88,16.0,Oregon,Pinot Noir
547,US,88,35.0,California,Pinot Noir
548,US,88,40.0,Oregon,Pinot Noir
549,US,88,48.0,Oregon,Pinot Noir
550,US,88,21.0,California,Red Blend
551,US,88,30.0,California,Pinot Noir
552,US,88,25.0,California,Pinot Noir
553,US,90,40.0,Oregon,Pinot Noir
554,US,90,40.0,California,Cabernet Sauvignon
555,US,90,49.0,California,Pinot Noir
556,US,90,44.0,California,Cabernet Sauvignon
557,US,90,28.0,California,Chardonnay
558,Italy,90,39.0,Sicily & Sardinia,Red Blend
559,US,90,45.0,Oregon,Pinot Noir
560,US,90,48.0,Oregon,Pinot Noir
561,US,90,95.0,California,Red Blend
562,France,90,50.0,Burgundy,Chardonnay
563,US,90,44.0,California,Pinot Noir
564,Spain,90,90.0,Andalucia,Red Blend
565,Spain,90,33.0,Andalucia,Red Blend
566,US,90,45.0,California,Chardonnay
567,US,90,30.0,California,Pinot Noir
568,US,90,65.0,California,Cabernet Sauvignon
569,US,90,65.0,California,Cabernet Sauvignon
570,US,90,38.0,California,Red Blend
571,Italy,90,28.0,Tuscany,Red Blend
572,Spain,90,32.0,Catalonia,Red Blend
573,US,90,55.0,California,Cabernet Sauvignon
574,US,90,85.0,California,Pinot Noir
575,US,90,35.0,California,Chardonnay
576,US,90,48.0,California,Red Blend
577,US,90,50.0,Oregon,Pinot Noir
578,Germany,90,23.0,Mosel,Riesling
579,Israel,90,40.0,Galilee,Cabernet Sauvignon
580,US,90,50.0,Oregon,Pinot Noir
581,US,90,30.0,California,Chardonnay
582,US,90,40.0,California,Cabernet Sauvignon
583,US,90,100.0,California,Cabernet Sauvignon
584,US,93,40.0,Oregon,Chardonnay
585,New Zealand,92,63.0,Martinborough,Pinot Noir
586,US,92,75.0,Oregon,Pinot Noir
587,US,92,95.0,Oregon,Pinot Noir
588,US,92,42.0,California,Cabernet Sauvignon
589,US,92,54.0,California,Pinot Noir
590,US,92,35.0,California,Pinot Noir
591,US,92,68.0,Oregon,Pinot Noir
592,France,92,28.0,Southwest France,Red Blend
593,US,92,63.0,Oregon,Chardonnay
594,Spain,84,9.0,Northern Spain,Red Blend
595,US,84,29.0,California,Pinot Noir
596,US,84,12.0,California,Pinot Noir
597,US,92,32.0,Washington,Chardonnay
598,France,91,14.0,Alsace,Riesling
599,US,91,40.0,California,Chardonnay
600,US,91,54.0,California,Cabernet Sauvignon
601,Chile,91,22.0,Rapel Valley,Red Blend
602,US,91,40.0,California,Chardonnay
603,US,91,24.0,California,Chardonnay
604,US,91,80.0,California,Cabernet Sauvignon
605,US,91,15.0,California,Chardonnay
606,France,91,36.0,Alsace,Riesling
607,US,87,25.0,Washington,Chardonnay
608,US,87,35.0,California,Chardonnay
609,Italy,87,25.0,Tuscany,Red Blend
610,US,87,15.0,Washington,Chardonnay
611,US,87,35.0,Washington,Red Blend
612,US,87,26.0,Washington,Red Blend
613,US,87,8.0,Washington,Riesling
614,US,87,20.0,California,Chardonnay
615,Italy,90,25.0,Tuscany,Red Blend
616,US,90,40.0,California,Cabernet Sauvignon
617,US,90,48.0,California,Pinot Noir
618,US,90,48.0,Oregon,Pinot Noir
619,US,90,28.0,California,Chardonnay
620,US,90,44.0,California,Pinot Noir
621,US,90,60.0,California,Pinot Noir
622,Italy,90,16.0,Tuscany,Red Blend
623,US,90,50.0,California,Cabernet Sauvignon
624,US,90,54.0,California,Red Blend
625,US,90,45.0,California,Chardonnay
626,Germany,90,31.0,Mosel,Riesling
627,Germany,90,35.0,Rheingau,Riesling
628,Germany,90,18.0,Mosel,Riesling
629,US,88,25.0,California,Riesling
630,US,88,50.0,California,Red Blend
