id   ,x1   ,x2   ,x3   ,x4   ,x5   ,y
97   ,-4.73,0.29 ,-4.9 ,0.32 ,-9.3 ,18.2428760191158
98   ,4.12 ,-6.02,-5.29,-8.97,1.56 ,-18.8850241258591
99   ,-4.78,-9.66,7.8  ,7.95 ,7.44 ,-64.9107109384358
100  ,-1.89,5.06 ,-1.98,7.96 ,4.87 ,-27.7230335496888
101  ,-3   ,-1.9 ,7.2  ,-1.17,1.57 ,-1.88084603626281
102  ,-5.64,4.11 ,8.88 ,-9.91,-9.81,5.37838799368589
103  ,-9.13,8.03 ,-9.4 ,5.8  ,-6.38,26.0617724571601
104  ,2.91 ,4.63 ,-1.12,-8.99,7.19 ,-20.2585546784952
105  ,5.71 ,-5.59,-5.42,0.13 ,0.46 ,-2.86570724254101
106  ,-8.77,-8.17,-1.39,8.62 ,-6.51,11.4502103804946
107  ,-6.68,-7.62,3.88 ,1.14 ,-3.17,-9.8602767039165
108  ,-3.45,-7.24,9.4  ,9.8  ,-1.73,-46.2508290713117
109  ,-1.76,7.2  ,6.04 ,-7.62,-4.23,-54.3519166085288
110  ,-3.65,-4   ,-7.47,-8.59,-7.58,0.894197273291647
111  ,-0.58,-8.04,6.54 ,-3.84,7.06 ,-60.2928490803435
112  ,3.56 ,-1.77,-1.95,7.68 ,-1.88,3.85274629130662
113  ,-6.44,-3.47,7.8  ,7.59 ,8.56 ,38.0621796224684
114  ,-7.99,-5.01,4.26 ,-1.33,6.39 ,40.6657725868374
115  ,0.13 ,8.7  ,6.82 ,5.25 ,-9.96,-73.9170357507974
116  ,-0.87,9.93 ,1.35 ,-0.92,2.38 ,-91.9257857135981
117  ,-1.59,4.62 ,-0.08,6.68 ,-9.94,-13.5458106528327
118  ,4.1  ,2.96 ,8.31 ,5.09 ,4.15 ,8.57320260841548
119  ,4.72 ,-9   ,-6.12,-8.23,6.92 ,-53.3672659259275
120  ,-9.81,7.69 ,-6.37,0.4  ,-2.88,32.3367920428514
121  ,-9.08,4.86 ,9.45 ,-2.45,-2.94,67.053862295191
122  ,-3.25,8.87 ,7.5  ,9.25 ,0.03 ,-75.4041675074637
123  ,-1.46,-5.77,7.26 ,-7.45,-9.88,-32.6280395269498
124  ,-4.41,-9.25,-9.07,4    ,7.08 ,-69.0576368231937
125  ,7.56 ,3.16 ,-2.64,-9.39,0.85 ,56.9979460904673
126  ,1.42 ,8.04 ,-0.61,-7.67,-9.81,-72.1709064453512
127  ,-9.94,1.31 ,8.07 ,-2.77,4.46 ,103.348391053826
128  ,5.4  ,-4.76,3.68 ,4.18 ,-4.49,4.24738871993274
129  ,6.64 ,-7.93,3.65 ,4.83 ,-3.51,-24.3363933168605
130  ,2.14 ,9.16 ,4.99 ,-4.83,-9.37,-79.031757740885
131  ,-2.2 ,-6.9 ,-0.66,1.14 ,1.63 ,-44.0508943493292
132  ,-5.16,-3.57,9.92 ,0.36 ,9.71 ,18.9784613124996
133  ,-9.85,-7.03,4.26 ,5.26 ,8.5  ,56.8384086986244
134  ,-9.21,-9.89,-2.65,-4.25,0.09 ,-20.1441242081225
135  ,-8.09,-8.25,-5.25,-5.76,7.14 ,-1.69729750572294
136  ,-8.93,-5.77,2.74 ,9.86 ,-3.32,56.1865805959776
137  ,7.72 ,-2.06,-3.65,-6.4 ,-6.29,55.5512101009071
138  ,-6.5 ,-5.57,-4.98,-5.31,-3.82,16.1041037399158
139  ,-7.91,2.9  ,9.04 ,-8.78,-7   ,52.6693989228219
140  ,-9.07,-4.48,-3.88,2.57 ,7.5  ,52.5427495015487
141  ,-2.28,6.28 ,3.28 ,-3.14,-4.23,-36.4687038248032
142  ,8.69 ,-0.45,8.69 ,-9.37,5.87 ,76.6698838919461
143  ,-3.71,-4.31,1.39 ,1.67 ,-0.86,-7.12976809785515
144  ,1.14 ,1.07 ,3.96 ,7.83 ,-5.67,-4.62222918851972
145  ,5.33 ,6.25 ,3.71 ,9.64 ,9.9  ,-10.3419561834693
146  ,8.27 ,8.48 ,7.91 ,5.01 ,5.66 ,-10.2465938831866
147  ,-2.74,4.22 ,3.08 ,0.75 ,-8.83,-5.09264223804623
148  ,-8.45,7.18 ,-7.35,-4.18,6.93 ,26.1864551860675
149  ,-2.2 ,8.49 ,2.31 ,-3.16,6.85 ,-75.3069846750632
150  ,5.37 ,-9.42,-4.52,-9.89,-5.66,-69.4153266229555
151  ,-0.13,3.1  ,3.66 ,4.92 ,-6.9 ,-9.93982792535275
152  ,-6.57,6.14 ,5.19 ,5.88 ,1.51 ,10.524446489948
153  ,-6.12,-0.59,-1.08,-4.55,-5.44,41.0651981308043
154  ,-2.51,-1.4 ,-9.22,6.8  ,5.32 ,11.0165961043373
155  ,-4.78,3.53 ,0.97 ,-9.24,4.21 ,6.24487362504006
156  ,6.17 ,4.57 ,-3.28,-4.99,8.84 ,8.81926000920683
157  ,-0.08,-4.07,-2.02,-3.07,1.28 ,-17.0714384389147
158  ,-0.42,-2.99,-0.75,5.01 ,-5.46,-10.0516592413083
159  ,6.26 ,1.3  ,-0.6 ,2.54 ,8.78 ,37.4920623373449
160  ,-9.86,-6.72,-4.21,9.68 ,7.84 ,55.8738224791631
161  ,6.06 ,-2.13,5.95 ,2.22 ,-0.93,29.4407469747037
162  ,-2.74,8.08 ,-0.46,-4.54,6.69 ,-58.5200871811539
163  ,1.58 ,-2.43,-2.33,-7.77,-1.78,-0.742599058061838
164  ,-6.29,-4.86,-2.89,-1.48,-0.17,7.81903995924443
165  ,2.39 ,-3.08,-4   ,8.82 ,7.79 ,-2.75267876342237
166  ,-0.62,3.12 ,1.68 ,-2.78,0.99 ,-15.8384127257392
167  ,4.57 ,-5.4 ,-3.62,-5.79,-6.96,-1.25499926300943
168  ,-8.68,-4.32,-0.09,8.81 ,1.37 ,59.1172888915241
169  ,-3.33,5.28 ,7.09 ,-1.26,8.26 ,-9.6714727152586
170  ,2.28 ,-1.58,-4.29,-0.4 ,8.4  ,-6.84784363168478
171  ,-4.61,-9.97,5.62 ,0.7  ,-4.05,-75.6015472583577
172  ,-3.2 ,8.91 ,4.25 ,-7.12,2.29 ,-73.412935123904
173  ,5.61 ,2.1  ,7.1  ,9.75 ,2.25 ,33.5723129988372
174  ,8.66 ,-6.52,5.51 ,-8.18,-9.73,33.6341806277677
175  ,-9.14,-3.25,-1.53,-4.11,9.17 ,75.9492482750028
176  ,-2.33,8.75 ,-0.75,5.25 ,4.61 ,-72.0853794847488
177  ,-0.54,-4.28,-1.74,-5.45,-5.6 ,-15.1849305004656
178  ,2.63 ,1.35 ,-3.37,-5.89,8.09 ,11.2913021335244
179  ,-1.15,-9.79,-0.93,-1.72,7.66 ,-89.3648444175705
180  ,-3.87,7.37 ,7.86 ,-3.85,-4.79,-38.3228378427774
181  ,-9.38,-4.3 ,-8.68,-1.1 ,-7.69,68.3143169607833
182  ,2.1  ,-9.27,-1.93,-2.24,3.44 ,-83.0501511169314
183  ,-1.64,-9.25,-9.63,-8.51,-5.91,-80.9961268642634
184  ,-9.92,-0.55,-1.75,9.46 ,-5.16,97.1485214703843
185  ,4.09 ,-1.68,1.33 ,4.7  ,4.01 ,20.1283174445823
186  ,0.84 ,4.03 ,-9.23,4.52 ,3.58 ,-19.383988066937
187  ,-3.86,-9.18,0.19 ,2.81 ,-9.68,-63.6611116006851
188  ,-5.42,-3.48,-2.45,9.46 ,4.25 ,14.8363354831785
189  ,-7.31,-8.61,-3.75,6.29 ,-2.08,-29.5677365963384
190  ,-0.01,-4.71,-2.19,5.9  ,8.53 ,-28.5965968888402
191  ,-8.69,2.92 ,6.02 ,-1.93,5.01 ,66.4655221181109
192  ,-1.87,-3.32,9.91 ,-6.18,-7.76,-11.3005165443867
193  ,7.06 ,-2.24,-2.1 ,9.19 ,-8.08,50.0790088182539
194  ,6.06 ,-5.86,1.05 ,-7.97,0.43 ,1.48728947938978
195  ,-4.52,-1.47,-3.75,9.63 ,-5.85,23.0533800493628
196  ,5.97 ,-8.84,2.79 ,3.33 ,9.75 ,-37.7936044396579
197  ,3.15 ,-5.8 ,0.62 ,-9.59,2.53 ,-22.5442342047766
198  ,5.9  ,-0.78,-7.01,-3.97,-2.43,38.1893356728539
199  ,-7.26,-1.76,-8.43,5.1  ,-1.34,53.6060282249376
200  ,-0.92,2.81 ,-0.43,6.36 ,3    ,-10.2721793126807
201  ,-8.51,0.86 ,1.2  ,-9.04,-2.7 ,71.126675461635
202  ,-1.17,8.64 ,8.42 ,7.22 ,-9.96,-65.5251894397631
203  ,-4.88,-3.82,4.3  ,7.74 ,-4.54,9.05505672183633
204  ,-6.12,-5.31,-7.31,-3.85,1.6  ,8.2027384444505
205  ,0.38 ,3.11 ,6.39 ,-7.17,-5.62,-18.7102855895877
206  ,-1.55,9.76 ,1.86 ,7.33 ,-7.89,-85.4254471014276
207  ,-9.9 ,-7.3 ,-3.5 ,-2.19,8.28 ,53.2225874897838
208  ,-2.18,3.02 ,0.18 ,7.51 ,7.72 ,-13.1242417238951
209  ,1.05 ,4.71 ,8.7  ,7.83 ,-8.98,-18.8712608505398
210  ,-6.82,-7.8 ,-7.19,9.5  ,0.33 ,-10.5657961336359
211  ,-4.46,7.61 ,-6.48,5.72 ,-6.8 ,-47.9774072807208
212  ,-2.2 ,-1.52,-1.38,6.51 ,-5.78,-2.92379833479375
213  ,0.61 ,6.9  ,-4.11,6.04 ,-0.52,-52.7720126630083
214  ,3.68 ,4.2  ,4.95 ,-2.94,5.45 ,-2.28861001601666
215  ,-5.24,-6.84,-3.18,-6.62,7.88 ,-12.4781683592796
216  ,-2.24,-5.99,-3.3 ,2.02 ,0.58 ,-26.0870896169916
217  ,-7.7 ,9.33 ,-3.61,-5.05,-9.03,-24.4503319992065
218  ,4.82 ,-5.5 ,5.33 ,-7.97,2.26 ,-0.726689984185991
219  ,-1.97,-3.6 ,1.38 ,5.32 ,-9.79,-9.91730642437786
220  ,3.47 ,-6.77,9.06 ,-1.97,5.04 ,-26.4392189184278
221  ,1.17 ,0.49 ,-8.06,0.94 ,6.02 ,7.88470273458511
222  ,4.87 ,-3.28,-7.17,4.14 ,-1.46,16.945901816994
223  ,7.04 ,6.09 ,6.04 ,-6.34,8.92 ,7.58174587661773
224  ,-1.27,3.18 ,3.4  ,7.49 ,-6.35,-4.45531677276641
225  ,-3.91,-4.14,4.33 ,0.17 ,1.28 ,-5.41396896088123
226  ,-0.32,-3.58,1.92 ,0.71 ,-6.98,-19.7475725834593
227  ,-6.5 ,-7.32,5.5  ,2.05 ,-2.12,-2.79468203549981
228  ,4.23 ,7.44 ,2.6  ,-1.25,1.4  ,-34.0162496886373
229  ,1.48 ,1.08 ,8.54 ,-0.31,-4.18,-1.91285211334378
230  ,2.18 ,-3.76,-8.41,-8.28,-3.67,-9.29798100293129
231  ,5.47 ,-7.17,-0.45,-3.07,2.16 ,-21.4287944083214
232  ,8.07 ,-3.14,2.73 ,-2.45,8.62 ,58.1098705818012
233  ,8.12 ,5.43 ,7.59 ,5.05 ,2.45 ,40.5165223301276
234  ,-1.91,-2.7 ,-6.03,3.49 ,8.14 ,4.471003079018
235  ,8.46 ,0.19 ,-8.85,-9.82,-4.47,69.9654866389483
236  ,-1.43,9.29 ,-4.57,-8.84,5.06 ,-82.3442453674793
237  ,-9.58,-6.43,-6.09,-0.79,9.52 ,50.8879535617828
238  ,5.17 ,-3.74,-5.53,-6.93,-2.19,15.7262675530568
239  ,-6.47,-2.77,0.02 ,6.11 ,8.08 ,37.0742682683393
240  ,3.06 ,2.25 ,-5.54,-8.69,2.82 ,10.0249351600245
241  ,-7.58,-5.78,6.28 ,-4.65,5.15 ,21.8349131509215
242  ,-9.13,-2.78,-5.49,-3.74,9.78 ,66.5566856752932
243  ,6.8  ,5.89 ,-9.05,9.22 ,-3.79,12.6822593057245
244  ,5.35 ,-7.83,4.04 ,-5.44,-7.65,-29.3048108098969
245  ,-2.22,4.29 ,-3.89,-6.21,-7.8 ,-13.2197460789949
246  ,-2.41,-7.2 ,0.73 ,-4.65,5.67 ,-37.7569107275322
247  ,2.47 ,-8.37,-5.02,-0.71,1.21 ,-58.0809892720952
248  ,4.19 ,-1.71,6.71 ,-5.86,7.21 ,15.9436952078417
249  ,0.07 ,5.52 ,-0.88,-3.85,-0.71,-22.9283330720589
250  ,-7.29,7.68 ,1.72 ,-0.36,6.28 ,2.72209858888835
251  ,-4.56,-7.02,-6.74,3.17 ,6.14 ,-26.0854437313259
252  ,3.38 ,3.03 ,3.65 ,-6.21,-9.19,-3.38376389616728
253  ,-0.86,-4.24,-9.24,7.35 ,-9.23,-20.3480826291367
254  ,0.12 ,-9.6 ,3.73 ,-5.73,-7.27,-101.72579006066
255  ,-0.74,2.07 ,5.79 ,-5.18,1.49 ,-8.15748316593021
256  ,6.49 ,1.14 ,-1.12,-1.28,0.21 ,31.1319348417148
257  ,-6.88,-7.11,2.36 ,8.24 ,-4.93,4.83361956469267
258  ,-3.77,-1.67,4.32 ,-8.06,-3.72,14.1452138008326
259  ,-1.58,3.29 ,-5.33,1.48 ,7.79 ,-14.6759942385599
260  ,1.83 ,2.79 ,-3.86,-1.28,1.9  ,-3.7799543727234
261  ,4.32 ,0.89 ,-2.9 ,6.92 ,-2   ,12.0985967502251
262  ,6.55 ,-3.42,7.8  ,-7.64,4.33 ,28.5720127112478
263  ,-8.49,0.96 ,-7.4 ,-9.1 ,-0.92,80.3585026861206
264  ,6.67 ,4.1  ,3.12 ,5.63 ,-5.8 ,36.8070531006098
265  ,0.1  ,1.93 ,-6.24,7.27 ,-1.3 ,-4.60229515747875
266  ,0.92 ,6.83 ,1.6  ,8.12 ,8.64 ,-52.6245092076808
267  ,3.48 ,-7.76,0.7  ,5.46 ,-1.15,-41.0376889589548
268  ,1.04 ,5.48 ,6.19 ,-6.39,7.95 ,-24.2137192465469
269  ,5.52 ,-3.1 ,-5.49,4.42 ,-4.92,29.630869436422
270  ,-4.8 ,6.58 ,-9.22,2.72 ,6.72 ,-18.5123549855068
271  ,-0.97,-2.3 ,6.81 ,-5.99,-2.34,-2.85885232664496
272  ,6.68 ,2.95 ,-9.72,4.12 ,-4.84,42.5573739818275
273  ,-9.87,1.43 ,-5.62,0.66 ,5.61 ,89.1292384206578
274  ,-9.46,3.72 ,7.12 ,-7.17,-3.24,80.4238741001457
275  ,7.45 ,-5.49,-4.15,7.89 ,-8   ,33.4844267945901
276  ,4.67 ,-0.5 ,4.84 ,-1.9 ,-1.99,15.5673672020748
277  ,-9.53,-7.81,-6.99,-9.74,-4.89,32.0855680782676
278  ,1.26 ,9.94 ,1.56 ,-5.46,-6.93,-97.9099044874161
279  ,4.18 ,8.13 ,1.11 ,2.35 ,-1.52,-57.727344549343
280  ,1.34 ,8.33 ,-6.48,-7.21,8.17 ,-71.5848139600635
281  ,-6.17,-5.73,3.43 ,2.62 ,5.11 ,13.8257214291617
282  ,0.71 ,-0.13,-6.08,-4.03,4.16 ,-1.32167490510941
283  ,-1.62,-3.19,-7.12,-1.8 ,3.8  ,-5.24377581412047
284  ,3.03 ,2.08 ,-2.26,9.33 ,5.79 ,-3.53170307389647
285  ,5.44 ,-2.17,5.49 ,0.09 ,7.58 ,32.2693022738144
286  ,-0.42,-7.31,3.52 ,-4.89,-1.5 ,-50.5518873582527
287  ,3.3  ,6.99 ,0.8  ,7.08 ,2.1  ,-35.0805004327208
288  ,-6.34,-5.12,9.49 ,-9.34,2.43 ,16.8375935449347
289  ,-9.45,5    ,-4.1 ,-3.81,-4.16,58.5154119485616
290  ,-4.59,2.17 ,-7.61,-2.6 ,-9.34,16.330429606308
291  ,-6.38,-9.43,-8.4 ,-2.32,0.05 ,-53.0828517109081
292  ,-6.77,0.95 ,9.35 ,-2.09,-2.49,44.7619283702686
293  ,2.98 ,3.48 ,-6   ,5.87 ,9.73 ,3.76795593041927
294  ,-9.66,0.81 ,2.49 ,-4.92,-9.26,95.8819615523592
295  ,-3.91,2.27 ,-3.89,-0.23,3.82 ,7.24908774681836
296  ,-1.38,8.7  ,1.12 ,-2.83,-5.35,-71.3326962328836
297  ,5.76 ,2.46 ,-4.78,-3.48,-6.86,22.5530519223064
298  ,-1.65,5.43 ,-7.91,2.4  ,-2.73,-29.8408373171628
299  ,0.75 ,-1.4 ,-1.05,8.59 ,-4.74,-3.74873226419091
300  ,-5.37,-2.13,-9.29,6.58 ,-3.78,27.6629435719922
301  ,-1.27,1.44 ,6.29 ,0.74 ,0.74 ,0.989604314494133
302  ,-7.93,-2.81,-3.29,1.67 ,0.69 ,56.0191616616875
303  ,-9.26,2.18 ,7.57 ,9.37 ,-4.01,87.2918070417315
304  ,-6.62,3.39 ,0.64 ,1.04 ,-9.03,34.8470418584675
305  ,-0.58,0.38 ,2.68 ,0.26 ,4.17 ,-4.24185594058782
306  ,-4.32,-9.04,-7.32,3.92 ,9.94 ,-63.3207035045892
307  ,-5.66,2.26 ,8.48 ,2.83 ,-5.31,29.3439953230992
308  ,9.69 ,4.95 ,-7.21,7.6  ,-5.79,63.963197276859
309  ,6.05 ,3.69 ,-2.32,6.29 ,-4.32,17.4936932727635
310  ,7.43 ,8.14 ,-7.07,3.61 ,-8.84,-4.97571358156653
311  ,6.76 ,-5.78,-6.26,2.63 ,-8.57,14.459654445295
312  ,1.09 ,4.6  ,-0.03,9.67 ,4.45 ,-27.4030335990205
313  ,-8.93,7.55 ,-0.43,5.61 ,5.39 ,16.1687161709532
314  ,8.21 ,-5.46,-1.14,0.53 ,6.86 ,46.0160074790195
315  ,3.56 ,-5.49,-7.95,3.53 ,-6.26,-10.8860142379031
316  ,4.47 ,5    ,-3.08,9.47 ,-7.09,-13.2497979736313
317  ,0.94 ,7.88 ,1.48 ,4.53 ,-2.63,-60.1307229842052
318  ,-2.1 ,-0.11,3.79 ,-6.33,9.82 ,-3.92043765842021
319  ,3.45 ,0.73 ,-2.45,2.62 ,4.63 ,19.0675327620938
320  ,-8.08,-0.21,-6.18,-1.35,-1.96,57.939252726692
321  ,-3.17,1.94 ,-6.07,5.79 ,-8.6 ,16.0876546580225
322  ,2.43 ,0.68 ,3.19 ,-9.79,-7.59,-0.424439947009086
323  ,-7.8 ,-5.27,-3.11,3.04 ,5.7  ,31.83491669911
324  ,-9.48,-5   ,9.31 ,0.3  ,-1.08,55.3336018133998
325  ,0.45 ,-1.24,0.15 ,7.79 ,8.57 ,7.58190876411051
326  ,3.22 ,7.32 ,8.42 ,-1.05,-1.69,-50.7212154263034
327  ,-3.24,6.3  ,9.31 ,-1.73,7.17 ,-37.1323518016726
328  ,3.91 ,8.89 ,-1.45,8.62 ,4.63 ,-64.5341336718351
329  ,-8.85,9.2  ,-2.72,-5.23,-7.13,-13.6518866039067
330  ,-8.17,-9.78,-9.69,-6.56,-8.38,-36.8395866990909
331  ,0.37 ,9.74 ,5.72 ,2.67 ,-1.23,-104.011840081584
332  ,-7.83,-7.19,-6.21,4.94 ,-7.78,12.6106563403711
333  ,2.34 ,-1.09,6.55 ,-2.79,0.85 ,3.0929000493139
334  ,2.25 ,1.61 ,-6.25,-0.47,-7.94,-6.62709887883663
335  ,4.57 ,-9.89,-0.17,-0.05,-5.96,-85.6738690409929
336  ,4.93 ,5.4  ,9.88 ,7.65 ,-6   ,-1.5545163999334
337  ,2.54 ,-4.77,-0.02,-9.01,-9.41,-19.6364217862219
338  ,6.71 ,8.45 ,-8.49,5.29 ,7.31 ,-17.0244307352245
339  ,5.15 ,-0.2 ,4.56 ,-6.27,-8.66,33.135810591355
340  ,1.8  ,6.74 ,8.9  ,-7.1 ,6.7  ,-37.5610392020851
341  ,-0.94,1.73 ,1.48 ,5.67 ,7.61 ,-6.66809613291472
342  ,-9.38,0.08 ,-8.68,-0.18,-4.66,97.2014491324052
343  ,0.21 ,2.95 ,-3.24,2.77 ,-8.3 ,-15.0988769567773
344  ,-5.58,2.08 ,-3.15,6.35 ,3.15 ,24.1585865537077
345  ,1.25 ,8    ,5.55 ,1.83 ,7.25 ,-63.6381528722122
