experience,job_description,job_desig,job_type,key_skills,location,salary
4-6 yrs,"Key Skills: Matlab, Image Processing, C++, Machine learning, TensorFlow, Caffe2, Pytorch, Open Neural ...",Image Processing Engineer - Machine Learning/opencv,,"opencv, c++, image processing, matlab, algorithms, machine learning...",Mumbai,6to10
12-16 yrs,"College, university, or equivalent degree in statistics, information systems or related field required ...",Data Science Leader,Analytics,"Statistics, Advanced Analytics, Data Science, Predictive Modeling...",Pune,25to50
2-5 yrs,Should have strong problem-solving skills and an ability to come up with creative ideas;Must have 2 ...,Urgent Opening for Campaign Success Manager,,"Digital Marketing, Business Development, Social Media Marketing...",Gurgaon,6to10
2-7 yrs,,Digital Marketing Executive,,"digital marketing, online marketing, internet marketing, seo, search engine...",Pune(Maan),3to6
1-6 yrs,"Should possess high energy level, be a self-starter, a good team player, self-motivated and driven to ...",Senior Financial Analyst - Corporate Accounting,,"corporate accounting, finance, financial auditing, us gaap...",Bengaluru,0to3
2-5 yrs,,Urgently Looking For React Front end Developer @ Chennai,,"CSS, Bootstrap, Responsive Web Design, Javascript, Grunt, HTML, React.Js...",Chennai,6to10
3-6 yrs,,Business Analyst- Catalyst Services ( Reporting & Analytics),Analytics,"Business Analysis, Analytics, Business Reporting, Data Quality...",Coimbatore,3to6
8-12 yrs,10 years of work experience and preferably leading small size team;Have experience in Travel or Retail/ ...,Python Model Development,,"Management Interaction, Client Management, Model Development, Communication...",Delhi NCR,10to15
0-1 yrs,,Walk-in for B.com | BBA | M.com| MBA in Finance - Fresher,,"Accounting, Mba Finance, MCOM, Financial Statements, Bba, MS Office...",Pune,0to3
1-4 yrs,4.	Individual team contributor & good team player; ability to handle assigned areas effectively & ...,Hiring for Financial Analyst - on Contract @flipkart | Bangalore,,"finance, budgeting, financial analysis, problem solving, report preparation...",Bengaluru,0to3
0-2 yrs,  Business Sourcing    Channel Partner Empanelment    Training & Servicing ...,Sales Intern (2 Months) for MBA Students,,"Sales, Competitor Analysis, Team Management, Btl, Events...",Mumbai,0to3
3-6 yrs,- 2+ years of experience in a software or data engineering role;- Hands-on experience with one of the ...,Data Engineer,,"Python, Machine Learning, Spark, Javascript, Data Structures, Scalability...",Bengaluru,25to50
1-2 yrs,,Personal Assistant,ANALYTICS,"Personal Assistance, secretary, executive assistant, personal assistant...",Chennai(GST Road),3to6
10-15 yrs,,Project Manager + Scrum Master ( Development Project) :: Hiring @ FIS,,"Project Management, Big Data, Scrum Master, Agile, Waterfall...",Chennai,10to15
2-7 yrs,,Oracle Data Integrator (odi),,"Information technology, Business process, Outsourcing, Operations...",Mumbai,6to10
4-8 yrs,The position required for an individual to manage Decision Points client engagement end to end which ...,Senior Analytics Consultant,Analytics,"team management, excel powerpoint, data analytics, client engagement...",Gurgaon,6to10
2-5 yrs,"Executing appropriate data migration solutions including ,  where required ,  transformation ...",Bl046-fjs Data Migration Analyst (offshore),,"Data migration, data cleansing, sap data services, Data management...",Chennai,6to10
6-11 yrs,Should have worked on multiple enhancements & customizations right from requirements gathering to ...,SAP SD Analyst,,"Vistex, SAP SD, SAP SD Analyst, ECC, Order to Cash",Pune,6to10
4-8 yrs,Experience is managing a globally distributed design teams;We are looking for a user- experience ...,"Manager, User Experience Design",,"Javascript, Flex, LAN, Application support, Coding, Internship, CSS3...",Pune,6to10
2-7 yrs,,"Tendering Engineer- Electrical, upto 30k, Dwarka",,"Electrical Engineering, Tendering, bidding, proposal, estimation, boq, rate...","Delhi NCR, Delhi",0to3
8-12 yrs,"Experience: 8+ years in Risk & Safety Studies, preferable in consulting firm (PMC/TPI);Skills ...",Opportunity for Risk & Safety Engineer / Manager -isspl-mumbai,,"hazard analysis, hazop study, hazid, risk and safety manager",Mumbai,10to15
7-12 yrs,- Experience in Credit card/ banking domain with knowledge across customer lifecycle is must;- Candidate ...,Associate Vice President - Analytics - Credit Cards - Iim/isi/iisc/mdi,Analytics,"banking analytics, team leading, credit cards, business intelligence...","Delhi NCR, Gurgaon",25to50
4-8 yrs,"Train the analysts in market analysis, forecasting, data presentation and analysis and monitor their ...",Associate Project Manager - Digital Innovation and Insights,,"Social Media Research, Social Media Listening, Media Research, Social Media...",Hyderabad,6to10
10-14 yrs,,Process Safety Management & Laboratory Safety Management Lead,,"Process Safety Management, Hazard Analysis, Chemical Engineering...",Hyderabad,6to10
3-5 yrs,,IT Company Hiring - IT Asset Analyst / Executive - Mumbai - Goregaon,,"It Asset, it inventory, it asset management, it procurement","Mumbai Suburbs, Mumbai, Thane",0to3
3-5 yrs,"At least 2 years of functional experience in corporate finance, supply chain, manufacturing, procurement, ...",OTS - Senior Analyst - Senior,,"project management, project execution, due diligence, strategy, transaction...",Gurgaon,3to6
1-4 yrs,,Research Analyst _US MNC,,"Communication, Research Analysis, Writing Skills, Social Media Analyst...",Chandigarh,0to3
9-14 yrs,- Might lead a project team where leadership skills are required;- 9+ years of experience into C&B ...,Vice President - Compensation & Benefits - Bfsi/it/fmcg,,"compensation, benefits, business strategy, market analysis...",Pune,15to25
2-5 yrs,- 2+ year of experience with Web Applications in Startups;- Experience with content sites / SEO pages ...,Senior Frontend Developer - Web Applications & Dashboards,,"Javascript, CSS, JQuery, HTML, Responsive Web Design, Angularjs...",Bengaluru,10to15
2-3 yrs,2 to 3 years relevant experience in database development;Experience with the following technologies ...,Software Engineer (database Developer),Analytics,"Database Development, sql developer, Postgresql",Bengaluru(Whitefield),3to6
5-10 yrs,Always Be Learning: Experience with open source technologies (if no practical work experience w/ Big ...,Full Stack Developer,,"php, node.js, mvc framework, java, web technologies, scalability...",Pune(Navi Peth),15to25
4-6 yrs,,Talent Acquisition Role (analytics Hiring Specialist),analytics,"recruitment, talent acquisition, campus hiring, sourcing, Analytics Hiring,...","Gurgaon, Bengaluru",10to15
2-6 yrs,- A candidate with 1-2 years of experience in Tableau must have built at least 3-4 full scale dashboards ...,Research Analyst - Product Management Group - Metrics & Analytics,Analytics,"finance, monetization, investment banking, data analysis, research analysis...",Mumbai,6to10
3-8 yrs,3 to 6 years extensive experience development in C/C++/Java/Python;Hands on experience in data ...,Big Data Developer,,"C, Algorithms, C++, Java, Data Structures, Hadoop, Linux...",Pune,10to15
6-9 yrs,5-7 years of experience in building distributed data intensive applications; 5-8 years of ...,Software Engineer III - Big Data Analytics,Analytics,"Core Java, Spring, JSP, HTML, Maven, Hadoop, MySQL, JMS, Hdfs, JEE, MR...",Bengaluru,15to25
5-10 yrs,"- With good communication and presentation skills;- Good experience with PD, EAD, LGD modeling ...",Manager/senior Manager - Model Development/validation - Credit Risk,,"Credit Risk, Credit Risk Modeling, Project Management, EAD, LGD modeling...","Gurgaon, Gurugram",15to25
4-9 yrs,,"Accounts & Finance Manager - For Canada & Australia, call to Apply",,"accounting, finance, financial management, financial analysis...","Canada, Australia, Singapore",25to50
1-6 yrs,Familiarity of intricacies in many of these through actual real world implementation experience is a ...,Data Scientist,,"Deep Learning, Machine Learning, Natural Language Processing, NLP, Python...",Hyderabad,10to15
4-7 yrs,- Has strong analytic and problem solving skills & must be articulate;- Must have in-depth knowledge ...,Sr  Mgr / Mgr - Business Process Reengineering,analytic,"Project Management, Lean Six Sigma, KPO, BPO, Program Management, PMP...",Delhi NCR,10to15
2-4 yrs,"SAS is Mandatory  - Use sophisticated statistical techniques to develop scorecards, customer ...",Business Analyst - SAS - Retail & Banking,,"hive, sql, customer segmentation, advanced excel, business analysis, sas...","Bengaluru, Gurgaon",6to10
0-3 yrs,,Sales / Marketing & BDM,,"marketing management, retail distribution, selling, banking products...",Pune,0to3
3-6 yrs,"Must have the ability to design,  co- ordinate and develop in a fast paced agile environment;Must have ...",ETL Big Data Developer Finance,,"Apache, Shell scripting, Python, Business intelligence...",Chennai,6to10
1-2 yrs,Total Exp required  BE / MBA with 12 months to 23 months ONLY (Anyone with less than OR more than this ...,Payments Business Analyst,,"Strong Analytical Skills, Business Analysis, IT Services...",Pune,0to3
1-6 yrs,,"Financial Analyst, O2C , Accounts Payable Associate , Accounts rec",,"Accounting, Finance, AR, Accounts Payable, O2C, Financial Analysis...",Delhi NCR,0to3
5-10 yrs,-	Should have worked in designing framework;Good Communication skills;Strong Java skills and Manual ...,Selenium Testing:citiustech Healthcare Technology: Mumbai,,"Cucumber, Selenium Testing, Manual Testing, Java, Healthcare, Big Data...","Mumbai, Navi Mumbai",6to10
1-5 yrs,"v.	Must have excellent technical documentation skills (RCA reports) with eye for detail, quality & ...",Enterprise Mobility Suite,,"Enterprise Mobility, RMS, azure ad",Delhi NCR,0to3
5-8 yrs,At least 3+ years hand on experience in Advanced Analytics;Develop and support Best-in-class analytic ...,Data Mining Manager,Analytics,"SAS, SQL, Chaid, Excel, R, Advanced Analytics, NLP, Data Mining, Clustering...",Hyderabad,3to6
2-5 yrs,He/She should be willingly to travel regularly for market visits to gauge trends basis discussion with ...,AM- Product Category Manager,,"Product Marketing, Product Management, Sales, Product Launch...",Bengaluru,10to15
2-6 yrs,"Experience with project management software, such as Jira;Experience with network/proxy monitoring tools ...","Quality Analyst- Testing ( Java Script , J Query)",,"Javascript, JQuery, Android, Java, Cloud, Fiddler, JIRA, Windows OS, IOS...",Pune,3to6
16-26 yrs,"  Analyses details of competitor offerings, including specifications, market share, pricing, and ...",Marketing Advisor/consultant - Fmcg,,"Marketing, Sales, Branding, Advertising, FMCG, Positioning, Strategy...",Noida(Sector-57 Noida),10to15
7-12 yrs,"Zycus  is looking for a  Technical PMO Lead  with an experience of about  07 -12 yrs ,. ...",Technical PMO Lead,,"project management, strategic sourcing, process improvement...",Mumbai,10to15
1-2 yrs,,Advanced Copywriter,,"Copy Writing, Market Research, Business Analysis, Ideation...",Hyderabad,0to3
5-8 yrs,7) Data Analysing Capability and Logical Thinking are required for effective inventory related policies ...,Inventory Executive - Females only,,"hindi, english, kannada, communication skills, ms office, retail sales...",Bengaluru,0to3
7-12 yrs,- At least 1 year of relevant experience;- Front end Product Manager with experience in consumer web ...,Product Manager/senior Product Manager - Consumer Web Space - Iit/nit/,,"user experience design, ux, product management, web technologies, front end...","Delhi NCR, Bengaluru",15to25
2-5 yrs,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,Application Developer,Analytics,"SQL, Oracle, SAP, Analytics, QlikView, Business process, Outsourcing...",Pune,3to6
2-4 yrs,  Interact with business users to understand the processes responsible for data generation ...,Data Scientist,,"Data Mining, R, Process Analysis, Effective Communication, Python",Bengaluru,3to6
0-5 yrs,,Store / Logistics/ Suply Chain walk in Interview,,"Communication Skills, Analytical, Problem Solving, itil solving...","Hyderabad, Ranchi, Nagpur",0to3
3-8 yrs,Strong computer skills and a capacity to learn new emerging technologies is also a must;Willingness to ...,GIS Analyst ( Remote Sensing ) Thane,,"GIS,  ESRI,  Remote Sensing,  R,  Image Processing,  Statistical Analysis, ...",Mumbai,6to10
2-5 yrs,,Looking for ADL Documentation in Pharma Company Mumbai,,"ADL documentation, SOP, STP, SOP preparation, review data, prepare reports,...","Mumbai, Mumbai Suburbs, Navi Mumbai",0to3
4-8 yrs,"1 - Should have knowledge of PPC to run PPC campaigns and monitor paid search budgets;We, Virtual ...",Team Lead - PPC for Noida Location,,"SEO, Digital Marketing, Search Engine Marketing, Google AdWords, SEM...",Noida,6to10
8-13 yrs,The ideal incumbent over10- 15 years experience of which substantial experience in the PVC sheet / film / ...,Manager/ Sr. Manager- Pvc Extrusion,,"Production Planning, Maintenance Planning, Production Management...","Hyderabad, telengana",10to15
5-9 yrs,"Good working knowledge of Indian Accounting standards, companies act and Income tax act Knowledge of RBI ...",Senior Mgr - Finance - Only From NBFC Background,,"Accounting Standards, Finance, Taxation, Auditing, Financial Reporting...",Gurgaon,15to25
5-8 yrs,"- Proven experience of 5-8 years as SEO Manager, SEM Manager or similar role;Experience & Specific ...",Sr. SEO Manager,Analytics,"SEO Manager, SEO, Search Engine Optimization, Google Analytics & Webmasters...",Noida,6to10
8-12 yrs,"Experience in programming and automating manual tasks and certifications in Project Management (PMP), ...",RLS Analytics Manager,Analytics,"Computer science, Engineering Manager, Project management, Analytics...",Pune,10to15
2-5 yrs,- Managing a sales process of 20+ Telesales Executives - Driving Productivity  - Data ...,Team Leader - Voice Process,,"team leading, outbound sales, Data Analysis, Productivity Improvement",Pune(Parvati Darshan),3to6
1-5 yrs,Analyzing data and make reports as per management requirement;Analyzing data and make reports as per ...,Job Opportunity Edp/dtp Executive for Leading Education Industry,,"Photoshop, Corel Draw, Pagemaker, Advanced Excel, MS Office Word, VLOOKUP...",Bengaluru,0to3
2-3 yrs,,Python Developer,Analytics,"azure, sql server, ansible, paas, Python Developer, Analytics","Mumbai, Bengaluru, Pune",3to6
0-3 yrs,"working experience 2 years;Young male or female office assistant, should have knowledge of computer ...",Office Assistant,,"ms office, tally, office assistance, office management, excel, power point,...",Delhi(West Patel Nagar),3to6
8-13 yrs,This role will have a strong focus on data modelling and experience with Azure based analytics products ...,Immediate Hiring on BI Developer @ Bangalore_marathahalli,analytics,"OLAP, SQL, Data Warehousing, DW, ETL, SSIS, Analysis Services, Bi...",Bengaluru(Marathahalli),15to25
14-18 yrs,- 14+ years overall experience in a high-tech company in field applications and/or applications/customer ...,Associate Director/senior Manager - Customer/technical Support,,"Technical Support, Customer Support, Customer Satisfaction...",Bengaluru,25to50
2-4 yrs,- 2+ years of experience with exposure to Indian financial markets;- 2+ years of experience with ...,Corporate Governance Research Analyst (leading Financial Services Co),,"Llb, Llm, Finance, Corporate Governance, Company Secretary...",Mumbai,10to15
7-12 yrs,Overall experience of close 7-10 years: 1;Good knowledge on connect direct file transfer mechanism ...,Business Analyst/technical Analyst role @ Harman Hyderabad,,"SCOPE, Project Management, UAT, Consulting, Business Analysis...",Hyderabad,15to25
3-8 yrs,Min experience in Retail banking domain / or any BFS domain would do;Hands on Experience in SQL is a ...,Interview Scheduled for Data Analyst on 6th October at Powai Location,,"oracle sql, data analysis, retail banking, bfsi, banking, investment...",Chennai,3to6
7-8 yrs,"- Strong experience in building reusable modules, refactoring code;- Ability to define required ...",Front End Tech Lead - Javascript/jquery,,"Javascript, JQuery, HTML, CSS, Bootstrap, Angularjs, Github, GIT, Front End...",Mumbai,6to10
5-10 yrs,"CA 3-4 yrs of experience, CA Inter / Bcom with 8-10 yrs of experience;wherever required in the course of ...",Associate Manager Commercial,,"Accounting, Budget Management, Advanced Excel, MIS Reporting...",Mumbai,6to10
3-5 yrs,,Business Analyst - E Tendering,,"Business Analysis, E - Tendering, Bidding, Techno commmercial",Delhi NCR,3to6
19-23 yrs,"- Re-engineer processes to ensure maximum efficiency;- Should have handled entire gamut of HR, as this ...",Senior Vice President - Human Resource - Pharma/manufacturing - IIM,,"Human Resource, HR, strategic planning, HR operations, recruitment...",Delhi,25to50
5-10 yrs,"Very good understanding on FSLDM Model (Mandatory);Rich experience in ETL, cleansing, customization, ...",Data Modeler - Fsldm,,"multivariate analysis, etl, data warehousing, data modeling...",Noida,15to25
3-5 yrs,- REO Sales : A national real estate brokerage featuring a combination of traditional and online bidding ...,Senior SOX Analyst - BFS,,"Legal Management, Administration, Risk Control, Asset Management...",Bengaluru,10to15
7-10 yrs,5 years product management experience. -	 CPQ OR Subscriptions and Renewals experience OR quote to ...,Exciting Opportunity for Product Manager @ Apttus,,"Gap Analysis, UX, Prototyping, Usability, User Interface Designing...",Bengaluru(Outer Ring Road South),15to25
0-1 yrs,,Software Developer,,"Software Development, software engineer, software developer...",Hyderabad,0to3
0-5 yrs,"If any of your friends / colleagues profile matches the above requirement, kindly suggest them to apply ...","Factory Incharge /production Incharge, Icp-ms Analyst, Telemarketing",,"factory incharge, production incharge, factory, icp, icp - ms...","Bengaluru, Chennai",3to6
11-15 yrs,- Detailed understanding of local development control regulations & good network with architects ...,Technical Manager,,"Valuation, Finance, Portfolio Analysis, Credit Risk, Financial Modelling...",Mumbai,15to25
2-7 yrs,in related field with 3+ years of experience applying data science techniques to real business problems ...,Sr. Software Analyst - Machine Learning & Artificial Intelligence,,"c++, python, artificial intelligence, machine learning, algorithms...",Pune(Senapati Bapat Road),15to25
2-5 yrs,,Enterprise Architecture,Analytics,"Analytics, System software, Outsourcing, Enterprise architecture, TOGAF...",Bengaluru,3to6
4-9 yrs,Spreadsheet skills with demonstrated experience managing large data sets and preparing various reports ...,Looking for Data Analyst in Pune,,"data analysis, salesforce, sfdc, excel, quarterly strategy review...",Pune,10to15
8-13 yrs,Experience in marketing highly-technical products to a developer audience;6+ years of experience in ...,Digital Marketing Manager,,"social media manager, social media, community manager...",Bhubaneshwar,10to15
3-7 yrs,"Build and maintain good knowledge of products, investment processes, trading strategies, market ...",Sr Portfolio Risk Analyst (manager) Mumbai (mutual Fund),,"Liquidity Risk, Market Risk, Risk Analysis, Regulatory Reporting, IT Risk...",Mumbai,10to15
0-3 yrs,,Property Analyst,,"market research, real estate marketing, financial modelling...",Bengaluru,0to3
8-12 yrs,The position has design responsibility to ensure that product programs achieve all design objectives ...,Lead System Designer - IT Products,,"Design Analysis, Customer Satisfaction, Design Development...",Bengaluru,15to25
1-3 yrs,"Additionally, you will have an opportunity to develop and test machine learning models that can directly ...",Business Analyst,Analytics,"Data Science, Business Analysis, Business Analytics, Machine Learning, Data...",Gurgaon,6to10
3-5 yrs,,Test Analyst for Bangalore (client Location),,"Finance, Hyperion Financial Management, Test Analysis",Bengaluru(Ulsoor),10to15
4-9 yrs,Member should achieve 75\% test automation coverage;Minimum 4 years of experience in product Development ...,Senior Test Engineer _tester Cum Developer,,"HTML, Selenium, Analytical, GUI testing, Testing, Automation testing, Skill...",Bengaluru,6to10
8-13 yrs,Experience working with large data sets in order to extract business insights or build predictive models ...,Immediate Hiring for Data Scientist for Bng/chn/pune/mumbai,,"r, c, sas, python, Data Science, Data Scientist, Senior Data Scientist...","Chennai, Bengaluru, Pune, Mumbai",15to25
2-5 yrs,Looking for FICO functional SAP FICO consultant having 2-5 years experience in SAP environment ...,SAP FICO Consultant,,"asset accounting, internal orders, gl accounting, profit centre, sap fico...",Ludhiana,0to3
3-8 yrs,"Must have handled a team of minimum 5 people;Must be conversant with various new techniques, analytical ...",Sr. Executives - Analytical for Mumbai with FMCG Company,,"Personal Care, FMCG, centralized Analytical",Mumbai,3to6
2-6 yrs,"3+ years of software development experience;Leverage experience in usage of tools and technologies like, ...",Sales and Marketing Data Analyst - Data Analytics,Analytics,"Marketing Automation, Sales, Salesforce, Eloqua, Data Analysis...",Pune(Kharadi),10to15
8-12 yrs,This position requires high judgment and an ability to balance customer experience with financial impact ...,AVP Program Manager - Change Management / Transformation / Strategy,,"data analysis, Program Management, Customer Experience Strategy...",Bengaluru,15to25
2-5 yrs,D Should have knowledge creating mobile views for reports and dashboards;A Should have Minimum 2 years ...,Microsoft Advanced Analytics,Analytics,"microsoft, Business process, Scheduling, Outsourcing, Operations...",Hyderabad,6to10
2-4 yrs,- Experience in financial services industry would be a great advantage;- Mid-level professional with 2 ...,Artificial Intelligence Professional,,"Artificial Intelligence Professional, machine learning, algorithms, NLP...",Noida,15to25
2-7 yrs,Actions of supplier QCD improvement / Encourage supplier to go for QMS ...,Sourcing & Development Engineer,,"Production Planning, Cost Reduction, Capacity Enhancement...",Hosur,10to15
2-7 yrs,- Utilize strong analytical ability to evaluate end-to-end customer experience across multiple channels ...,Senior Digital Marketing Executive/expert,,"Digital Marketing, Marketing Campaigns, Social Media, ROI...",Delhi NCR(Sector-142 Noida),3to6
3-7 yrs,"Qualifications / Experience: - MBA in Marketing, preferably with 2 to 6 years previous experience in ...",Online / Digital Advertising Sales : Quikr India Pvt Ltd,,"Ad Sales, Space Selling, Client Servicing, Key Account Management...",Mumbai,10to15
2-7 yrs,,"SEO Executive (location - Netaji Subash Place, Delhi)",,"graphic designing, coral draw, photoshop, social media, digital marketing...",Delhi,0to3
1-4 yrs,,Required Quality Analyst for Banking Products,,"Providing Training, Banking Products, Quality Analysis...","Delhi NCR, Gurgaon, Noida",0to3
9-12 yrs,,ERP Systems Analyst - SAP FI,,"SAP FI, ERP Systems Analyst, SAP Functional Analyst, S / 4 HANA, WRICEF...",Bengaluru,15to25
10-20 yrs,- Understands the due diligence process and has experience in Financial analysis;- CA/MBA(Full Time ...,Credit Research/ Credit Analysis/ Financial Due Diligence Role,,"Credit Research, Financial Analysis, Credit Analysis, Finance...","Gurgaon, Gurugram",25to50
5-10 yrs,At least 5 years hands on experience in IT;Self-driven and motivated must be able to work alone as well ...,Security Operations Analyst,,"nessus, splunk, wireshark",Mumbai,15to25
13-18 yrs,"- Liaises with business users, conduct business requirement analysis, work with vendor, for optimal ...",AVP - IT - Policy Servicing Applications,,"business requirement analysis, policy servicing, customer service...",Mumbai,25to50
4-8 yrs,Accenture Technology powers our clients  businesses with innovative technologies established and ...,Application Lead,,"SAP, Python, Application development, Machine learning, Outsourcing...",Bengaluru,6to10
3-8 yrs,,"Quality Manager - Simplilearn, Bangalore(saturday/sunday Fixed Off!!)",,"training need analysis, outbound sales, quality management, call monitoring...",Bengaluru(Sector 2 HSR Layout),3to6
4-9 yrs,-	Minimum 4 years of experience in study abroad end to end counseling;-	Good in multi-tasking and ...,Manager / Group Manager- Study Abroad Expert,,"study abroad, overseas education, Counselling, universities...",Noida,10to15
5-10 yrs,Type of products which we should offer - design products well suited to changing customer requirements ...,Banking Analytics Lead- (business Intelligence),Analytics,"Credit Analysis, Predictive Analytics, Credit Risk, Credit Rating...",Pune,15to25
4-8 yrs,    Title: Assistant Vice President    Grade: C12    Reporting to: Vice ...,Specialized Analytics Manager,Analytics,"Financial services, SEO, Analytical, Forecasting, PPC, Simulation, Customer...",Bengaluru,6to10
4-9 yrs,5-6 years of Hands on experience of developing high end statistical models;Analytics Domain intensive ...,Data Science,Analytics,"r, sas, linear regression, logistic regression, predictive modeling...",Pune,6to10
2-7 yrs,"Responsibilities :  - Design distributed applications, architectural trade-offs applying ...",Python Developer - Django,,"machine learning, artificial intelligence, python, design patterns...",Kolkata(Salt Lake),3to6
10-15 yrs,Understanding of revenue recognition policies within a Professional Services organization ...,Principal Analyst - Financial Operations - Professional Services Firm,,"Financial Operations, Finance, Budgeting, Team Management...",Bengaluru,15to25
5-7 yrs,Urgent Opening for Pavement /Traffic Engineer with 5-7 years exp in Highway Project with MTech in ...,Urgent Opening Traffic  / Pavement  Engineer Bangalore,,"Road Safety, Safety Audit, Demand Forecasting, Data Analysis",Bengaluru,6to10
4-7 yrs,,Senior Analyst / Specialist for DLP- Data Loss Prevention,,"Information Security, SIEM, Vulnerability Assessment, SOC...",Pune,6to10
8-13 yrs,Ability to use logical sound judgment and experience to determine the appropriate course of action based ...,"Opening for ""  Analytics & Reporting"" for MNC  in Pune",Analytics,"Project Management, Delivery Management, SCOPE, Client Solutions...",Pune,15to25
8-11 yrs," 5+ years of relevant experience - Hadoop, System administration with sound knowledge in ...","Senior Hadoop Administrator at Clairvoyant India, Pune",,"hive, hdfs, cloudera, hadoop, hbase, kerberos, hortonworks, Linux, unix...",Pune,6to10
