"loc","v(g)","ev(g)","iv(g)","n","v","l","d","i","e","b","t","lOCode","lOComment","lOBlank","lOCodeAndComment","uniq_Op","uniq_Opnd","total_Op","total_Opnd","branchCount","problems"
4,1.0,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,0,0,3,2,3,2,1,no
56,3.0,1,2,285,1722.65,0.06,18.08,95.28,31145.55,0.57,1730.31,78,3,13,0,11,34,105,57,17,no
4,1.0,1,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,2,0,0,0,4,3,4,3,1,no
7,1.0,1,1,5,11.61,0,0,0,0,0,0,2,2,1,0,5,0,5,0,1,no
78,6.0,5,6,302,1704.44,0.04,26.12,65.26,44516.08,0.57,2473.12,67,5,4,0,16,34,191,111,11,no
3,1.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,no
16,2.0,1,2,23,87.57,0.14,7.2,12.16,630.5,0.03,35.03,12,0,2,0,9,5,15,8,3,no
39,4.0,3,3,75,371.56,0.08,13.13,28.31,4876.79,0.12,270.93,30,2,5,0,15,16,47,28,7,no
30,6.0,5,4,72,346.13,0.07,14,24.72,4845.81,0.12,269.21,20,2,5,0,14,14,44,28,11,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
102,25.0,4,4,248,1488,0.05,19.17,77.62,28525.28,0.5,1584.74,92,3,5,0,17,47,142,106,49,no
10,2.0,1,2,22,83.76,0.17,6,13.96,502.57,0.03,27.92,8,0,0,0,8,6,13,9,3,no
40,4.0,1,4,102,495.51,0.09,11.61,42.68,5753.47,0.17,319.64,29,1,7,1,11,18,64,38,7,no
46,4.0,1,4,114,564.78,0.06,15.53,36.37,8769.75,0.19,487.21,35,1,7,1,13,18,71,43,7,no
29,6.0,4,4,67,311.14,0.08,12.46,24.97,3877.26,0.1,215.4,25,0,2,0,12,13,40,27,11,no
3,1.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,no
68,5.0,1,3,76,348.46,0.08,12.27,28.4,4275.3,0.12,237.52,25,0,4,0,12,24,94,73,9,no
31,5.0,1,3,167,863.38,0.05,18.25,47.31,15756.64,0.29,875.37,51,0,14,0,11,13,47,29,9,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
16,1.0,1,1,10,30,0.33,3,10,90,0.01,5,5,0,0,0,4,5,4,7,1,no
8,1.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,4,4,4,6,1,no
7,1.0,1,1,11,34.87,0.36,2.8,12.45,97.63,0.01,5.42,5,0,0,0,2,12,10,13,1,no
4,1.0,1,1,23,87.57,0.92,1.08,80.83,94.87,0.03,5.27,4,0,0,0,1,0,1,0,1,no
45,5.0,1,4,117,626.83,0.07,13.76,45.55,8625.23,0.21,479.18,37,1,5,0,16,25,74,43,9,no
4,1.0,1,1,6,15.51,0.4,2.5,6.2,38.77,0.01,2.15,2,0,0,0,5,1,5,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
17,6.0,1,5,50,216.1,0.14,7.33,29.47,1584.71,0.07,88.04,13,0,2,0,8,12,28,22,11,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
6,1.0,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,3,0,1,0,3,2,3,2,1,no
15,6.0,1,5,44,179.85,0.23,4.36,41.22,784.79,0.06,43.6,13,0,0,0,6,11,28,16,11,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,0,0,3,2,3,2,1,no
4,1.0,1,1,6,15.51,0.4,2.5,6.2,38.77,0.01,2.15,2,0,0,0,5,1,5,1,1,no
188,8.0,4,5,509,3451.71,0.05,19.1,180.68,65942.86,1.15,3663.49,136,9,40,0,19,91,326,183,15,no
4,1.0,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,0,0,3,2,3,2,1,no
8,1.0,1,1,10,30,0.3,3.33,9,100,0.01,5.56,4,0,1,0,5,3,6,4,1,no
4,1.0,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,0,0,3,2,3,2,1,no
4,1.0,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,0,0,3,2,3,2,1,no
8,1.0,1,1,10,30,0.3,3.33,9,100,0.01,5.56,4,0,1,0,5,3,6,4,1,no
8,1.0,1,1,10,30,0.3,3.33,9,100,0.01,5.56,4,0,1,0,5,3,6,4,1,no
20,2.0,1,2,33,137.61,0.17,6,22.93,825.65,0.05,45.87,16,0,1,0,9,9,21,12,3,no
7,1.0,1,1,10,30,0.3,3.33,9,100,0.01,5.56,4,0,0,0,5,3,6,4,1,no
8,1.0,1,1,10,30,0.3,3.33,9,100,0.01,5.56,4,0,1,0,5,3,6,4,1,no
8,1.0,1,1,10,30,0.3,3.33,9,100,0.01,5.56,4,0,1,0,5,3,6,4,1,no
9,1.0,1,1,10,30,0.3,3.33,9,100,0.01,5.56,4,0,2,0,5,3,6,4,1,no
8,1.0,1,1,10,30,0.3,3.33,9,100,0.01,5.56,4,0,1,0,5,3,6,4,1,no
5,1.0,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,1,0,3,2,3,2,1,no
4,1.0,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,0,0,3,2,3,2,1,no
8,1.0,1,1,10,30,0.3,3.33,9,100,0.01,5.56,4,0,1,0,5,3,6,4,1,no
8,1.0,1,1,10,30,0.3,3.33,9,100,0.01,5.56,4,0,1,0,5,3,6,4,1,no
4,1.0,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,0,0,3,2,3,2,1,no
82,10.0,4,5,181,999.76,0.05,21.4,46.73,21391.52,0.33,1188.42,59,2,19,0,17,29,108,73,19,no
38,2.0,1,2,69,353.92,0.2,5.02,70.51,1776.41,0.12,98.69,25,0,2,0,9,26,40,29,3,no
57,4.0,1,3,136,742.48,0.06,17.63,42.12,13089.7,0.25,727.21,43,0,12,0,17,27,80,56,7,no
31,5.0,1,3,76,348.46,0.08,12.27,28.4,4275.3,0.12,237.52,25,0,4,0,11,19,43,36,9,no
7,1.0,1,1,9,25.27,0.27,3.75,6.74,94.75,0.01,5.26,4,0,1,0,5,2,6,3,1,no
2,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,no
5,1.0,1,1,4,6.34,1.33,0.75,8.45,4.75,0,0.26,3,0,0,0,1,2,1,3,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
28,4.0,1,4,59,241.16,0.07,13.57,17.77,3272.89,0.08,181.83,22,1,3,0,10,7,40,19,7,no
4,1.0,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,0,0,3,2,3,2,1,no
4,1.0,1,1,6,15.51,0.4,2.5,6.2,38.77,0.01,2.15,2,0,0,0,5,1,5,1,1,no
26,4.0,1,4,51,199.25,0.09,11.25,17.71,2241.58,0.07,124.53,19,0,5,0,9,6,36,15,7,no
3,1.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,no
11,2.0,1,2,17,60.94,0.17,6,10.16,365.67,0.02,20.31,8,0,1,0,8,4,11,6,3,no
4,1.0,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,2,0,0,0,3,2,3,2,1,no
5,1.0,1,1,5,11.61,0,0,0,0,0,0,2,0,0,0,5,0,5,0,1,no
56,4.0,1,4,102,523.19,0.07,14.25,36.71,7455.41,0.17,414.19,41,3,3,0,15,20,64,38,7,no
56,4.0,1,4,101,513.83,0.07,14.61,35.18,7504.68,0.17,416.93,40,3,3,0,15,19,64,37,7,no
21,2.0,1,2,36,152.93,0.12,8.57,17.84,1310.79,0.05,72.82,16,0,3,0,12,7,26,10,3,no
21,2.0,1,2,33,134.89,0.14,7.14,18.88,963.47,0.04,53.53,15,1,2,0,10,7,23,10,3,no
34,3.0,1,3,53,249.12,0.07,13.64,18.27,3397.14,0.08,188.73,19,7,5,0,15,11,33,20,5,no
47,5.0,4,4,59,273.99,0.07,13.36,20.5,3661.47,0.09,203.41,19,3,5,0,16,23,69,49,5,no
30,3.0,3,2,118,623.68,0.06,17.04,36.59,10629.63,0.21,590.54,35,3,7,0,14,11,38,21,9,no
43,4.0,1,4,89,456.51,0.06,18,25.36,8217.11,0.15,456.51,28,7,6,0,18,17,55,34,7,no
38,3.0,1,3,134,722.57,0.06,16.11,44.85,11641.41,0.24,646.75,32,1,2,0,15,27,76,58,5,no
4,1.0,1,1,7,11.09,0.67,1.5,7.4,16.64,0,0.92,3,0,0,0,2,4,2,8,1,no
4,1.0,1,1,8,16,0.86,1.17,13.71,18.67,0.01,1.04,2,0,0,0,1,3,1,7,1,no
3,1.0,1,1,10,25.85,0.5,2,12.92,51.7,0.01,2.87,2,0,0,0,1,2,1,6,1,no
45,3.0,1,3,84,416.15,0.06,17.07,24.38,7102.34,0.14,394.57,28,10,5,0,16,15,52,32,5,no
45,4.0,1,4,88,423.05,0.07,13.43,31.49,5682.93,0.14,315.72,30,7,4,0,13,15,57,31,7,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,6,15.51,0,0,0,0,0.01,0,2,0,0,0,6,0,6,0,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
5,1.0,1,1,8,24,0.33,3,8,72,0.01,4,2,0,0,0,6,2,6,2,1,no
11,2.0,1,2,27,102.8,0.15,6.67,15.42,685.32,0.03,38.07,9,0,0,0,8,6,17,10,3,no
47,2.0,1,2,385,2375.42,0.03,34.5,68.85,81952.03,0.79,4552.89,119,6,18,0,11,25,87,44,31,no
28,2.0,1,2,69,324.33,0.1,10.27,31.59,3329.79,0.11,184.99,18,1,7,0,11,15,41,28,3,no
8,1.0,1,1,13,41.21,0.67,1.5,27.47,61.81,0.01,3.43,4,0,1,0,3,6,7,6,1,no
3,1.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,no
97,8.0,7,8,245,1375.6,0.05,19.6,70.18,26961.84,0.46,1497.88,72,1,20,0,14,35,147,98,15,no
13,2.0,1,2,20,78.14,0.17,6,13.02,468.83,0.03,26.05,8,0,1,0,9,6,12,8,3,no
10,2.0,1,2,18,64.53,0.14,7,9.22,451.71,0.02,25.09,8,0,0,0,8,4,11,7,3,no
7,1.0,1,1,11,36.54,0.4,2.5,14.62,91.35,0.01,5.08,3,0,0,1,5,5,6,5,1,no
31,3.0,1,3,75,348.29,0.09,11,31.66,3831.18,0.12,212.84,23,1,4,0,11,14,47,28,5,no
15,3.0,1,2,49,211.77,0.12,8.5,24.91,1800.08,0.07,100,12,0,1,0,10,10,32,17,5,no
21,5.0,1,3,68,311.78,0.09,10.58,29.48,3297.65,0.1,183.2,18,0,1,0,11,13,43,25,9,no
8,1.0,1,1,13,43.19,0.5,2,21.59,86.37,0.01,4.8,2,0,0,0,9,9,20,13,1,no
4,1.0,1,1,33,137.61,0.15,6.5,21.17,894.45,0.05,49.69,4,1,0,1,4,6,7,6,1,no
15,3.0,1,2,49,211.77,0.12,8.5,24.91,1800.08,0.07,100,10,0,3,0,10,10,32,17,5,no
14,3.0,1,2,49,211.77,0.12,8.5,24.91,1800.08,0.07,100,10,0,1,1,10,10,32,17,5,no
21,4.0,1,4,45,191.16,0.17,5.83,32.77,1115.08,0.06,61.95,15,0,0,0,10,15,41,28,7,no
17,4.0,1,2,69,320.43,0.11,9.33,34.33,2990.64,0.11,166.15,18,1,0,0,7,12,25,20,7,no
6,1.0,1,1,15,49.83,0.43,2.33,21.36,116.27,0.02,6.46,4,0,0,0,4,6,8,7,1,no
6,1.0,1,1,15,49.83,0.43,2.33,21.36,116.27,0.02,6.46,4,0,0,0,4,6,8,7,1,no
6,1.0,1,1,15,49.83,0.43,2.33,21.36,116.27,0.02,6.46,4,0,0,0,4,6,8,7,1,no
6,1.0,1,1,15,49.83,0.43,2.33,21.36,116.27,0.02,6.46,4,0,0,0,4,6,8,7,1,no
6,1.0,1,1,15,49.83,0.43,2.33,21.36,116.27,0.02,6.46,4,0,0,0,4,6,8,7,1,no
6,1.0,1,1,15,49.83,0.43,2.33,21.36,116.27,0.02,6.46,4,0,0,0,4,6,8,7,1,no
6,1.0,1,1,15,49.83,0.43,2.33,21.36,116.27,0.02,6.46,4,0,0,0,4,6,8,7,1,no
6,1.0,1,1,15,49.83,0.43,2.33,21.36,116.27,0.02,6.46,4,0,0,0,4,6,8,7,1,no
41,8.0,7,7,105,534.18,0.05,21.38,24.99,11418.17,0.18,634.34,31,1,5,2,18,16,67,38,15,no
56,7.0,3,6,141,791.67,0.04,22.41,35.33,17739.36,0.26,985.52,49,1,4,0,22,27,86,55,13,no
60,7.0,4,6,173,986.18,0.04,23.83,41.38,23503.86,0.33,1305.77,54,1,3,0,22,30,108,65,13,no
55,12.0,9,9,187,1001.86,0.07,13.57,73.85,13591.93,0.33,755.11,45,3,5,0,11,30,113,74,23,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
33,6.0,4,4,84,412.18,0.05,18.29,22.54,7536.98,0.14,418.72,26,2,3,0,16,14,52,32,11,no
58,13.0,3,5,163,878.95,0.06,17.5,50.23,15381.59,0.29,854.53,36,10,8,2,14,28,93,70,25,no
19,3.0,3,2,35,145.95,0.09,11,13.27,1605.42,0.05,89.19,14,1,2,0,11,7,21,14,5,no
8,2.0,1,2,21,77.71,0.29,3.43,22.67,266.43,0.03,14.8,6,0,0,0,6,7,13,8,3,no
18,2.0,1,2,42,187.3,0.13,7.5,24.97,1404.72,0.06,78.04,13,1,2,0,10,12,24,18,3,no
26,5.0,1,2,52,228.4,0.09,11.55,19.77,2638.03,0.08,146.56,24,0,0,0,11,10,31,21,9,no
29,2.0,1,2,105,554.97,0.13,7.76,71.53,4305.78,0.18,239.21,24,0,2,0,10,29,60,45,3,no
16,4.0,3,2,49,238.04,0.12,8.53,27.9,2030.79,0.08,112.82,13,0,0,1,13,16,28,21,7,no
6,1.0,1,1,14,48.43,0.4,2.5,19.37,121.08,0.02,6.73,3,0,0,0,5,6,8,6,1,no
29,3.0,1,3,72,305.85,0.09,10.8,28.32,3303.19,0.1,183.51,23,2,2,0,9,10,48,24,5,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
2,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,0,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,9,25.27,0,0,0,0,0.01,0,2,0,0,0,7,0,9,0,1,no
2,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,0,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
6,3.0,1,1,24,88.81,0.21,4.71,18.84,418.68,0.03,23.26,4,0,0,0,6,7,13,11,5,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,5,11.61,0.5,2,5.8,23.22,0,1.29,2,0,0,0,4,1,4,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
6,3.0,1,1,24,88.81,0.21,4.71,18.84,418.68,0.03,23.26,4,0,0,0,6,7,13,11,5,no
4,1.0,1,1,9,25.27,0,0,0,0,0.01,0,2,0,0,0,7,0,9,0,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
4,1.0,1,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,no
6,1.0,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,3,0,1,0,3,2,3,2,1,no
