     ,f1   ,f2   ,f3   ,f4   ,f5   ,f6   ,f7   ,f8   ,f9   ,f10,f11,f12,f13  ,f14  ,f15  ,f16  ,f17  ,f18  ,f19 ,f20 ,f21  ,f22  ,f23 ,f24 ,f25 ,f26 ,f27 ,f28 ,f29 ,f30 ,f31 ,f32 ,f33 ,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,target
10330,110.0,100.0,100.0,100.0,16.0 ,77.0 ,104.0,100.0,94.0 ,0.0,0.0,0.0,0.0  ,3.0  ,0.0  ,0.0  ,0.0  ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,6.0 ,34.0,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
367  ,110.0,100.0,100.0,100.0,114.0,77.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,32.0 ,14.0 ,0.0  ,61.0 ,1.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8796 ,110.0,100.0,100.0,100.0,70.0 ,78.0 ,82.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,2.0  ,2.0  ,12.0 ,43.0 ,1.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,6.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
416  ,110.0,100.0,100.0,100.0,91.0 ,77.0 ,97.0 ,106.0,94.0 ,0.0,0.0,0.0,0.0  ,4.0  ,41.0 ,37.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,26.0,14.0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2420 ,110.0,100.0,100.0,100.0,98.0 ,77.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,7.0  ,2.0  ,72.0 ,9.0  ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729  ,110.0,100.0,100.0,100.0,13.0 ,124.0,108.0,78.0 ,99.0 ,0.0,0.0,0.0,0.0  ,0.0  ,0.0  ,0.0  ,0.0  ,0.0  ,0.0 ,0.0 ,0.0  ,47.0 ,27.0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,5.0 ,3.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6874 ,110.0,100.0,100.0,100.0,15.0 ,121.0,78.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,2.0  ,0.0  ,0.0  ,0.0  ,0.0  ,0.0 ,0.0 ,42.0 ,4.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9993 ,110.0,100.0,100.0,100.0,46.0 ,141.0,77.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,1.0  ,7.0  ,4.0  ,1.0  ,44.0,0.0 ,43.0 ,1.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8604 ,110.0,100.0,100.0,100.0,50.0 ,126.0,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,0.0  ,0.0  ,0.0  ,19.0 ,30.0,41.0,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3559 ,110.0,100.0,100.0,100.0,74.0 ,77.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,44.0 ,21.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
6037 ,110.0,100.0,100.0,100.0,59.0 ,126.0,87.0 ,71.0 ,94.0 ,0.0,0.0,0.0,5.0  ,42.0 ,3.0  ,0.0  ,0.0  ,0.0  ,0.0 ,0.0 ,26.0 ,33.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9840 ,110.0,100.0,100.0,100.0,54.0 ,102.0,80.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,2.0  ,1.0  ,0.0  ,0.0  ,43.0 ,19.0,0.0 ,0.0  ,5.0  ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6208 ,110.0,100.0,100.0,100.0,49.0 ,95.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,1.0  ,1.0  ,0.0  ,2.0  ,29.0 ,24.0,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
2388 ,110.0,100.0,100.0,100.0,99.0 ,79.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,32.0 ,16.0 ,1.0  ,35.0 ,11.0 ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5562 ,110.0,100.0,100.0,100.0,103.0,80.0 ,82.0 ,71.0 ,94.0 ,0.0,0.0,0.0,60.0 ,32.0 ,1.0  ,1.0  ,0.0  ,1.0  ,0.0 ,0.0 ,0.0  ,0.0  ,7.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3433 ,110.0,100.0,100.0,100.0,83.0 ,77.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,6.0  ,57.0 ,11.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
10498,110.0,100.0,100.0,100.0,107.0,79.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,3.0  ,0.0  ,55.0 ,37.0 ,0.0  ,4.0  ,4.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8440 ,110.0,100.0,100.0,100.0,133.0,77.0 ,76.0 ,72.0 ,94.0 ,0.0,0.0,0.0,0.0  ,2.0  ,1.0  ,109.0,16.0 ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6749 ,110.0,100.0,100.0,100.0,130.0,81.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,47.0 ,32.0 ,2.0  ,33.0 ,14.0 ,2.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14761,110.0,100.0,100.0,100.0,115.0,146.0,81.0 ,71.0 ,94.0 ,0.0,0.0,0.0,23.0 ,23.0 ,56.0 ,6.0  ,0.0  ,0.0  ,0.0 ,0.0 ,59.0 ,16.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510  ,110.0,100.0,100.0,100.0,123.0,111.0,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,44.0 ,19.0 ,0.0  ,0.0  ,41.0 ,49.0,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700  ,110.0,100.0,100.0,100.0,74.0 ,78.0 ,77.0 ,96.0 ,132.0,0.0,0.0,0.0,0.0  ,1.0  ,26.0 ,37.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0  ,1.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,32.0,5.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4026 ,110.0,100.0,100.0,100.0,106.0,86.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,12.0 ,50.0 ,0.0  ,0.0  ,9.0  ,38.0 ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11136,110.0,100.0,100.0,100.0,59.0 ,77.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,46.0 ,0.0  ,0.0  ,2.0  ,1.0  ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2628 ,110.0,100.0,100.0,100.0,69.0 ,77.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,37.0 ,9.0  ,0.0  ,7.0  ,5.0  ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
3680 ,110.0,100.0,100.0,100.0,54.0 ,136.0,79.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,0.0  ,0.0  ,0.0  ,51.0 ,11.0,0.0 ,37.0 ,7.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1277 ,110.0,100.0,100.0,100.0,117.0,78.0 ,81.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,31.0 ,56.0 ,24.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,4.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5228 ,110.0,100.0,100.0,100.0,67.0 ,95.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,2.0  ,1.0  ,2.0  ,1.0  ,65.0 ,5.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
2030 ,110.0,100.0,100.0,100.0,88.0 ,149.0,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,32.0 ,16.0 ,0.0  ,0.0  ,0.0  ,0.0  ,60.0,3.0 ,42.0 ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6225 ,110.0,100.0,100.0,100.0,40.0 ,155.0,114.0,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,0.0  ,0.0  ,2.0  ,1.0  ,40.0,21.0,0.0  ,28.0 ,46.0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39   ,110.0,100.0,100.0,100.0,59.0 ,80.0 ,110.0,91.0 ,94.0 ,0.0,0.0,0.0,5.0  ,42.0 ,0.0  ,0.0  ,0.0  ,0.0  ,5.0 ,1.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,27.0,14.0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1891 ,110.0,100.0,100.0,100.0,59.0 ,101.0,117.0,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,28.0 ,21.0 ,1.0  ,0.0  ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,43.0,15.0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7213 ,110.0,100.0,100.0,100.0,90.0 ,111.0,106.0,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,1.0  ,49.0 ,32.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0  ,22.0 ,36.0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4786 ,110.0,100.0,100.0,100.0,27.0 ,131.0,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,2.0  ,3.0  ,0.0  ,0.0  ,0.0  ,17.0,6.0 ,42.0 ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3422 ,110.0,100.0,100.0,100.0,61.0 ,113.0,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,0.0  ,3.0  ,6.0  ,8.0  ,71.0,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7732 ,110.0,100.0,100.0,100.0,13.0 ,138.0,125.0,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,0.0  ,0.0  ,0.0  ,0.0  ,0.0 ,0.0 ,24.0 ,20.0 ,37.0,21.0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9753 ,110.0,100.0,100.0,100.0,60.0 ,91.0 ,78.0 ,169.0,94.0 ,0.0,0.0,0.0,1.0  ,2.0  ,0.0  ,0.0  ,4.0  ,57.0 ,0.0 ,0.0 ,0.0  ,0.0  ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,65.0,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9584 ,110.0,100.0,100.0,100.0,76.0 ,77.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,63.0 ,2.0  ,0.0  ,2.0  ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2980 ,110.0,100.0,100.0,100.0,56.0 ,92.0 ,96.0 ,113.0,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,0.0  ,5.0  ,41.0 ,0.0  ,0.0 ,0.0 ,4.0  ,15.0 ,0.0 ,0.0 ,0.0 ,0.0 ,6.0 ,34.0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9630 ,110.0,100.0,100.0,100.0,146.0,88.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,32.0 ,14.0 ,0.0  ,0.0  ,62.0 ,45.0 ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13063,110.0,100.0,100.0,100.0,105.0,77.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,61.0 ,34.0 ,3.0  ,0.0  ,0.0  ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1303 ,110.0,100.0,100.0,100.0,26.0 ,77.0 ,76.0 ,127.0,95.0 ,0.0,0.0,0.0,0.0  ,0.0  ,3.0  ,4.0  ,7.0  ,1.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,35.0,3.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11514,110.0,100.0,100.0,100.0,81.0 ,130.0,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,66.0 ,2.0  ,0.0  ,0.0  ,0.0 ,21.0,39.0 ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7711 ,110.0,100.0,100.0,100.0,68.0 ,78.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,43.0 ,12.0 ,0.0  ,1.0  ,1.0  ,0.0  ,0.0 ,1.0 ,1.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
